This file was created by CMPT_ME_PRIOR_RETS using the 201509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
193101,   1.27
193102,   2.04
193103,   4.73
193104,  -1.64
193105,  -2.78
193106,   3.46
193107,   4.20
193108,  -3.45
193109,  -7.13
193110,   8.46
193111,   0.98
193112,  -6.14
193201,   6.59
193202,  -0.35
193203,   1.14
193204,   0.94
193205,   9.35
193206,  -1.44
193207,  19.88
193208,  21.67
193209,  -8.47
193210,  -8.25
193211,  -6.58
193212,  -8.82
193301,   2.47
193302,  -3.62
193303,   6.24
193304,  36.36
193305,  33.13
193306,  10.90
193307,   0.99
193308,   2.46
193309, -13.95
193310,  -6.02
193311,   2.21
193312,  -0.44
193401,  27.06
193402,   1.62
193403,  -1.57
193404,  -4.15
193405,  -7.61
193406,  -4.39
193407, -13.26
193408,   5.45
193409,   0.04
193410,  -3.63
193411,   2.85
193412,  -2.36
193501,  -2.31
193502,  -8.79
193503,  -0.50
193504,   5.47
193505,   2.11
193506,   0.16
193507,   9.81
193508,   9.76
193509,   0.28
193510,   5.42
193511,   7.68
193512,   1.31
193601,  12.15
193602,   1.89
193603,  -1.63
193604,  -6.86
193605,   3.29
193606,  -2.34
193607,   4.79
193608,   2.38
193609,  -0.83
193610,   1.66
193611,  -1.97
193612,   3.44
193701,   1.15
193702,  -0.30
193703,  -2.07
193704,  -0.08
193705,  -2.74
193706,   0.79
193707,  -1.42
193708,  -2.09
193709,  -3.49
193710,   2.39
193711,   2.83
193712,   0.94
193801,  -0.20
193802,  -3.66
193803,   7.87
193804,  -3.25
193805,   3.86
193806, -12.44
193807,  -2.90
193808,  -3.12
193809,  -0.50
193810,   5.41
193811,  -2.95
193812,  -0.97
193901,  -1.04
193902,   2.35
193903,  -7.29
193904,   1.13
193905,  -0.12
193906,  -5.18
193907,   1.47
193908,  -0.27
193909,  13.75
193910,  -3.86
193911,  -3.86
193912,  -1.60
194001,   3.50
194002,  -1.09
194003,  -1.22
194004,   1.10
194005,  -3.32
194006,   1.72
194007,  -1.38
194008,  -1.88
194009,  -1.63
194010,   0.87
194011,  -5.09
194012,  -2.86
194101,   2.83
194102,  -1.45
194103,   0.59
194104,  -0.76
194105,  -0.27
194106,  -1.05
194107,   8.62
194108,  -1.63
194109,  -3.68
194110,  -3.38
194111,  -1.90
194112,  -5.66
194201,  14.44
194202,   1.29
194203,  -0.05
194204,  -0.08
194205,  -3.58
194206,  -0.21
194207,   3.33
194208,   0.06
194209,   3.14
194210,   8.84
194211,  -3.22
194212,   1.68
194301,  12.12
194302,   9.59
194303,   4.90
194304,   4.56
194305,   5.58
194306,  -1.20
194307,  -2.21
194308,  -0.70
194309,   3.01
194310,  -1.71
194311,  -4.23
194312,   3.30
194401,   2.46
194402,  -0.43
194403,   1.43
194404,  -0.55
194405,  -0.26
194406,   0.46
194407,   1.35
194408,   0.67
194409,   0.16
194410,  -0.75
194411,  -2.42
194412,  -0.33
194501,   0.47
194502,  -0.35
194503,   0.28
194504,  -1.86
194505,  -0.81
194506,   0.99
194507,   1.88
194508,  -0.57
194509,  -1.90
194510,  -3.73
194511,  -3.85
194512,  -1.61
194601,   1.15
194602,   2.08
194603,  -2.88
194604,  -0.70
194605,  -2.12
194606,   1.49
194607,   1.84
194608,   2.24
194609,   5.77
194610,   1.34
194611,   3.45
194612,   0.24
194701,  -0.28
194702,   0.53
194703,   3.01
194704,   5.18
194705,   3.17
194706,  -2.29
194707,  -3.75
194708,   2.38
194709,  -0.30
194710,  -0.94
194711,   1.75
194712,  -0.04
194801,   1.19
194802,   2.57
194803,  -1.53
194804,   0.25
194805,  -0.62
194806,   1.41
194807,   1.48
194808,  -1.05
194809,   1.22
194810,   0.48
194811,   0.85
194812,   0.72
194901,   0.82
194902,   1.06
194903,  -0.26
194904,   0.18
194905,   1.25
194906,  -0.77
194907,  -0.43
194908,  -1.52
194909,  -0.59
194910,  -0.19
194911,  -1.86
194912,   3.44
195001,   2.31
195002,   0.06
195003,  -0.65
195004,   2.88
195005,  -2.90
195006,  -3.12
195007,   7.50
195008,  -3.14
195009,   0.36
195010,  -0.64
195011,   0.79
195012,   7.40
195101,   2.63
195102,  -3.19
195103,  -2.87
195104,  -0.25
195105,  -1.65
195106,  -4.56
195107,   1.09
195108,  -0.59
195109,   1.31
195110,  -0.57
195111,  -0.39
195112,  -2.14
195201,  -0.99
195202,   0.93
195203,  -2.40
195204,   1.78
195205,  -1.84
195206,  -1.66
195207,  -0.65
195208,   0.40
195209,   0.92
195210,   0.46
195211,  -0.84
195212,  -0.70
195301,   1.46
195302,   0.94
195303,   0.98
195304,   1.91
195305,  -1.30
195306,  -0.90
195307,  -0.60
195308,   0.86
195309,  -0.40
195310,  -3.37
195311,  -0.84
195312,  -1.18
195401,  -0.42
195402,  -0.96
195403,  -2.26
195404,  -3.10
195405,  -1.13
195406,  -1.08
195407,   0.66
195408,   0.05
195409,  -3.32
195410,  -0.90
195411,  -1.66
195412,  -0.01
195501,  -0.95
195502,  -1.88
195503,   0.08
195504,  -0.05
195505,  -0.06
195506,  -3.21
195507,  -0.35
195508,   0.08
195509,   0.20
195510,   0.01
195511,  -3.00
195512,  -0.45
195601,   1.30
195602,  -1.73
195603,  -2.86
195604,  -1.17
195605,   0.08
195606,  -1.42
195607,  -1.90
195608,   0.63
195609,   0.98
195610,  -0.45
195611,   2.39
195612,  -1.25
195701,   4.96
195702,   1.11
195703,  -0.63
195704,  -1.90
195705,  -2.06
195706,  -1.56
195707,  -0.56
195708,   2.10
195709,   2.47
195710,  -0.14
195711,  -0.82
195712,   1.66
195801,   2.50
195802,   0.82
195803,  -0.69
195804,   1.13
195805,   0.29
195806,  -0.68
195807,  -2.12
195808,   0.65
195809,  -0.65
195810,  -0.99
195811,  -0.36
195812,  -0.33
195901,   1.98
195902,   0.39
195903,  -0.46
195904,  -0.46
195905,   0.90
195906,  -0.03
195907,  -0.41
195908,  -1.13
195909,  -0.12
195910,  -0.07
195911,  -0.37
195912,  -0.52
196001,   0.90
196002,  -0.77
196003,  -1.41
196004,  -1.20
196005,  -3.50
196006,  -0.11
196007,   0.28
196008,   1.03
196009,   1.29
196010,   1.27
196011,  -2.55
196012,  -0.58
196101,   3.73
196102,  -2.73
196103,  -3.08
196104,   0.85
196105,   0.78
196106,  -1.67
196107,  -0.32
196108,  -1.60
196109,  -2.86
196110,  -0.51
196111,  -2.61
196112,   3.43
196201,   6.62
196202,   1.11
196203,  -1.08
196204,   0.54
196205,   3.48
196206,   1.74
196207,  -2.00
196208,  -1.11
196209,   1.79
196210,   0.85
196211,   0.73
196212,  -0.41
196301,   1.65
196302,   0.73
196303,   1.32
196304,   1.01
196305,   2.45
196306,  -0.27
196307,  -1.19
196308,   1.62
196309,  -0.04
196310,  -0.25
196311,  -0.08
196312,   0.01
196401,   0.03
196402,   1.36
196403,   3.90
196404,  -2.46
196405,  -0.15
196406,  -0.49
196407,   0.04
196408,  -0.66
196409,   3.70
196410,  -0.74
196411,  -1.42
196412,  -1.63
196501,   2.17
196502,   2.83
196503,   0.65
196504,   0.19
196505,   0.03
196506,  -1.88
196507,   1.55
196508,   1.69
196509,   2.10
196510,   0.91
196511,   1.02
196512,  -0.14
196601,   1.49
196602,   1.35
196603,   0.73
196604,   1.58
196605,  -0.93
196606,   1.47
196607,  -0.39
196608,   2.20
196609,  -1.21
196610,   0.07
196611,  -0.09
196612,   0.33
196701,   0.54
196702,   2.21
196703,  -0.86
196704,  -3.58
196705,  -0.30
196706,  -0.40
196707,  -1.61
196708,   0.29
196709,  -0.82
196710,   0.37
196711,  -2.06
196712,   1.86
196801,   5.99
196802,   2.64
196803,  -2.42
196804,  -4.95
196805,  -1.87
196806,   2.69
196807,   6.26
196808,   0.73
196809,   0.08
196810,   2.69
196811,  -2.15
196812,  -1.00
196901,   2.32
196902,   2.30
196903,  -0.02
196904,   0.06
196905,   1.32
196906,   1.50
196907,   2.99
196908,  -4.65
196909,  -1.12
196910,  -1.79
196911,  -0.50
196912,   0.11
197001,   4.09
197002,   1.66
197003,   5.17
197004,   6.80
197005,   3.91
197006,   3.22
197007,   1.64
197008,  -0.85
197009,  -7.75
197010,   0.64
197011,   1.90
197012,   1.18
197101,   0.72
197102,  -0.25
197103,  -2.12
197104,   1.96
197105,  -0.67
197106,  -0.97
197107,  -2.84
197108,   1.95
197109,  -1.81
197110,  -0.04
197111,  -0.87
197112,   0.75
197201,   3.00
197202,  -1.38
197203,  -1.64
197204,  -0.21
197205,  -1.63
197206,  -1.08
197207,  -0.24
197208,   2.95
197209,  -1.34
197210,   0.28
197211,   1.43
197212,  -2.29
197301,   0.01
197302,  -0.20
197303,   0.99
197304,   2.51
197305,  -2.43
197306,  -0.47
197307,   0.45
197308,   0.30
197309,   5.77
197310,   2.50
197311,  -2.32
197312,   2.62
197401,   7.64
197402,   4.56
197403,  -0.18
197404,   1.25
197405,  -3.07
197406,  -1.77
197407,   3.26
197408,   1.97
197409,   0.79
197410,  -4.98
197411,  -0.07
197412,  -3.93
197501,  14.49
197502,   0.13
197503,   4.72
197504,  -2.00
197505,   2.13
197506,   2.41
197507,   0.76
197508,  -2.35
197509,  -1.45
197510,   0.70
197511,   2.17
197512,  -0.32
197601,   9.27
197602,   4.87
197603,   0.39
197604,  -1.83
197605,  -3.42
197606,   1.67
197607,   0.49
197608,   0.22
197609,  -0.54
197610,  -1.51
197611,   1.22
197612,   2.74
197701,   0.87
197702,  -1.49
197703,  -0.91
197704,   0.23
197705,   0.19
197706,   3.30
197707,   1.47
197708,   3.42
197709,   0.64
197710,  -1.15
197711,   3.26
197712,  -1.77
197801,   1.43
197802,  -0.81
197803,   0.75
197804,   2.00
197805,  -0.15
197806,   0.12
197807,   0.57
197808,  -0.46
197809,  -0.71
197810,  -0.06
197811,  -0.79
197812,   0.26
197901,  -0.77
197902,   0.94
197903,  -0.33
197904,  -0.40
197905,   0.75
197906,  -2.68
197907,  -2.03
197908,  -1.73
197909,   0.06
197910,   1.54
197911,  -2.26
197912,  -0.29
198001,  -0.91
198002,  -0.08
198003,   2.62
198004,  -0.13
198005,   0.75
198006,  -2.90
198007,  -1.67
198008,  -1.55
198009,  -1.76
198010,  -2.84
198011,  -7.79
198012,   3.46
198101,   7.60
198102,   2.58
198103,   1.57
198104,   2.83
198105,   1.61
198106,   0.95
198107,  -3.53
198108,   1.27
198109,   5.24
198110,  -4.90
198111,   0.60
198112,   1.38
198201,   6.42
198202,   5.95
198203,   3.98
198204,  -1.72
198205,   1.58
198206,   1.93
198207,   2.36
198208,  -0.98
198209,  -0.45
198210,  -0.95
198211,   1.03
198212,   1.05
198301,   0.06
198302,  -0.46
198303,   0.94
198304,   3.21
198305,  -2.09
198306,  -0.90
198307,   1.04
198308,  -0.06
198309,   0.82
198310,   1.12
198311,  -1.34
198312,   1.36
198401,   4.25
198402,   0.23
198403,   0.74
198404,  -1.58
198405,  -0.23
198406,  -3.63
198407,  -1.63
198408,  -1.69
198409,   1.77
198410,  -1.77
198411,   1.05
198412,  -3.08
198501,  -1.88
198502,  -0.13
198503,  -0.72
198504,   0.15
198505,  -3.98
198506,  -2.38
198507,   1.67
198508,   0.11
198509,  -0.81
198510,  -2.44
198511,  -2.39
198512,  -3.13
198601,  -2.83
198602,  -3.67
198603,  -2.21
198604,  -1.17
198605,  -1.37
198606,  -6.44
198607,  -4.02
198608,   4.77
198609,   3.82
198610,   0.64
198611,   0.13
198612,   0.54
198701,   3.13
198702,  -0.13
198703,   4.24
198704,   3.93
198705,   2.22
198706,  -1.44
198707,   2.35
198708,  -3.06
198709,   3.07
198710,  -6.31
198711,  -0.42
198712,   2.85
198801,  -1.59
198802,   1.52
198803,   1.21
198804,   0.47
198805,  -0.17
198806,   1.74
198807,  -1.34
198808,  -2.02
198809,  -1.91
198810,  -0.11
198811,  -0.83
198812,   0.79
198901,   2.89
198902,   0.90
198903,   0.14
198904,  -1.11
198905,  -1.72
