
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  24.42  26.29  28.37  29.95  25.42  27.48  28.01  23.27  27.65  23.58
197502   1.69   1.64   1.56   4.01  -1.02   2.47  -1.46   1.55   0.05  -3.02
197503   6.97   7.75   8.79   8.88   6.58   9.33   8.88   6.50   9.82   1.04
197504   8.34   7.41   9.68   8.88   6.76  10.35   7.64   8.09   9.75  10.76
197505  -2.86  -2.53  -2.78  -2.93  -1.65  -3.68  -2.50  -2.62  -2.30  -8.06
197506  -6.19 -10.42  -3.00  -9.41  -2.44 -11.88  -2.74 -11.35  -2.66 -10.18
197507  -0.34  -1.03   0.88   1.96   0.64   0.50   2.01  -1.29   1.15  -0.14
197508  -0.58   0.74  -2.10   0.64  -1.97   1.51  -2.72   0.75  -2.19   0.38
197509  -7.46  -8.36  -7.33  -7.93  -7.03  -8.66  -7.29  -8.57  -7.52  -4.06
197510   7.33   6.01   8.49   8.69   9.98   6.24  11.06   5.57   9.22  -2.90
197511   3.56   4.50   3.24   5.30   2.87   6.87   4.26   4.90   3.52  10.53
197512  -1.43  -2.00  -0.79  -2.42  -0.59  -2.82  -1.09  -2.66  -2.02  -6.32
197601   1.28   5.96  -3.14   7.44  -0.77   8.87  -2.41   4.67  -3.26   5.90
197602   4.21   3.60   5.57   1.72   7.07   3.75   6.16   3.03   5.76   6.34
197603  -7.33  -8.39  -7.35  -6.09  -7.34  -5.13  -7.52  -8.06  -7.45  -6.02
197604  -4.55  -4.00  -5.35  -3.97  -5.34  -4.03  -4.97  -2.95  -6.29   0.16
197605  -1.75  -2.64  -0.75  -1.88  -0.83  -1.41  -1.16  -2.67  -1.35  -5.64
197606  -2.42  -4.23  -1.09  -1.74  -1.65  -2.98  -1.70  -5.39  -1.59  -1.25
197607  -8.71 -11.02  -6.80 -10.71  -7.95 -11.91  -7.82 -10.51  -7.17 -13.75
197608  -0.69   0.61  -1.31  -2.07  -0.84  -2.27  -1.28   0.84  -1.72   1.95
197609  -6.65  -8.52  -4.18  -9.25  -5.42 -11.81  -4.79  -7.73  -4.61 -16.08
197610  -7.86  -8.86  -8.28  -8.37  -9.11  -8.05  -9.56  -8.59  -8.39 -11.13
197611  -3.90  -6.18  -2.52  -6.85  -4.33  -8.91  -3.49  -3.70  -2.46  -9.80
197612  11.82  14.00   9.68  16.75   9.47  15.80   9.68  13.63  10.61   6.06
197701  -2.21  -1.31  -2.70   0.26  -1.50   0.73  -3.28  -3.20  -4.34  -4.20
197702  -4.76  -6.03  -3.93  -5.27  -5.07  -4.90  -4.29  -3.86  -4.67  -8.37
197703 -10.16  -5.70 -13.29  -8.78 -12.83  -7.51 -14.66  -4.70 -16.24  -7.27
197704  -2.49  -3.90  -1.64  -1.68  -2.83  -2.84  -2.91  -2.35  -1.79  -8.91
197705   4.41   6.01   3.67   5.69   3.28   7.38   4.24   4.44   3.01  -2.11
197706   6.10   7.08   5.09   6.21   7.37   5.94   6.30   3.30   8.17   7.32
197707  -3.18  -4.51  -2.71  -4.24  -2.54  -6.97  -3.33  -3.99  -3.03  -5.16
197708   7.21   6.87   5.55   7.24   5.39   7.45   5.77   7.82   7.76  10.10
197709   5.46   4.05   6.79   7.00   3.83   6.20   5.47   3.98   6.97  -4.25
197710   4.08   0.53   5.16   5.32   3.64   1.22   3.20   2.49   3.34   2.21
197711  -4.63  -5.62  -1.25  -7.03  -6.54  -6.00  -7.14  -5.40  -8.09  -5.05
197712  -0.51  -0.68  -0.39   0.22  -2.68  -1.29  -2.65   0.77  -2.33   1.40
197801  -6.29  -5.88  -7.43  -4.99  -7.72  -4.52  -9.19  -4.61  -6.12  -8.48
197802   1.51   0.64   1.15   2.09   1.73   0.59   2.21   3.95   0.43   4.51
197803  26.93  28.46  23.50  30.09  34.86  33.62  30.70  28.37  23.78  21.97
197804   4.15   8.82   2.75   2.00   4.74   9.45   4.82   3.69   2.58  18.61
