This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,WML,RF
199007    ,0.79    ,0.07    ,0.24 ,-99.99    ,0.68
199008  ,-10.76   ,-1.56    ,0.42 ,-99.99    ,0.66
199009  ,-12.24    ,1.68    ,0.34 ,-99.99    ,0.60
199010    ,9.58   ,-8.11   ,-3.29 ,-99.99    ,0.68
199011   ,-3.87    ,1.62    ,0.68   ,-0.32    ,0.57
199012    ,1.03   ,-0.79   ,-1.35   ,-3.00    ,0.60
199101    ,2.47   ,-1.62    ,0.21   ,-1.72    ,0.52
199102    ,9.09    ,2.42    ,0.24   ,-7.88    ,0.48
199103   ,-2.37    ,3.73   ,-1.13    ,1.78    ,0.44
199104    ,0.60    ,0.20    ,0.38   ,-0.13    ,0.53
199105    ,0.75   ,-0.19    ,0.32    ,0.92    ,0.47
199106   ,-6.07    ,1.46    ,1.16    ,1.27    ,0.42
199107    ,3.44   ,-1.79   ,-0.76    ,3.70    ,0.49
199108   ,-1.40    ,0.53   ,-0.97    ,3.27    ,0.46
199109    ,2.88    ,0.47    ,0.11    ,1.15    ,0.46
199110    ,1.36    ,0.21   ,-1.39    ,2.16    ,0.42
199111   ,-5.14    ,0.71   ,-1.44    ,1.24    ,0.39
199112    ,6.18   ,-1.90   ,-3.09    ,2.98    ,0.38
199201   ,-2.20    ,3.94    ,2.73    ,0.32    ,0.34
199202   ,-1.89    ,2.13    ,1.74    ,1.37    ,0.28
199203   ,-5.48    ,0.73    ,1.97    ,1.16    ,0.34
199204   ,-0.16   ,-2.09    ,2.27    ,0.35    ,0.32
199205    ,4.13    ,0.47    ,0.47   ,-0.28    ,0.28
199206   ,-3.76    ,0.32    ,0.83    ,3.09    ,0.32
199207   ,-0.67   ,-2.20   ,-1.46    ,0.94    ,0.31
199208    ,2.59   ,-2.54   ,-1.55   ,-3.63    ,0.26
199209   ,-1.40   ,-0.02   ,-0.88    ,2.65    ,0.26
199210   ,-3.09   ,-0.12   ,-0.76    ,1.79    ,0.23
199211    ,1.84    ,0.02   ,-1.70    ,0.73    ,0.23
199212    ,0.72    ,1.54    ,0.57    ,1.39    ,0.28
199301    ,0.36    ,1.66    ,3.32    ,2.61    ,0.23
199302    ,1.95   ,-1.26    ,3.37    ,0.65    ,0.22
199303    ,6.77    ,0.28    ,1.87    ,0.06    ,0.25
199304    ,4.46    ,0.73    ,3.06   ,-1.11    ,0.24
199305    ,3.13    ,4.54   ,-1.46    ,0.40    ,0.22
199306   ,-2.16   ,-0.89    ,0.42    ,2.71    ,0.25
199307    ,2.31   ,-1.29    ,1.16    ,2.23    ,0.24
199308    ,4.37    ,0.95    ,1.00    ,0.39    ,0.25
199309   ,-2.04    ,2.05    ,0.15    ,0.40    ,0.26
199310    ,1.11   ,-0.36   ,-0.94   ,-0.19    ,0.22
199311   ,-6.31    ,1.61   ,-0.46   ,-4.68    ,0.25
199312    ,4.00    ,0.27    ,2.38    ,1.78    ,0.23
199401    ,7.36    ,0.37    ,3.42    ,1.57    ,0.25
199402   ,-1.11    ,1.36    ,0.72    ,0.68    ,0.21
199403   ,-3.64    ,0.65    ,1.80   ,-1.58    ,0.27
199404    ,2.35   ,-0.12    ,1.19   ,-0.58    ,0.27
199405   ,-0.20   ,-1.38    ,1.14   ,-0.80    ,0.31
199406    ,0.16   ,-0.55    ,1.37   ,-0.21    ,0.31
199407    ,1.07   ,-0.31    ,0.45   ,-0.63    ,0.28
199408    ,2.10    ,0.02   ,-1.88    ,0.53    ,0.37
199409   ,-2.85    ,1.84   ,-0.41    ,1.19    ,0.37
199410    ,2.11   ,-1.85   ,-0.12    ,1.17    ,0.38
199411   ,-5.14   ,-0.26   ,-0.43   ,-0.60    ,0.37
199412    ,0.79   ,-0.07   ,-0.58    ,1.58    ,0.44
199501   ,-2.34    ,0.19    ,0.32   ,-1.18    ,0.42
199502    ,0.57    ,0.40    ,0.02    ,0.51    ,0.40
199503    ,4.26   ,-2.04   ,-1.04   ,-0.49    ,0.46
199504    ,2.67   ,-1.30    ,0.25    ,1.05    ,0.44
199505   ,-0.16   ,-0.10    ,0.49    ,0.81    ,0.54
199506   ,-0.07    ,2.16   ,-1.25    ,2.88    ,0.47
199507    ,4.37    ,0.72   ,-2.02    ,0.64    ,0.45
199508   ,-1.83    ,2.10   ,-0.18   ,-0.18    ,0.47
199509    ,1.67   ,-1.22   ,-1.16    ,3.17    ,0.43
199510   ,-1.99   ,-1.60   ,-0.16    ,2.39    ,0.47
199511    ,2.65   ,-1.32   ,-0.17    ,0.38    ,0.42
199512    ,2.19    ,0.34    ,0.96   ,-1.08    ,0.49
199601    ,1.09   ,-0.04    ,0.54   ,-0.42    ,0.43
199602    ,0.62    ,1.26   ,-0.63    ,0.78    ,0.39
199603    ,1.23    ,0.33    ,0.01    ,0.20    ,0.39
199604    ,2.70    ,3.55   ,-1.12    ,0.04    ,0.46
199605    ,0.09    ,2.19   ,-0.61    ,1.54    ,0.42
199606   ,-0.48   ,-2.54    ,1.43    ,0.09    ,0.40
199607   ,-4.52   ,-2.08    ,3.06   ,-2.47    ,0.45
199608    ,0.92    ,1.31   ,-0.65    ,1.69    ,0.41
199609    ,3.15   ,-2.61   ,-0.90    ,1.86    ,0.44
199610   ,-0.49   ,-0.80    ,2.22    ,2.41    ,0.42
199611    ,4.42   ,-3.34    ,1.72   ,-0.10    ,0.41
199612   ,-1.77    ,0.79    ,1.11    ,0.64    ,0.46
199701    ,0.02   ,-0.05    ,0.26    ,2.63    ,0.45
199702    ,0.27   ,-1.52    ,2.12   ,-1.23    ,0.39
199703   ,-2.78   ,-1.07    ,2.28    ,0.93    ,0.43
199704    ,1.91   ,-4.35   ,-0.25    ,4.15    ,0.43
199705    ,6.96    ,1.94   ,-1.83   ,-2.19    ,0.49
199706    ,4.06   ,-1.60    ,0.81    ,0.90    ,0.37
199707    ,3.68   ,-4.63    ,0.12    ,6.37    ,0.43
199708   ,-5.57    ,5.33    ,0.47   ,-0.19    ,0.41
199709    ,4.96   ,-2.15   ,-0.33    ,5.65    ,0.44
199710   ,-5.45    ,0.66    ,1.59   ,-1.37    ,0.42
199711    ,0.29   ,-5.72   ,-0.59    ,2.57    ,0.39
199712    ,0.29   ,-3.67    ,2.33    ,5.15    ,0.48
199801    ,2.05   ,-0.19   ,-1.29   ,-2.88    ,0.43
199802    ,6.44    ,0.08    ,0.68   ,-1.70    ,0.39
199803    ,3.77   ,-0.81    ,2.42    ,2.31    ,0.39
199804    ,0.75    ,0.40   ,-0.26    ,0.83    ,0.43
199805   ,-1.60   ,-1.00    ,1.83    ,1.16    ,0.40
199806    ,1.23   ,-3.68   ,-1.77    ,4.66    ,0.41
199807   ,-1.18   ,-3.34   ,-0.74    ,3.77    ,0.40
199808  ,-14.01   ,-0.72   ,-0.63    ,0.25    ,0.43
199809    ,1.25   ,-0.40   ,-2.98   ,-0.42    ,0.46
199810    ,8.08   ,-2.86    ,1.17   ,-3.41    ,0.32
199811    ,4.98   ,-0.42   ,-1.37    ,0.60    ,0.31
199812    ,4.33   ,-1.50   ,-3.22    ,7.39    ,0.38
199901    ,1.85   ,-0.15   ,-3.78    ,4.72    ,0.35
199902   ,-3.31   ,-0.80    ,0.20   ,-0.98    ,0.35
199903    ,3.53   ,-0.70   ,-0.29   ,-2.38    ,0.43
199904    ,4.23    ,2.51    ,3.86   ,-6.96    ,0.37
199905   ,-3.11    ,2.92    ,0.48   ,-0.79    ,0.34
199906    ,4.60    ,3.08   ,-1.69    ,5.83    ,0.40
199907   ,-0.33    ,2.05    ,0.71    ,1.89    ,0.38
199908    ,0.04    ,1.17   ,-1.50    ,4.27    ,0.39
199909   ,-0.60    ,2.12   ,-2.06    ,4.67    ,0.39
199910    ,4.40   ,-4.81   ,-3.74    ,4.87    ,0.39
199911    ,3.61    ,2.19   ,-9.62   ,11.24    ,0.36
199912    ,7.08   ,-1.21   ,-5.81   ,12.10    ,0.44
200001   ,-5.46    ,5.67   ,-2.01    ,2.77    ,0.41
200002    ,2.21   ,10.30   ,-9.54   ,17.87    ,0.43
200003    ,4.77   ,-9.65    ,6.29  ,-11.80    ,0.47
200004   ,-5.73   ,-5.14    ,5.26  ,-10.58    ,0.46
200005   ,-3.23   ,-1.06    ,5.81  ,-10.91    ,0.50
200006    ,3.29    ,5.03   ,-1.68    ,6.74    ,0.40
200007   ,-3.32   ,-2.29    ,5.85   ,-2.93    ,0.48
200008    ,4.14    ,0.06   ,-1.30    ,6.15    ,0.50
200009   ,-5.23   ,-0.68    ,6.55   ,-3.64    ,0.51
200010   ,-3.49   ,-5.54    ,6.88   ,-6.54    ,0.56
200011   ,-7.39   ,-1.15   ,11.14   ,-7.08    ,0.51
200012    ,1.42    ,0.63    ,7.84    ,3.26    ,0.50
200101    ,1.76    ,2.36   ,-3.49  ,-13.51    ,0.54
200102   ,-8.75    ,2.64   ,11.23    ,8.48    ,0.38
200103   ,-7.74   ,-0.84    ,7.09    ,5.39    ,0.42
200104    ,7.64   ,-0.62   ,-3.04   ,-4.99    ,0.39
200105   ,-1.10    ,2.19    ,2.48    ,3.51    ,0.32
200106   ,-2.73    ,1.71    ,3.34    ,4.44    ,0.28
200107   ,-2.52   ,-3.07    ,3.16    ,3.81    ,0.30
200108   ,-4.42    ,2.48    ,3.67    ,6.61    ,0.31
200109   ,-9.93   ,-4.77    ,1.87    ,9.22    ,0.28
200110    ,2.46    ,3.83   ,-5.10   ,-5.81    ,0.22
200111    ,5.66   ,-1.02   ,-1.29   ,-8.89    ,0.17
200112    ,0.63    ,0.04    ,1.84    ,1.44    ,0.15
200201   ,-3.20    ,1.18    ,1.95    ,3.40    ,0.14
200202   ,-0.68   ,-0.01    ,2.93    ,5.05    ,0.13
200203    ,4.71    ,1.38    ,0.60   ,-2.11    ,0.13
200204   ,-2.56    ,4.04    ,4.93    ,5.80    ,0.15
200205    ,0.36    ,0.42    ,2.81    ,2.45    ,0.14
200206   ,-5.43    ,2.21    ,2.19    ,6.46    ,0.13
200207   ,-8.62   ,-1.33   ,-0.48    ,3.14    ,0.15
