This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Global_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   4.82   3.72   4.69   3.81   3.81   5.68   6.12   5.36   4.30   4.96   4.15   4.52   3.55   4.98   6.52   4.09   4.46   3.85   5.13   5.69   2.90  -0.23   2.17   2.89   1.79
199008  -9.14  -9.89  -7.90  -9.14  -8.20 -12.45  -9.83 -12.33 -10.79 -10.98 -14.01 -10.94 -12.26 -12.44 -14.44 -11.53 -11.44 -12.47 -13.65 -13.13  -9.65 -10.33  -9.70  -9.52  -9.71
199009  -9.77  -8.13  -8.26  -8.17  -8.45 -11.93 -11.25 -11.26  -9.42  -9.55 -12.41 -12.49 -11.46 -13.98 -13.76 -14.64 -13.34 -14.36 -17.28 -15.96 -16.22 -16.69 -13.44 -13.11 -12.94
199010   3.04   1.06   1.44   1.13   0.08  11.35   7.43  10.43   6.71   6.02  17.05  11.62  10.20  13.87  13.90  15.26  12.62  15.30  15.51  17.51  16.63  22.72  16.19  12.83  14.11
199011  -5.37  -2.81  -2.51  -2.90  -3.35  -9.64  -5.47  -6.18  -5.27  -4.74 -11.22  -6.59  -6.73 -10.34  -9.73  -9.95  -7.36  -9.13  -9.69 -10.47  -8.41  -7.60  -5.50  -5.07  -7.71
199012  -4.05  -0.34  -0.85  -1.44  -0.47   0.28  -0.79  -0.57  -0.07   0.38   0.50  -1.65  -2.56  -2.00  -1.44  -1.31  -0.37  -1.03  -1.30  -1.09   2.73   3.38   2.43   0.52  -0.75
199101  -1.62  -1.87  -1.49  -1.34  -1.94  -4.17  -1.86  -2.46  -0.28  -1.27  -2.48  -3.10  -0.52  -3.66  -1.86  -2.02   0.10  -1.89  -1.38  -0.45   3.00   3.69   3.31   2.07   3.54
199102  11.55  10.47   9.42  10.13   9.90  14.14  11.34  13.87  12.03  11.56  16.07  14.93  13.40  16.97  14.65  14.64  11.98  14.58  15.91  15.39   9.95   7.89   9.03  11.22  10.85
199103   0.60  -0.28  -0.41  -0.77  -1.40  -1.72  -2.61  -3.01  -2.01  -3.33  -3.08  -2.81  -3.12  -1.88  -2.67  -3.39  -3.44  -3.91  -3.13  -2.66  -5.53  -4.29  -4.19  -5.92  -5.26
199104   0.50   1.42   0.84   0.14   0.71   1.60   1.08   0.66   0.39   0.98   1.01   2.18   0.77   1.39   0.32   0.18   0.41   1.31   0.55   1.51   0.93   2.48   1.10   1.86   0.61
