This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Global_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007   ,5.19   ,4.76   ,4.74   ,1.39   ,2.30   ,3.00
199008 ,-11.70 ,-10.96 ,-10.93 ,-10.06 ,-10.20 ,-10.58
199009 ,-11.30 ,-10.72 ,-10.84 ,-15.62 ,-14.40 ,-13.94
199010   ,9.75   ,7.89   ,6.32  ,20.23  ,15.51  ,13.96
199011  ,-8.04  ,-5.41  ,-5.53  ,-8.59  ,-6.08  ,-7.45
199012  ,-1.17  ,-1.01  ,-1.24   ,3.27   ,1.16  ,-0.49
199101  ,-3.24  ,-2.29  ,-2.33   ,3.13   ,2.09   ,2.54
199102  ,13.63  ,13.14  ,12.59   ,9.22  ,10.15  ,11.90
199103  ,-1.89  ,-2.85  ,-2.10  ,-4.49  ,-4.65  ,-5.05
199104   ,1.65   ,0.73   ,1.23   ,1.37   ,1.67   ,1.00
199105  ,-2.14  ,-1.16  ,-1.83  ,-0.28   ,0.22  ,-0.49
199106  ,-5.39  ,-4.97  ,-4.29  ,-7.23  ,-7.06  ,-5.55
199107   ,1.68   ,1.90   ,1.62   ,3.23   ,4.43   ,4.32
199108  ,-3.29  ,-2.55  ,-2.90  ,-2.72  ,-2.04  ,-3.49
199109   ,5.54   ,6.32   ,5.38   ,6.06   ,5.89   ,6.11
199110   ,2.46   ,1.02   ,0.48   ,3.60   ,1.53   ,1.12
199111  ,-3.80  ,-3.70  ,-4.23  ,-5.07  ,-4.80  ,-6.09
199112   ,3.67   ,2.93   ,2.79   ,5.00   ,4.06   ,4.35
199201  ,-1.81  ,-1.21  ,-1.07  ,-3.76  ,-3.01  ,-1.12
199202  ,-1.19  ,-1.08  ,-0.86  ,-3.70  ,-3.81  ,-3.67
199203  ,-5.84  ,-4.70  ,-4.58  ,-7.99  ,-6.27  ,-6.77
199204  ,-0.79   ,0.30   ,0.67  ,-2.74  ,-0.89   ,1.43
199205   ,7.33   ,6.96   ,8.04   ,7.12   ,6.91   ,6.58
199206  ,-2.98  ,-2.42  ,-2.72  ,-4.94  ,-4.47  ,-4.20
199207  ,-5.29  ,-5.13  ,-5.67  ,-1.75  ,-3.08  ,-4.17
199208   ,2.18   ,1.66   ,1.15   ,9.70   ,5.46   ,5.13
199209  ,-1.78  ,-2.83  ,-3.87  ,-2.91  ,-2.46  ,-2.91
199210  ,-6.99  ,-6.39  ,-5.84  ,-4.88  ,-6.35  ,-4.33
199211  ,-1.46  ,-1.75  ,-2.00   ,1.72   ,0.39   ,0.40
199212   ,2.44   ,2.04   ,0.86  ,-0.12   ,0.49   ,0.59
199301   ,1.23   ,1.09   ,1.88  ,-0.85  ,-0.22   ,1.52
199302   ,3.84   ,3.68   ,4.86   ,2.88   ,3.90   ,3.24
199303  ,10.98  ,10.01  ,10.82   ,8.39  ,11.11  ,11.73
199304   ,9.68  ,10.29  ,12.35   ,8.75   ,8.96  ,11.86
199305   ,8.05   ,9.02   ,9.56   ,3.98   ,2.55   ,2.05
199306  ,-3.36  ,-4.50  ,-3.91  ,-2.25  ,-3.63  ,-3.56
199307   ,1.14   ,1.11   ,1.64   ,4.69   ,4.06   ,5.20
199308   ,5.36   ,6.36   ,6.87   ,4.34   ,5.02   ,5.84
199309  ,-2.05  ,-1.14  ,-1.85  ,-3.29  ,-2.83  ,-3.22
199310  ,-0.02  ,-0.58   ,0.28   ,1.22   ,1.62   ,1.22
199311  ,-5.89  ,-5.35  ,-5.52 ,-10.24  ,-7.87 ,-10.24
199312   ,5.35   ,5.40   ,7.59   ,4.40   ,6.27   ,7.93
199401   ,8.93  ,10.07  ,13.42   ,9.10   ,9.85  ,13.40
199402   ,0.02   ,0.45   ,1.25  ,-0.59  ,-0.63   ,0.94
199403  ,-2.44  ,-1.21  ,-0.95  ,-3.67  ,-3.37  ,-1.36
199404   ,2.87   ,3.51   ,5.06   ,3.95   ,3.17   ,3.43
199405  ,-1.14  ,-1.24  ,-0.56  ,-0.76  ,-0.57   ,1.07
199406   ,1.16   ,0.63   ,1.98   ,1.77   ,2.16   ,2.77
199407   ,0.27   ,1.29   ,0.74  ,-0.63   ,1.53   ,0.41
199408   ,1.22   ,0.70  ,-0.02   ,1.68   ,1.85   ,0.88
199409  ,-1.63  ,-1.73  ,-1.38  ,-3.00  ,-2.98  ,-2.69
199410   ,1.14   ,0.95   ,1.56   ,2.57   ,3.61   ,3.31
199411  ,-6.76  ,-5.80  ,-5.91  ,-5.62  ,-5.26  ,-5.40
199412   ,0.58   ,0.67   ,0.73   ,1.78   ,0.92   ,0.58
199501  ,-3.51  ,-2.50  ,-2.58  ,-4.27  ,-4.38  ,-4.59
199502  ,-0.39  ,-0.17  ,-0.06  ,-1.25  ,-0.61  ,-1.02
199503   ,3.58   ,2.81   ,2.82   ,7.52   ,5.69   ,5.63
199504   ,1.74   ,2.15   ,1.64   ,4.14   ,3.51   ,3.06
199505  ,-0.32  ,-0.41  ,-0.75  ,-1.86  ,-1.38  ,-1.50
199506  ,-0.67  ,-0.01  ,-0.62  ,-1.88  ,-1.21  ,-0.78
199507   ,5.75   ,4.50   ,3.61   ,5.88   ,5.45   ,4.46
199508   ,0.18  ,-0.37  ,-1.98  ,-2.95  ,-2.79  ,-3.94
199509   ,0.56   ,0.08  ,-0.31   ,1.16   ,1.50  ,-0.15
199510  ,-1.52  ,-2.16  ,-2.01  ,-2.43  ,-1.67  ,-1.88
199511   ,1.19   ,0.43   ,1.01   ,2.67   ,2.05   ,2.36
199512   ,3.06   ,3.49   ,4.42   ,3.14   ,3.38   ,4.32
199601   ,2.06   ,3.01   ,2.32  ,-0.72   ,1.03   ,1.67
199602   ,1.71   ,0.91   ,1.30   ,0.14   ,0.61   ,0.41
199603   ,1.72   ,1.68   ,1.44   ,2.24   ,1.92   ,1.63
199604   ,5.82   ,5.70   ,5.59   ,3.09   ,3.84   ,3.68
199605   ,0.70   ,0.59   ,0.67  ,-1.35  ,-1.22  ,-0.65
199606  ,-1.78  ,-0.95  ,-0.30  ,-0.36   ,0.34   ,1.19
199607  ,-5.09  ,-3.17  ,-2.69  ,-3.56  ,-2.80  ,-2.95
199608   ,1.50   ,1.70  ,-0.32  ,-0.09   ,0.04  ,-0.36
199609  ,-0.77   ,0.00  ,-0.34   ,2.21   ,3.16   ,2.44
199610   ,0.01   ,1.18   ,0.02  ,-2.01  ,-0.60  ,-1.77
199611   ,1.46   ,1.22   ,1.94   ,2.39   ,3.97   ,5.19
199612  ,-2.59  ,-1.46  ,-1.59  ,-2.56  ,-0.77  ,-0.65
199701  ,-1.66  ,-0.32  ,-1.31  ,-5.55  ,-2.97  ,-2.54
199702   ,1.23   ,1.01   ,1.44   ,1.64   ,1.12   ,0.65
199703  ,-3.60  ,-1.44  ,-1.11  ,-0.97  ,-0.02  ,-0.13
199704  ,-1.99  ,-1.67  ,-1.00   ,0.49   ,0.98   ,0.80
199705   ,6.73   ,7.71   ,7.71   ,9.41   ,7.38   ,6.99
199706   ,0.19   ,1.74   ,2.74   ,5.22   ,4.78   ,4.26
199707  ,-3.74  ,-2.98  ,-3.55   ,1.83   ,1.57   ,1.26
199708  ,-1.92  ,-2.81  ,-2.88  ,-7.25  ,-6.84  ,-6.31
199709   ,0.85   ,0.37  ,-1.46   ,5.04   ,6.05   ,5.27
199710  ,-4.32  ,-5.29  ,-4.09  ,-8.11  ,-7.26  ,-5.78
199711  ,-6.75  ,-6.17  ,-7.69  ,-1.94  ,-0.54  ,-3.86
199712  ,-3.60  ,-3.99  ,-4.28  ,-0.16  ,-0.10   ,0.62
199801   ,4.06   ,3.04   ,5.78   ,5.25   ,3.09   ,4.67
199802   ,6.44   ,6.41   ,7.94   ,5.88   ,6.42   ,7.63
199803   ,3.26   ,2.43   ,3.72   ,0.33   ,4.14   ,6.41
199804   ,2.08   ,1.47   ,0.52   ,0.39   ,1.50   ,0.59
199805   ,0.76  ,-0.18   ,0.73  ,-1.60   ,0.31   ,1.47
199806  ,-2.91  ,-4.05  ,-3.10  ,-0.16   ,0.34  ,-1.27
199807  ,-2.10  ,-2.11  ,-2.58   ,0.74   ,0.14   ,2.13
199808 ,-12.44 ,-11.62 ,-10.32  ,-9.49 ,-12.28 ,-14.97
199809  ,-1.93  ,-1.51  ,-2.39  ,-2.19  ,-2.39  ,-7.04
199810   ,4.67   ,5.93   ,8.59  ,10.12   ,9.49  ,11.59
199811   ,3.36   ,4.17   ,4.16   ,4.00   ,4.51   ,5.23
199812   ,2.43   ,1.09   ,0.18   ,3.72   ,2.69   ,1.89
199901   ,2.65   ,0.23  ,-0.71   ,1.19   ,0.33  ,-0.49
199902   ,1.73  ,-1.24  ,-1.14  ,-2.34  ,-1.86  ,-3.17
199903   ,4.45   ,3.95   ,7.06   ,5.03   ,3.06   ,5.12
199904   ,6.46   ,8.01   ,9.81   ,2.91   ,5.74   ,6.29
199905  ,-0.83  ,-0.97  ,-0.89  ,-3.97  ,-4.06  ,-4.92
199906   ,9.22   ,7.20   ,9.38   ,6.13   ,3.00   ,5.20
199907   ,3.55   ,4.16   ,4.54   ,4.14   ,2.58   ,3.35
199908   ,5.23   ,4.09   ,2.73   ,1.70   ,0.59   ,3.25
199909   ,3.76   ,2.41   ,1.31   ,3.16   ,0.61   ,1.92
199910   ,1.73   ,0.37  ,-1.28   ,6.95   ,2.28   ,1.99
199911   ,7.58   ,1.45  ,-1.94  ,10.23   ,2.78  ,-3.05
199912   ,6.64   ,2.29  ,-0.78   ,8.97   ,9.19   ,4.62
200001   ,3.90  ,-1.09  ,-0.79  ,-6.34  ,-6.93  ,-6.74
200002  ,12.92   ,4.82   ,0.01   ,4.78   ,3.95  ,-2.64
200003  ,-4.76  ,-0.93   ,3.64   ,1.14   ,5.34   ,4.49
200004 ,-13.54  ,-9.23  ,-8.58  ,-7.13  ,-5.21  ,-3.65
200005  ,-4.28  ,-0.19   ,2.02  ,-5.63   ,0.05   ,1.17
200006   ,3.18   ,4.76   ,7.27   ,2.14   ,4.46   ,5.58
200007  ,-5.26  ,-3.55  ,-4.11  ,-6.28  ,-2.51  ,-1.06
200008   ,2.54   ,1.29   ,3.12   ,3.06   ,1.40  ,-0.99
200009  ,-5.73  ,-3.96  ,-2.88  ,-7.42  ,-2.94  ,-2.41
200010 ,-12.16  ,-7.34  ,-5.29  ,-6.85  ,-1.67   ,0.93
200011 ,-10.74  ,-2.61   ,1.29  ,-7.18  ,-1.59  ,-0.37
200012   ,1.66   ,2.68   ,2.14  ,-3.85   ,5.23   ,5.37
200101   ,1.34   ,1.82   ,1.71   ,2.36   ,0.11  ,-1.14
200102  ,-7.63  ,-3.06   ,0.55 ,-14.34  ,-4.49  ,-4.24
200103 ,-11.68  ,-7.42  ,-5.36  ,-9.18  ,-7.55  ,-5.85
