This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Global_ex_US.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-6.65  ,-7.59  ,-7.76  ,-8.44  ,-7.99  ,-5.88
199012  ,-2.05  ,-1.13  ,-1.86   ,5.02   ,0.78  ,-2.43
199101  ,-2.09  ,-2.69  ,-2.48   ,2.76   ,3.14   ,1.17
199102  ,22.15  ,13.41  ,10.66  ,16.21   ,9.57   ,6.25
199103  ,-1.37  ,-2.06  ,-1.11  ,-4.95  ,-4.99  ,-3.66
199104   ,1.81   ,1.51   ,2.34   ,1.24   ,1.28   ,1.83
199105  ,-2.50  ,-1.18  ,-0.73  ,-0.58   ,0.04  ,-0.11
199106  ,-5.36  ,-4.06  ,-3.14  ,-7.66  ,-7.07  ,-5.28
199107  ,-0.04   ,0.98   ,2.28   ,1.62   ,3.21   ,5.61
199108  ,-5.25  ,-2.99  ,-0.70  ,-4.41  ,-3.59  ,-1.21
199109   ,5.71   ,6.34   ,7.58   ,6.97   ,6.28   ,5.42
199110   ,0.33   ,1.38   ,1.85   ,1.20   ,1.01   ,3.69
199111  ,-5.05  ,-3.44  ,-3.13  ,-6.76  ,-5.50  ,-4.42
199112   ,1.30   ,2.68   ,2.50   ,3.03   ,5.27   ,3.98
199201  ,-2.74  ,-1.96  ,-0.33  ,-1.89  ,-2.58  ,-3.21
199202  ,-1.50  ,-1.65  ,-0.61  ,-5.15  ,-3.89  ,-1.70
199203  ,-7.23  ,-4.91  ,-4.86  ,-7.63  ,-7.28  ,-5.84
199204  ,-2.91  ,-1.51   ,0.73  ,-1.51  ,-1.70   ,0.55
199205   ,7.86   ,7.59   ,7.42   ,6.83   ,7.13   ,6.41
199206  ,-5.98  ,-2.10  ,-0.97  ,-8.59  ,-3.69  ,-2.50
199207  ,-7.15  ,-4.19  ,-5.16  ,-2.51  ,-2.65  ,-3.58
199208   ,3.62   ,2.15   ,1.14  ,12.75   ,4.78   ,4.92
199209  ,-4.31  ,-1.93  ,-2.30  ,-4.79  ,-2.16  ,-1.61
199210  ,-6.88  ,-6.56  ,-5.55  ,-5.78  ,-5.64  ,-4.75
199211  ,-2.15  ,-2.08  ,-1.16   ,2.30   ,0.75  ,-0.02
199212   ,2.43   ,1.93   ,1.15  ,-0.19   ,0.19   ,0.83
199301   ,1.11   ,1.38   ,3.48   ,0.24  ,-0.13  ,-0.09
199302   ,4.31   ,3.35   ,3.96   ,3.43   ,4.13   ,2.35
199303  ,12.90   ,8.43   ,9.31  ,11.00  ,10.69   ,9.42
199304  ,12.59   ,9.47   ,9.71  ,10.58   ,9.31   ,9.25
199305   ,9.16   ,7.69   ,7.63   ,1.85   ,2.24   ,4.49
