This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
199007    1.92    2.67    0.58  -99.99    0.68
199008  -11.13   -0.91    0.12  -99.99    0.66
199009  -15.03    3.70    1.07  -99.99    0.60
199010   15.11   -8.58   -4.85  -99.99    0.68
199011   -8.10    1.05    1.83    0.72    0.57
199012    0.42   -2.46   -1.92   -3.63    0.60
199101    1.46   -5.21    0.16   -0.99    0.52
199102   10.09    2.69    0.82  -10.72    0.48
199103   -4.69    2.45   -0.39    0.78    0.44
199104    1.00   -0.14   -0.40    0.56    0.53
199105   -0.82   -1.53    0.05    1.12    0.47
199106   -6.79    1.73    1.39    2.30    0.42
199107    3.02   -2.26    0.52    3.16    0.49
199108   -3.34   -0.16   -0.19    3.87    0.46
199109    5.56   -0.27   -0.06    0.16    0.46
199110    1.49   -0.77   -2.23    2.01    0.42
199111   -5.61    1.41   -0.72    2.13    0.39
199112    3.72   -1.34   -0.76    1.07    0.38
199201   -2.99    1.27    1.69    0.54    0.34
199202   -3.75    2.68    0.19    2.17    0.28
199203   -7.24    1.97    1.24    2.08    0.34
199204   -1.33    0.79    2.81    2.85    0.32
199205    6.66    0.57    0.08   -0.43    0.28
199206   -4.75    1.83    0.50    5.55    0.32
199207   -3.48   -2.37   -1.40    0.46    0.31
199208    6.05   -5.10   -2.80   -5.16    0.26
199209   -3.03   -0.07   -1.04    2.60    0.26
199210   -5.69   -1.22    0.85    1.18    0.23
199211    0.31   -2.57   -0.93   -0.66    0.23
199212    0.18    1.46   -0.44   -0.13    0.28
199301   -0.11    1.25    1.51    1.02    0.23
199302    3.20    0.79    0.69   -0.72    0.22
199303   10.04    0.19    1.59   -2.58    0.25
199304    9.47    0.92    2.88   -2.10    0.24
199305    3.31    6.02   -0.21    0.55    0.22
199306   -3.52   -0.78   -0.93    2.48    0.25
199307    3.93   -3.35    0.51    0.99    0.24
199308    4.83    1.13    1.50   -0.71    0.25
199309   -3.12    1.43    0.13   -1.22    0.26
199310    0.98   -1.46    0.16    0.85    0.22
199311   -9.13    3.87    0.18   -4.20    0.25
199312    5.69   -0.09    2.89    1.34    0.23
199401   10.18    0.03    4.39    1.84    0.25
199402   -0.30    0.67    1.38    1.05    0.21
199403   -3.08    1.27    1.89   -1.64    0.27
199404    3.24    0.30    0.83   -0.95    0.27
199405   -0.64   -0.89    1.21    0.14    0.31
199406    1.86   -0.98    0.91    0.21    0.31
199407    0.20    0.33    0.76   -0.90    0.28
199408    1.08   -0.84   -1.02    0.15    0.37
199409   -3.14    1.31    0.27    0.92    0.37
199410    2.55   -1.95    0.58    1.25    0.38
199411   -5.86   -0.73    0.54   -0.48    0.37
199412    0.71   -0.43   -0.53    0.85    0.44
199501   -4.67    1.55    0.31   -1.52    0.42
199502   -1.29    0.75    0.28    1.09    0.40
199503    5.53   -3.21   -1.32   -0.68    0.46
199504    2.99   -1.73   -0.59    0.92    0.44
199505   -2.01    1.09   -0.03    1.43    0.54
199506   -1.75    0.85    0.57    2.33    0.47
199507    4.83   -0.64   -1.77   -1.30    0.45
199508   -3.33    2.51   -1.57   -0.40    0.47
