
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501   8.22   7.41   6.77   7.72   6.57   5.19   7.21   6.17   8.88   4.40
197502  13.20  14.61  11.24  16.12  11.64  13.77  12.90  13.85  12.92   3.19
197503   1.58   2.65   0.28   4.93  -1.31   2.52   2.11   1.27   0.25   1.60
197504   0.32   0.38  -0.16   0.86  -1.00  -1.09   2.26  -1.95   1.49  -5.46
197505   0.38   1.34  -1.31   0.79  -0.45   1.61  -1.86   2.44  -1.10  -2.67
197506   0.34   2.25  -0.87   2.07  -0.88  -0.97   1.94  -1.36   0.92  -2.86
197507  -5.46  -6.79  -4.78  -7.35  -4.11  -3.93  -6.61  -5.41  -5.14  -5.05
197508  -4.29  -3.86  -5.06  -4.00  -5.00  -4.75  -4.25  -4.46  -4.57 -11.28
197509  -4.63  -3.73  -4.12  -4.53  -3.72  -5.96  -5.48  -5.12  -4.51  -1.80
197510   9.42  10.32   7.62  11.90   6.85  12.85   9.61  11.04   7.07  12.55
197511   1.35   2.19   1.84   1.41  -0.03   0.16   2.74  -1.44   2.90  -8.24
197512   1.79   2.76   0.84   3.05   0.98   2.81   0.35   4.20   0.32   5.41
197601   6.15   8.54   2.40   6.07   5.59   8.61   3.10  10.15   3.63   9.93
197602   1.13   2.27   0.00   1.66   1.09   3.18  -0.07   2.47   0.15   0.97
197603  -0.49  -1.86   0.97  -0.99   0.16  -1.85   2.46  -3.96   1.32   2.12
197604   0.64   1.16   0.45   1.23   0.32   0.49   0.74   0.34   0.97   7.20
197605   0.17  -0.42   0.95   0.53   0.78  -0.19   1.78  -1.72   1.89   2.00
197606   3.88   4.50   1.94   4.77   2.88   5.06   1.28   4.67   2.61   4.45
197607  -0.19  -0.49  -0.17  -0.07  -1.57   0.03  -1.21  -0.53   1.31  -1.26
197608   3.02   1.42   3.26   3.46   2.76   2.40   3.59   1.65   3.42  10.19
197609  -0.68  -1.01  -0.86  -1.30  -1.16  -0.32  -1.70  -0.74  -1.49   1.61
197610  -5.13  -6.44  -4.76  -4.57  -6.30  -6.20  -5.34  -7.14  -3.14  -6.43
197611  -3.07  -3.82  -3.02  -3.47  -4.18  -4.01  -3.69  -3.56  -2.70  -5.38
197612  14.29  12.92  14.64  19.21  15.98  15.70  13.79   8.68  15.37  13.29
197701  -2.75  -2.13  -3.44  -3.87  -2.99  -0.93  -3.46  -1.24  -4.87   4.94
197702   3.66   6.93   3.22   5.28   1.98   7.50   1.88   7.40   3.28   3.99
197703  -0.47   0.64  -1.66  -1.63   0.21  -0.07   0.97   0.24  -2.30   2.39
197704   1.24   3.60  -0.97   1.31   2.70   4.78   0.15   4.57  -1.36  -0.02
197705  -0.34  -0.32   0.16   1.43  -0.73  -0.42  -1.25  -1.16   1.16   0.03
197706   2.94   4.03   1.94   3.54   2.74   4.06   1.22   3.73   2.66   2.38
197707  -1.56   2.25  -4.77  -1.47  -1.33   3.26  -4.02   2.89  -5.99   1.68
197708   3.87   3.17   4.32   4.44   5.41   3.61   4.69   4.12   4.08   5.84
197709   0.24  -1.88   2.76   1.09  -1.63  -3.71   2.46  -3.30   3.03   1.19
197710   2.33   3.76   0.71   2.59   1.23   2.69   1.43   3.52  -0.20   0.42
197711  -0.17   1.04  -1.89  -0.13   0.24   1.75  -1.39   1.24  -0.90  -0.80
197712   1.32   5.72  -2.40   1.02   0.11   4.95   0.35   5.80  -3.59   0.73
197801   2.73   6.02   1.96   5.79   1.15   4.88   1.49   2.38   4.65   4.02
197802   2.32   2.39   2.54   3.87   1.36   2.38   2.12   1.11   3.36  -0.46
197803  11.81  12.51  11.87  11.98  11.46  12.79  11.76  13.70  12.12  12.91
197804   0.27  -0.50   1.12   1.88  -1.27   0.13  -0.32  -1.14   0.82  -0.10
197805   0.40   2.61  -1.09   0.02   0.66   2.62  -1.44   2.37  -1.01   0.76
197806   9.69   8.33   9.92   9.81  10.11   8.17  10.73   9.05  10.18  11.75
197807   7.87   7.55   8.21   6.90   8.32   8.69   8.64   9.13   6.95  12.29
197808   0.98  -0.33   2.28   0.49   2.05  -0.18   2.77  -0.14   2.44   4.25
197809   1.62  -0.06   3.18   1.81   0.05  -1.22   2.05  -1.36   4.91   3.24
197810   6.95   9.60   6.51   4.93   9.10   7.92   7.79   9.40   4.96  12.84
197811 -10.34  -8.36 -11.67 -10.44  -9.74  -7.89 -12.11  -9.43 -10.98 -10.17
197812   4.04   6.41   1.53   5.04   2.96   7.48   0.66   6.38   2.83   2.29
197901   0.28   2.16  -0.18  -0.60  -0.22  -0.14  -0.53  -0.10   0.23   2.37
197902  -3.27  -3.22  -3.02  -3.18  -3.38  -5.86  -3.35  -4.27  -3.42  -3.17
197903  -2.71  -2.66  -1.34  -3.28  -2.49  -4.52  -1.71  -4.45  -0.38  -3.24
197904  -2.42  -2.22  -1.20  -0.08  -5.07  -4.41  -3.80  -5.60  -0.71  -3.23
197905   0.21   0.86  -0.15  -0.30   2.17   2.57  -3.12   3.08  -2.13   4.17
