
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  23.98  22.64  24.97  23.34  25.48  23.52  25.40  20.83  25.90  16.93
197502  13.20  15.66  13.07  14.69  12.51  15.47  12.03  12.70  12.92  12.26
197503  -3.07  -3.33  -1.75  -4.34  -1.48  -4.25  -2.04  -3.78  -2.13   0.08
197504   6.87   5.72   7.25   5.40   7.44   5.22   6.09   4.36   7.71   3.40
197505  -1.82  -3.69  -1.13  -0.41  -1.66   0.00  -0.92  -3.38  -1.86  -6.63
197506  -7.40  -9.37  -8.33  -7.12  -9.18  -7.28  -8.29  -6.48  -8.02  -4.81
197507  -4.26  -4.46  -3.81  -3.42  -3.78  -3.84  -3.32  -3.28  -4.19  -1.52
197508   2.05   2.25   2.25   1.85   1.86   1.74   1.27   1.70   1.38  -0.68
197509  -4.97  -4.98  -5.10  -5.28  -5.36  -5.43  -5.34  -4.60  -5.59  -6.68
197510   7.81   7.67   6.54   9.27   7.28   8.15   8.83   8.77   7.22   7.34
197511   2.49   2.53   1.29   3.15   2.07   2.32   2.14   2.46   2.30   7.80
197512   1.75   3.38   0.64   2.37   1.13   3.59   1.83   1.93   0.91  -0.44
197601   3.95   7.00   2.59   5.63   3.52   6.45   1.61   4.40   2.88  17.50
197602  -2.29  -1.55  -2.19  -1.25  -2.53   0.38  -2.11  -2.99  -2.24   1.53
197603  -3.22  -3.58  -4.35  -1.26  -3.54  -1.42  -3.22  -1.88  -3.85 -11.90
197604  -1.72  -3.51  -1.43  -1.81  -2.12  -1.68  -2.29  -1.87  -0.39  -4.69
197605  -5.04  -5.64  -5.75  -4.04  -5.20  -4.55  -4.97  -4.80  -5.04  -4.66
197606  -0.58   0.10   0.00   0.20  -0.45   0.12  -0.84   0.07  -0.67   2.94
197607  -2.10  -2.56  -1.30  -3.16  -2.71  -1.98  -2.23  -1.59  -2.20  -1.95
197608  -2.40  -1.45  -2.07  -3.21  -2.56  -3.13  -3.07  -2.15  -3.94  -5.65
197609  -3.12  -3.62  -4.03  -2.29  -3.11  -3.70  -1.65  -2.53  -2.50  -6.65
197610  -7.95  -9.94  -7.69  -8.04  -7.15  -8.64  -6.74  -8.76  -6.61 -13.37
197611   4.51   3.47   4.65   4.74   3.88   4.10   3.58   4.06   5.42   8.05
197612   8.38   9.39   7.77   8.69   7.53   8.79   8.38   8.69   7.02   7.39
197701   1.19   2.38   1.21   1.65   1.05   2.06   0.66   4.20  -0.27  16.32
197702   0.34   0.10   0.55   0.25   0.68  -0.73   0.51   0.89   0.35   1.77
197703   0.71   1.98  -0.37   1.10   0.62   2.91  -0.56   1.34   0.24  -0.90
197704   3.69   3.89   3.31   2.96   4.38   3.63   5.33   3.94   4.30  10.59
197705  -0.77  -0.40  -0.70  -0.62  -0.47  -0.45  -0.60  -0.76  -1.11  -0.07
197706   1.40   0.17   1.73   1.72   0.60   0.87   1.71   0.79   2.43  -4.67
