 
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  17.42  16.25  17.47  16.80  17.70  15.89  17.90  14.68  18.87   9.81
197502  13.05  15.02  12.27  15.02  12.04  14.66  12.25  12.93  12.81   6.96
197503  -1.36  -1.07  -1.03  -0.91  -1.41  -1.72  -0.53  -1.91  -1.27   0.82
197504   4.29   3.70   4.33   3.52   4.26   2.65   4.57   1.82   5.38  -1.57
197505  -1.04  -1.88  -1.20  -0.09  -1.24   0.42  -1.22  -1.30  -1.53  -4.43
197506  -4.30  -4.84  -5.30  -3.35  -5.86  -4.52  -4.28  -4.37  -4.49  -3.53
197507  -4.74  -5.37  -4.22  -4.95  -3.98  -3.88  -4.61  -4.12  -4.60  -3.67
197508  -0.49  -0.25  -0.71  -0.50  -0.80  -0.87  -1.00  -0.79  -1.01  -6.31
197509  -4.78  -4.45  -4.74  -4.90  -4.71  -5.53  -5.36  -4.66  -5.19  -3.47
197510   8.32   8.58   6.84  10.10   7.08   9.71   8.97   9.53   7.09   9.77
197511   1.94   2.27   1.36   2.37   1.18   1.38   2.19   0.94   2.36  -1.66
197512   1.76   3.20   0.69   2.62   1.08   3.25   1.23   2.81   0.66   2.62
197601   4.81   7.62   2.62   5.89   4.29   7.24   2.25   6.59   3.22  14.18
197602  -0.99  -0.11  -1.37  -0.13  -1.15   1.40  -1.34  -0.89  -1.38   1.32
197603  -2.09  -2.81  -2.25  -1.02  -2.04  -1.48  -0.96  -2.60  -1.74  -6.14
197604  -0.58  -1.44  -0.46  -0.39  -0.93  -0.57  -0.89  -0.78   0.33   0.72
197605  -3.04  -3.65  -3.11  -2.40  -2.82  -2.95  -2.31  -3.63  -2.41  -1.89
197606   1.23   1.83   0.80   2.12   0.88   2.09   0.03   1.84   0.74   3.62
197607  -1.24  -1.63  -0.79  -1.75  -2.18  -1.05  -1.76  -1.09  -0.68  -1.73
197608  -0.23  -0.39   0.08  -0.53  -0.45  -0.93  -0.39  -0.67  -0.92   1.31
197609  -2.06  -2.62  -2.57  -1.96  -2.24  -2.38  -1.67  -1.82  -2.01  -2.76
197610  -6.72  -8.52  -6.36  -6.61  -6.67  -7.75  -6.03  -8.08  -5.06 -10.12
197611   1.15   0.22   1.30   1.12   0.34   0.41   0.40   0.70   1.75   1.65
197612  10.78  10.77  10.59  13.00  10.99  11.58  10.53   8.66  10.47  10.08
197701  -0.75   0.15  -1.03  -0.96  -0.90   0.48  -1.35   1.59  -2.43  10.82
197702   1.93   3.25   1.80   2.57   1.36   2.99   1.24   3.78   1.76   3.06
197703   0.23   1.43  -0.87  -0.07   0.50   1.59   0.15   0.86  -0.79   0.45
197704   2.42   3.53   1.21   2.09   3.41   3.94   2.87   3.99   1.65   5.73
197705  -0.63  -0.44  -0.34   0.25  -0.67  -0.63  -0.90  -1.05  -0.12  -0.08
197706   1.86   1.57   1.67   2.29   1.32   2.02   1.31   1.87   2.33  -1.72
197707  -1.64  -0.16  -3.27  -1.32  -1.67   0.14  -2.65   0.44  -3.84  -1.56
197708   4.22   2.99   4.61   4.91   4.54   4.31   4.71   4.59   4.32   4.60
197709   2.71   2.33   3.72   3.23   1.30   0.39   3.60   1.19   3.18   0.18
197710   2.04   1.82   1.59   1.87   1.67   1.88   1.89   2.46   1.35   0.85
197711  -1.14  -0.67  -1.69  -0.81  -1.26  -1.26  -1.89  -1.07  -1.52  -2.83
197712   3.62   5.32   1.87   4.56   2.53   5.19   2.45   6.18   0.99   2.74
197801   0.82   2.88   0.16   2.36  -0.47   1.86  -0.54   1.70   1.27   3.29
197802   0.70   1.58   0.42   2.08  -0.27   1.22   0.36   0.70   0.63  -3.20
197803   6.98   7.29   6.74   7.44   6.85   7.84   6.45   7.96   6.72   7.77
197804  -0.78  -0.73  -0.41  -0.02  -1.41  -0.40  -1.26  -1.77  -0.41   1.69
197805   1.39   3.34   0.38   0.83   1.93   3.63   0.63   2.03   0.95   8.60
197806   4.72   2.89   5.08   4.51   5.19   3.14   5.99   4.32   5.20   2.83
197807   7.65   7.97   8.25   7.23   8.22   8.25   8.18   8.10   7.35  10.80
197808   2.45   2.02   3.25   2.30   3.14   1.53   3.00   1.78   3.39   7.37
197809   2.80   1.39   3.73   3.06   1.99   1.37   3.51   1.66   4.75   2.47
197810   5.33   6.46   5.41   4.53   5.85   5.04   5.50   6.25   4.53   6.53
197811  -9.57  -8.35 -10.62  -9.61  -8.98  -8.16 -10.30  -9.17  -9.62 -10.13
197812   4.39   5.97   3.31   4.74   3.96   5.69   2.76   5.44   3.96   6.00
197901   0.16   1.19   0.07  -0.37  -0.01   0.08   0.34  -0.06   0.18   3.33
197902  -0.66  -0.61  -0.96  -0.90  -0.72  -2.12  -0.96  -1.49  -0.54  -2.07
197903   1.91   1.35   3.14   0.83   2.99   0.06   3.23  -0.07   3.64   3.44
197904  -0.41   0.10   0.00   0.32  -1.29  -1.27  -0.90  -2.30   0.35  -1.48
197905  -2.81  -2.67  -3.12  -2.73  -2.18  -1.86  -4.41  -0.93  -4.53  -1.80
197906   1.51   1.86   0.33   1.59   1.26   1.11   0.59   1.31   1.06   7.17
197907   0.87   0.55   1.93   0.57   1.04   0.40   1.91   1.01   0.43   5.77
197908   2.20   2.34   2.21   2.22   2.29   3.03   2.18   2.33   2.18   1.83
197909   3.78   3.74   3.59   3.65   3.37   2.19   2.99   2.67   4.01   2.99
197910  -8.57  -8.71  -9.16  -8.53  -9.03 -10.14 -10.59  -8.96  -8.04  -2.67
197911   0.91   0.33   0.73   1.12   0.74   0.16   0.63   0.64   0.12  -1.31
197912   2.94   2.31   2.99   3.22   2.67   3.21   2.78   3.39   2.32   3.37
198001   4.78   3.77   4.86   3.40   5.06   3.57   5.22   3.62   3.63  11.16
198002  -0.89  -2.40  -0.07  -1.31  -0.93  -0.77  -2.00  -1.50  -1.35   4.08
198003 -11.11 -10.77 -11.22 -11.05 -11.50 -11.37 -10.59 -10.33 -10.43  -8.49
198004   8.92   8.92   9.34   8.35   9.67   7.60   8.82   8.99  10.43   6.61
198005   4.31   3.26   4.13   4.38   4.13   4.34   4.12   2.89   4.21   1.63
198006   6.27   6.22   6.21   5.29   7.09   4.98   9.04   5.27   7.08   3.56
198007  -0.86  -0.75  -0.67  -1.14   0.47  -1.20  -0.28  -0.53  -1.11   1.30
198008   3.06   3.45   3.64   3.29   3.32   2.27   4.06   2.52   4.31  -5.25
198009   2.88   1.18   3.79   3.42   3.10   3.09   2.56   1.46   4.09   0.32
198010   3.92   2.23   5.54   5.87   4.90   4.41   4.00   1.14   6.16   1.22
198011  -2.62  -3.77  -2.09  -2.62  -2.56  -2.41  -2.45  -3.59  -2.80  -4.30
198012   0.35   1.72  -0.72   0.71   0.94  -0.12   0.15   1.85  -0.35   0.38
198101  -1.68  -0.72  -2.23  -2.43  -0.96  -2.34  -2.07  -1.77  -1.30   6.92
198102  -1.62   0.53  -1.69  -1.53  -1.10  -1.45  -0.02  -1.30  -0.44  -4.62
198103   3.49   4.95   1.87   5.25   2.99   4.77   1.68   3.18   3.72   1.79
198104   2.40   7.07  -0.60   6.49  -0.04   5.57   1.02   4.39   1.30  -7.53
198105  -4.84  -4.18  -4.14  -2.64  -5.37  -4.65  -4.78  -5.04  -3.93  -8.11
198106   0.41   2.83  -1.54   1.06  -0.04   0.84  -0.70   0.05  -1.01  -0.52
198107  -4.37  -4.19  -4.89  -2.05  -5.93  -3.43  -6.08  -4.64  -4.42  -7.66
198108   2.58   1.70   2.61   1.53   2.87   2.16   2.38   4.10   1.16   6.23
198109 -10.56 -11.48  -9.82 -12.91  -8.17 -11.38 -10.69  -8.32 -11.45  -4.76
198110   0.93   0.58   2.50   1.62   1.08   0.64   0.68  -0.93   2.55  -1.09
198111  10.96  10.57  10.21   8.48  11.97   8.94  11.78  11.39  10.92   9.07
198112  -1.41  -1.58  -1.95  -0.61  -0.82  -0.44  -1.72  -1.63  -0.68  -1.92
198201  -1.80  -0.79  -1.36  -2.86  -1.44  -2.34  -1.46  -3.02  -0.88  -1.95
198202  -6.42  -3.65  -6.81  -5.83  -6.28  -6.10  -7.28  -5.59  -6.88  -8.64
198203  -4.32  -5.36  -4.34  -6.12  -3.67  -3.27  -5.11  -3.84  -5.74   3.30
198204   4.79   4.66   4.95   5.72   4.80   4.60   5.12   3.94   5.88   1.60
198205  -1.34  -1.82  -0.53  -2.61  -0.89  -3.16  -0.23  -3.40   0.01  -2.20
198206  -7.85  -8.65  -6.87  -8.60  -7.16  -9.56  -6.41  -8.92  -6.87 -10.47
198207  -1.33  -1.66  -0.92  -2.43  -0.76  -2.79  -1.43  -2.56  -0.99   3.27
198208  -0.90  -1.41  -0.84  -1.03  -0.85  -0.17  -1.18  -1.19  -0.53  -0.09
