
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501   5.05   3.73   4.17   4.89   2.84   2.48   4.55   3.16   5.48   2.55
197502  14.66  15.88  12.59  17.27  13.20  15.24  14.54  14.35  14.53   0.77
197503   1.91   3.19   0.34   5.70  -1.47   2.63   2.65   1.48   0.49   2.78
197504  -0.01  -0.21  -0.59  -0.23  -1.28  -2.45   2.31  -3.53   1.70  -5.87
197505  -0.42   1.91  -2.86   0.25  -1.51   1.54  -2.89   2.25  -2.61  -5.73
197506   1.19   3.62  -0.23   3.84  -0.47  -0.11   3.34  -0.73   1.86  -2.87
197507  -5.47  -6.79  -4.51  -7.52  -3.83  -4.30  -6.94  -4.93  -5.01  -7.02
197508  -4.60  -3.82  -5.64  -4.37  -5.53  -4.77  -4.71  -4.98  -4.83 -13.68
197509  -6.54  -6.33  -5.96  -6.31  -5.31  -8.13  -7.75  -7.40  -6.12  -4.50
197510  10.78  11.49   8.71  14.32   7.77  14.14  11.00  13.86   7.80  15.86
197511   0.70   1.20   0.89   1.20  -0.68  -1.13   2.48  -2.65   2.59 -12.29
197512   0.90   1.44  -0.15   2.09  -0.14   2.06  -0.94   3.53  -0.79  -0.23
197601   5.41   6.83   1.29   4.52   4.97   8.43   1.57   8.87   2.61  11.78
197602   0.75   2.92  -0.41   1.14   0.55   3.13  -0.47   2.66  -0.48   2.83
197603  -0.09  -1.61   1.46  -1.14   0.82  -2.97   3.78  -3.14   1.89   2.08
197604   0.71   2.13   0.08   1.50   0.03   0.55   0.98   0.39   0.66   9.60
197605   0.54  -0.57   1.52   1.19   1.27  -0.22   2.75  -1.64   2.50   2.64
197606   4.54   4.98   2.43   5.06   3.26   5.45   1.68   5.00   3.32   6.35
197607  -1.60  -1.69  -2.01  -1.74  -3.09  -1.85  -2.66  -2.27  -0.45  -3.91
197608   3.58   2.05   4.23   3.95   3.04   3.04   4.27   2.52   4.59  11.79
197609   0.52   0.36   0.45  -0.86   0.25   0.41  -0.56   0.26  -0.45   1.35
197610  -5.01  -6.72  -4.31  -4.60  -6.44  -6.35  -5.22  -8.46  -2.32  -6.15
197611  -1.03  -1.63  -1.01  -1.93  -2.45  -2.40  -1.50  -1.59  -0.47  -3.38
197612  14.85  13.79  14.96  21.28  16.78  16.26  14.39   8.49  15.79  13.49
197701  -3.32  -2.71  -4.30  -4.60  -3.55  -1.35  -4.25  -1.77  -5.83   5.37
197702   5.01   8.86   4.27   6.59   3.11   9.41   2.94   9.28   4.64   4.93
197703  -0.95   0.77  -2.48  -2.47  -0.24  -0.32   0.54   0.32  -3.23   4.01
197704   1.35   4.15  -1.30   1.10   3.16   5.38  -0.06   5.28  -1.82   1.22
197705  -0.77  -1.31  -0.15   0.83  -1.15  -1.51  -1.61  -2.47   1.18  -0.12
197706   3.43   4.73   2.18   3.91   3.31   4.78   1.44   4.29   3.17   2.15
197707  -0.98   3.12  -4.78  -1.05  -0.41   4.35  -3.90   3.79  -6.10   2.57
197708   5.06   3.96   5.87   5.63   6.91   4.56   6.11   4.95   5.39   7.68
197709   0.57  -2.45   3.53   1.16  -1.40  -4.62   3.52  -4.02   4.13   2.10
197710   2.13   3.91   0.29   2.55   0.97   2.43   1.29   3.36  -0.71   0.12
