This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   6.21   4.90   7.04   4.89   8.60   1.96   5.39   5.95   7.91  10.44   4.49   6.03   5.27   5.26   7.07   4.04   2.89   3.08   5.81   7.15  -1.24  -2.11  -0.88   0.09   0.10
199008 -17.63 -17.03 -17.02 -15.42 -15.18 -18.29 -14.06 -15.79 -14.12 -15.86 -15.26 -13.59 -14.42 -15.52 -15.61 -13.48 -15.34 -15.98 -12.47 -14.01  -8.68 -10.13  -9.97 -11.69  -9.37
199009 -15.03 -16.16 -12.26 -12.36 -17.08 -15.38 -18.77 -15.66 -18.11 -15.79 -16.30 -17.22 -14.69 -16.87 -18.74 -16.67 -17.36 -16.42 -18.72 -20.02 -18.18 -19.62 -16.56 -15.80 -14.67
199010  24.47  24.16  18.67  20.56  26.38  27.75  26.82  27.87  26.46  26.35  31.00  26.41  23.95  26.62  27.54  28.07  31.14  28.51  26.73  30.71  24.66  31.30  25.39  23.97  19.45
199011 -21.65 -18.55 -14.58 -18.51 -19.96 -18.44 -17.89 -15.68 -19.02 -16.38 -19.94 -18.40 -15.25 -19.46 -17.91 -20.18 -17.08 -16.33 -17.85 -18.20 -14.14 -11.06 -10.51 -13.83 -13.26
199012  -0.91  -2.14  -5.25  -4.12  -2.47  -1.13  -6.51  -4.34  -4.32  -4.79  -1.53  -5.69  -2.02  -3.44  -2.95  -2.44   1.02  -0.77  -1.22  -2.48   5.22   5.84   4.92   1.70  -0.01
199101  -9.81  -9.84  -4.15  -8.19  -6.08  -8.71  -6.23  -4.85  -6.17  -5.59  -4.40  -3.53  -2.17  -3.89  -3.51  -2.46  -1.83  -2.31  -1.16  -1.70   3.20   3.53   3.78   1.21   2.70
199102  27.79  30.26  24.53  25.57  16.71  26.15  29.60  23.82  24.06  21.20  24.37  21.27  19.65  20.17  20.16  22.92  17.24  20.01  19.72  18.64  10.24   8.15  11.37  16.59  12.77
199103  -0.45   2.80  -5.61   4.80  -0.15  -2.94  -0.64  -1.90  -1.63  -1.51  -1.06  -0.85  -0.52  -0.39  -0.48  -4.84  -2.23  -3.04  -2.33  -1.18  -5.59  -3.70  -4.86  -5.37  -5.88
199104   4.48   3.50   5.41   3.78  10.47   1.78   2.15   1.36   7.83   5.86   1.79   3.25   4.42   3.11   4.10  -0.76   2.08   2.39   1.50   4.23   2.13   2.70   2.59   2.15   1.79
199105  -4.85  -0.22  -5.42  -0.94  -0.19  -2.21  -2.38  -0.44  -1.23  -4.01  -3.17  -1.57  -2.21  -1.59  -3.05  -2.49  -1.81  -2.07  -1.81  -1.24  -2.76  -0.69  -0.47  -1.64  -2.94
199106  -8.16  -6.48  -4.42  -1.43  -3.21  -8.36  -6.64  -5.06  -5.62  -4.36  -6.97  -4.49  -4.00  -4.03  -4.20  -9.98  -6.72  -6.03  -6.41  -4.70  -8.95  -7.71  -7.91  -8.12  -2.71
199107  -0.48  -3.04  -2.61  -2.80  -3.75  -1.87  -0.23   0.30  -0.68  -1.97  -0.23   0.83  -2.38  -0.71  -0.12  -2.58   0.49   0.75  -0.30   0.90   1.66   2.48   3.54   3.62   4.06
199108 -11.84  -9.48 -10.71 -10.09 -11.48 -11.31 -12.80 -12.04 -12.75 -11.44 -10.88  -9.15 -11.52 -10.93 -10.34 -11.47 -10.31  -9.92  -9.82 -11.21  -6.63  -4.30  -5.10  -6.73  -6.52
199109   7.94   9.09   9.57   7.42  10.53   9.96  13.47  13.17  12.60  11.14  12.30  13.19  12.54   9.86  10.34  14.44  11.35  13.93  13.05  12.63   9.85   7.51   9.06  10.18   7.04
199110   9.80   7.94   5.57   6.38   3.41   9.46   7.11   6.85   4.89   5.20   7.48   8.23   5.89   2.86   5.70   5.60   5.97   4.68   3.23   4.04   6.26   5.66   3.52   1.66   3.28
199111  -8.63  -8.69  -9.71  -9.76 -10.60  -9.70 -11.15 -10.52 -10.58 -10.99 -12.10  -6.78 -11.79  -9.13  -9.98 -12.55 -10.48 -10.41  -8.91  -8.56 -10.07  -6.24  -5.56  -8.02  -9.05
199112   5.80   3.44   4.85   2.56   4.02   4.50   4.70   4.16   3.31   4.43   4.58   1.48   3.21   2.07   3.92   4.00   3.39   4.20   3.84   3.05   4.70   2.35   2.36   4.20   3.57
199201  -7.99  -7.18  -8.15  -8.62  -6.61  -4.25  -8.07  -7.03  -6.85  -4.00  -5.78  -3.88  -4.10  -5.60  -5.86  -3.68  -4.32  -4.26  -3.25  -2.98  -6.36  -7.75  -5.06  -3.33  -3.23
