This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Japan.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199011 -21.71 -18.24 -16.00 -11.55 -13.79 -14.59
199012  -1.62  -3.08  -5.51   6.83   2.28  -5.06
199101  -6.29  -4.82  -4.77   2.08   3.27   1.10
199102  31.67  20.88  14.85  20.58  10.83   7.22
199103  -0.07   0.72   1.23  -4.78  -4.17  -3.57
199104   4.89   4.91   6.31   2.39   1.91   3.15
199105  -3.88  -2.03  -1.60  -2.53  -1.34  -0.71
199106  -5.03  -3.98  -2.17  -8.56  -7.44  -4.88
199107  -1.89  -2.04  -2.86   1.35   1.97   3.24
199108 -11.92 -10.49  -9.42  -9.92  -7.65  -3.48
199109  10.07  10.41   9.93  12.24  10.08   6.77
199110   4.32   5.65   4.01   3.41   3.05   6.40
199111  -9.81  -9.05 -10.51 -10.82  -8.95  -5.93
199112   2.03   2.63   2.39   2.94   4.25   1.61
199201  -6.51  -5.43  -5.24  -3.21  -5.30  -6.95
199202  -3.42  -3.84  -4.28  -7.48  -7.72  -5.91
199203 -12.37 -10.98 -10.73 -11.12 -11.30 -10.52
199204  -9.20 -10.11  -9.42  -5.59  -8.52  -6.51
199205  12.81  12.53  11.38   8.26   8.89   8.54
199206  -9.93  -7.87  -5.00 -12.70  -9.01  -5.16
199207  -9.47  -6.02  -9.17   0.82  -2.47  -4.83
199208  14.13   8.75   8.87  26.92  13.86  11.27
199209  -0.75   1.56   1.49  -4.25  -2.08  -2.48
199210  -8.25  -6.32  -3.49  -7.12  -4.96  -3.71
199211  -0.86  -1.34  -1.14   3.90   2.26   1.52
199212   2.88   1.36   0.47  -1.86  -0.97  -0.44
199301  -2.06  -2.28  -1.74  -1.01  -0.25  -0.41
199302   6.05   5.48   5.88   3.51   5.22   3.62
199303  21.24  13.78  11.23  21.81  18.20  11.21
199304  20.06  16.86  16.29  19.48  16.96  15.64
199305  15.68  16.48  14.15   2.85   2.98   5.52
199306  -6.24  -6.22  -8.08  -5.36  -4.05  -2.87
199307   1.43   2.39   3.35   7.15   6.63   8.28
199308   0.53   2.62   2.60   2.34   2.09   2.85
199309  -3.48  -3.83  -3.75  -4.33  -4.16  -7.01
199310  -8.38  -8.67  -9.51  -3.53  -1.41  -0.77
199311 -15.51 -17.27 -19.09 -13.99 -15.67 -17.33
199312   0.67   2.62   3.40   0.61   1.86   3.17
199401  20.64  18.00  18.40  15.98  15.91  18.17
199402   4.30   5.11   7.19   2.41   3.67   4.84
199403   3.46   2.84   3.31  -0.25  -3.02  -2.91
199404   6.25   5.94   5.28   2.94   4.48   1.89
199405   1.60   0.47  -0.74   2.10   1.64   1.44
199406  10.49  10.14  11.66   5.63   5.22   6.79
199407  -3.22  -3.00  -2.95  -2.48  -3.96  -4.85
199408  -1.18  -1.10  -2.19  -0.70   0.36   0.93
199409  -5.04  -4.03  -3.98  -2.90  -2.33  -2.66
199410   0.87   2.01   3.36   0.55   2.59   4.03
199411  -8.18  -8.13  -7.64  -5.00  -6.43  -6.56
199412   2.15   3.06   2.72   2.09   2.11   1.69
199501  -0.48  -2.54  -9.11  -4.33  -6.31 -10.01
199502  -8.76  -5.32  -4.27  -6.27  -4.55  -4.96
199503   5.87   6.57   5.52  10.44   9.22   8.34
199504   0.96   2.22   1.26   3.51   3.94   5.63
199505  -9.24  -8.20  -6.39  -7.35  -5.79  -5.65
199506  -4.76  -5.65  -4.72  -3.76  -5.34  -2.82
199507   7.22   6.09  -0.02   9.66   7.31   4.73
199508   1.62  -1.36  -5.02  -0.16  -4.17  -2.73
199509  -3.71  -3.51  -2.43  -2.33  -1.85   0.10
199510  -3.14  -2.36  -0.75  -5.56  -4.14  -3.52
199511   5.08   4.76   3.84   4.75   5.78   3.36
199512  10.08   5.80   2.58   8.13   4.78   2.85
199601   3.21   1.87   0.18  -1.51  -0.96  -2.36
199602  -0.77  -1.83  -3.58  -1.40  -1.17  -1.73
199603   1.44   2.99   1.93   3.58   2.92   3.15
199604  13.38  10.98  10.26   7.55   5.95   5.69
