This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
199007    0.10    6.21    4.08  -99.99    0.68
199008  -11.91   -4.97    0.27  -99.99    0.66
199009  -18.03    1.39   -0.09  -99.99    0.60
199010   24.91    1.00   -3.96  -99.99    0.68
199011  -14.09   -5.41   -0.12    1.33    0.57
199012    1.74   -5.97   -3.84   -7.89    0.60
199101    1.15   -7.51    0.27    0.28    0.52
199102   12.33   11.04    0.35  -15.09    0.48
199103   -4.20    3.70    0.54    1.25    0.44
199104    2.15    1.53    1.84    1.09    0.53
199105   -2.06   -0.88    0.08    2.05    0.47
199106   -7.03    1.28    3.70    3.27    0.42
199107    1.36   -3.49    1.14    0.46    0.49
199108   -7.25   -4.93   -0.54    4.47    0.46
199109    8.64    1.73   -0.07   -2.81    0.46
199110    4.05    2.12   -3.12    1.34    0.42
199111   -8.53   -2.22   -0.02    2.09    0.39
199112    2.47    0.81   -0.69   -0.49    0.38
199201   -5.67   -1.12    1.68   -1.23    0.34
199202   -7.23    3.05   -0.85    0.35    0.28
199203  -11.47   -1.12    2.38    1.12    0.34
199204   -7.71   -3.78    4.62   -0.57    0.32
199205    8.74    5.23   -2.11   -0.58    0.28
199206   -9.05    0.07    2.20    6.23    0.32
199207   -3.31   -5.63   -1.15   -2.68    0.31
199208   16.35   -5.11   -6.63  -10.46    0.26
199209   -2.85    3.57    0.01    2.00    0.26
199210   -5.40   -1.59    1.26    4.08    0.23
199211    1.84   -3.28   -1.47   -1.33    0.23
199212   -1.01    2.28    2.40   -0.49    0.28
199301   -0.86   -1.60    0.53    0.46    0.23
199302    4.33    2.08   -0.20   -0.03    0.22
199303   15.79   -0.09    3.21  -10.30    0.25
199304   16.69    1.15    3.70   -3.80    0.24
199305    4.99   12.51   -1.81    0.57    0.22
199306   -4.21   -2.64   -2.74    0.32    0.25
199307    6.70   -4.85    0.40    1.52    0.24
199308    2.16   -0.48    0.28    1.29    0.25
199309   -5.22    0.99   -0.65   -1.48    0.26
199310   -2.56   -7.65    0.15    0.82    0.22
199311  -16.23   -1.43   -0.31   -3.46    0.25
199312    1.99   -0.98    2.62    2.65    0.23
199401   16.81    1.04    3.45   -0.02    0.25
199402    3.87    0.94    2.42    2.66    0.21
199403   -2.24    5.55    2.21   -1.40    0.27
199404    3.30    2.20   -0.16   -1.01    0.27
199405    1.23   -2.04    2.95   -1.50    0.31
199406    6.02    4.53    3.89    1.17    0.31
199407   -4.08    1.09   -0.55   -1.05    0.28
199408   -0.28   -2.28    0.59    0.31    0.37
199409   -3.22   -1.68    0.55    0.65    0.37
199410    2.21   -0.72    1.11    2.99    0.38
199411   -6.53   -1.86    0.06   -0.51    0.37
199412    1.61    0.46   -0.52    0.08    0.44
199501   -6.86    2.04   -2.28   -7.15    0.42
199502   -5.65   -0.83    0.18    2.90    0.40
199503    8.62   -3.47    1.43   -1.22    0.46
199504    3.66   -2.18   -1.88    1.21    0.44
199505   -6.77   -2.55   -0.52    2.28    0.54
199506   -4.63   -1.62    1.96    0.49    0.47
199507    5.86   -0.07   -2.40   -6.09    0.45
199508   -3.14    2.98   -0.51   -4.60    0.47
