This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007  ,-4.40  ,-4.48  ,-2.66  ,-1.49  ,-3.84  ,-4.41  ,-4.56  ,-2.16  ,-3.30  ,-2.94  ,-3.97  ,-3.29  ,-2.09  ,-1.90  ,-5.16  ,-1.74  ,-1.63  ,-0.74  ,-2.37  ,-1.54  ,-0.93  ,-0.15   ,2.01  ,-0.51  ,-3.09
199008 ,-11.69 ,-14.32 ,-11.58 ,-10.55 ,-11.16 ,-11.25 ,-13.49 ,-11.71 ,-10.69 ,-10.07 ,-12.35 ,-12.18 ,-12.46  ,-9.00  ,-9.12 ,-10.57  ,-9.44  ,-7.75 ,-10.05  ,-8.97  ,-7.96  ,-9.82  ,-7.76  ,-7.83 ,-10.97
199009  ,-9.05  ,-7.92  ,-7.10  ,-7.03  ,-7.82  ,-8.66  ,-8.84  ,-7.34  ,-7.93  ,-8.16  ,-8.10  ,-8.63  ,-8.30  ,-5.91  ,-9.76  ,-5.44  ,-5.35  ,-5.13  ,-6.18  ,-8.23  ,-5.17  ,-3.88  ,-3.64  ,-3.34 ,-11.09
199010  ,-5.03  ,-7.73  ,-6.33  ,-6.28  ,-6.17  ,-6.11  ,-4.17  ,-6.18  ,-4.45  ,-6.10  ,-4.08  ,-4.31  ,-5.26  ,-3.94  ,-7.01  ,-2.88  ,-2.95  ,-2.11  ,-1.74  ,-2.13   ,1.95  ,-0.59  ,-2.05  ,-0.35  ,-4.51
199011   ,4.62   ,5.84   ,3.70   ,3.10   ,3.05  ,10.38   ,8.69   ,5.00   ,5.87   ,4.19   ,7.50   ,7.73   ,9.23   ,6.12   ,8.30   ,9.30   ,7.07   ,6.81   ,6.93   ,5.72   ,6.32   ,5.58   ,6.32   ,7.15   ,7.29
199012   ,1.72   ,2.07   ,0.31   ,2.22   ,1.85   ,2.87   ,3.15   ,4.61   ,4.06   ,3.89   ,7.02   ,6.45   ,5.05   ,3.82   ,3.89   ,4.28   ,3.94   ,2.87   ,4.71   ,4.00   ,3.11   ,2.78   ,3.16   ,1.76   ,3.10
199101   ,6.95   ,6.55   ,5.31   ,6.95   ,8.87   ,6.33   ,7.66   ,6.27   ,6.01   ,7.38   ,8.08   ,6.94   ,9.51   ,4.28   ,5.50   ,8.30   ,4.69   ,4.32   ,5.19   ,5.94   ,4.90   ,3.55   ,2.60   ,4.86   ,8.45
199102  ,11.71  ,12.47  ,12.71  ,10.09  ,11.44  ,11.70  ,11.58  ,10.85  ,10.09  ,11.68   ,9.13  ,10.61  ,10.48   ,7.49  ,10.86   ,9.65   ,9.07   ,7.96   ,7.91   ,9.07   ,8.84   ,5.93   ,6.20   ,4.99   ,9.63
199103   ,8.06   ,7.57   ,7.37   ,5.83   ,7.39   ,8.34   ,4.58   ,4.59   ,4.72   ,6.76   ,4.49   ,4.44   ,4.25   ,1.33   ,5.78   ,6.03   ,3.02   ,1.71   ,2.05   ,3.49   ,4.40   ,2.47   ,1.75  ,-0.88   ,1.58
199104   ,0.91  ,-0.14  ,-0.39   ,1.46   ,1.85  ,-1.70  ,-0.14   ,0.04   ,0.77   ,1.59  ,-1.11  ,-1.16   ,0.63   ,0.59   ,3.21  ,-1.12  ,-0.88   ,0.94   ,2.07   ,1.21   ,0.27  ,-1.13   ,1.81  ,-0.20   ,0.69
