
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  10.65   2.99  15.93  -0.60  15.75  -3.52  19.11   3.14  19.32 -99.99
197502   2.80  -3.01   4.42   0.63   4.11   0.96   5.15  -2.82   5.70 -99.99
197503  -4.57  -0.72  -5.37  -5.13  -5.48  -2.85  -4.51  -1.91  -4.96 -99.99
197504   5.76  -4.96  11.80 -13.19  11.57 -14.09  12.87  -5.56  13.24 -99.99
197505  -2.38   4.22  -3.63   0.31  -3.49  -2.60  -4.49   3.13  -4.75 -99.99
197506  -1.61  -0.18  -4.36  14.34  -4.42  24.89  -5.77  -1.06  -6.70 -99.99
197507  -2.90  -8.57  -1.89  -3.65  -1.99  -4.31  -0.68  -4.68  -0.38 -99.99
197508  -3.37  -2.20  -2.91  -7.47  -2.58  -9.07  -3.14  -1.02  -2.74 -99.99
197509 -17.34  -9.72 -20.80 -11.46 -20.72 -14.51 -21.97  -4.15 -22.65 -99.99
197510   3.52   6.21   3.04   2.67   3.54  -3.47   3.86   9.51   3.32 -99.99
197511  -7.51  -2.99  -9.39  -2.49  -9.16  -1.94 -10.54  -3.85 -11.13 -99.99
197512   0.63   3.21  -1.25   5.16  -1.33   2.94  -1.71   2.12  -2.29 -99.99
197601  19.52  15.37  22.82  28.20  21.57  14.68  25.79   4.42  25.59 -99.99
197602  -7.06  -4.54  -7.98  -5.38  -8.49  -2.09  -9.62  -3.40  -9.59 -99.99
197603  -4.17   1.25  -5.83   3.36  -7.10  -4.64  -7.36  -1.03  -8.08 -99.99
197604  -2.17  -3.82  -2.84  -0.85  -3.04  -1.47  -2.43  -0.50  -2.79 -99.99
197605  -2.86  -2.43  -3.06  -3.22  -3.23  -1.35  -4.60   0.18  -4.05 -99.99
197606   7.21   3.82   8.17  10.94   8.07   5.04   8.39   3.34   7.77 -99.99
197607   2.74   7.02   1.16  10.22   0.02   6.25  -0.21   4.63  -0.71 -99.99
197608  -2.58  -4.07  -2.50  -5.81  -2.14  -1.26  -2.94  -0.59  -2.42 -99.99
197609   2.50  -1.28   3.24  -1.70   3.78  -0.34   4.94   0.81   5.27 -99.99
