This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-1 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,   -1.33,    0.39,    0.03,   -1.22,   -0.53,    0.40,    0.12,    0.52,   -2.18,   -0.20,   -1.57,    0.16,    0.88,    0.14,    0.47,   -0.61,    0.38,    0.91
196308,    5.43,    4.30,    5.67,    5.61,    4.72,    4.81,    4.10,    6.25,    4.79,    6.47,    5.03,    4.52,    5.20,    4.59,    3.72,    4.89,    5.79,    7.55
196309,   -1.31,   -1.53,   -0.71,   -1.30,   -1.16,   -2.98,   -0.17,   -1.26,   -0.71,   -1.91,   -1.33,   -1.05,   -2.79,   -3.09,   -0.28,    0.04,   -1.02,   -1.92
196310,    2.01,    1.66,    6.59,    2.44,    0.70,    0.29,    3.95,    7.71,    2.76,    2.10,    1.08,    0.46,    0.49,    0.18,    3.40,    5.11,    8.71,    4.91
196311,   -0.74,   -0.35,   -3.44,   -0.43,   -1.58,   -1.43,    0.32,   -5.00,    1.02,   -1.94,   -1.43,   -1.69,   -2.05,   -1.08,    1.12,   -1.32,   -6.41,   -0.93
196312,    1.95,    2.34,    1.57,    1.92,    3.09,    2.19,    2.04,    1.12,    2.46,    1.33,    2.03,    3.79,    0.82,    2.94,    1.98,    2.17,    1.04,    1.33
196401,    2.83,    2.68,    2.42,    3.48,    1.36,    1.97,    4.32,    0.06,    3.45,    3.52,    1.34,    1.37,    2.34,    1.78,    3.78,    5.46,    1.05,   -2.62
196402,    2.03,    0.99,    1.36,    1.98,    1.59,    1.46,    0.84,    1.19,    2.55,    1.34,    2.14,    1.24,    1.71,    1.32,    0.49,    1.56,    1.21,    1.14
196403,    4.04,    0.75,    1.64,    3.69,    3.07,    1.10,    0.81,    1.02,    2.19,    5.35,    4.83,    1.92,    2.38,    0.41,    0.03,    2.40,    0.73,    1.84
196404,   -1.76,    1.04,    0.79,   -2.24,    0.37,    0.79,    0.23,    2.94,   -2.43,   -2.04,   -0.67,    1.07,    1.17,    0.58,    1.25,   -1.82,    3.76,    0.65
