This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.49,   -1.41,   -0.60,   -0.37,   -1.27,    0.34,    1.07,   -1.27,   -1.60,   -0.08,   -1.44,    0.95,   -2.37,   -1.07,   -1.45
196308,    4.66,    6.53,    5.63,    6.58,    7.67,    4.27,    6.16,    6.34,    6.76,    5.82,    5.25,    6.48,    6.75,   10.06,    5.22
196309,   -0.76,   -1.82,   -2.11,   -2.27,   -2.35,   -0.32,   -2.25,   -2.01,   -1.54,   -1.36,   -2.88,   -3.48,   -0.32,   -2.49,   -2.20
196310,    3.20,    2.30,    1.80,    2.75,    2.72,    4.11,    0.88,    1.84,    2.82,    1.57,    2.04,    1.95,    3.94,    4.24,    1.40
196311,   -0.34,   -1.18,   -0.22,   -0.97,   -1.21,   -0.08,   -0.85,   -0.73,   -1.73,   -0.86,    0.67,   -0.49,   -1.64,   -0.04,   -2.22
196312,    2.94,    1.29,    1.50,    1.55,   -0.07,    1.51,    4.61,    1.37,    1.18,    1.79,    1.21,    1.98,    0.87,   -0.02,   -0.12
196401,    3.39,    1.72,    1.88,    2.78,   -0.99,    3.70,    2.94,    0.92,    2.33,    1.46,    2.50,    1.65,    3.96,   -0.39,   -1.45
196402,    1.29,    2.00,    1.86,    5.25,    1.88,    1.10,    1.78,    1.49,    2.82,    2.14,    1.44,    5.69,    4.51,    2.45,    1.46
196403,    1.16,    2.43,    2.51,    2.88,    1.73,    0.87,    1.64,    2.89,    1.40,    2.78,    2.11,    3.24,    2.47,    1.41,    1.96
196404,    1.33,   -0.44,   -0.28,   -2.42,   -1.30,    1.41,    1.12,   -0.97,    0.62,   -0.09,   -0.51,   -1.68,   -3.72,   -3.34,    0.66
196405,    1.72,    1.22,    1.18,    1.51,    3.98,    1.91,    1.06,    0.72,    1.93,    1.54,    0.67,    1.59,    1.42,    5.86,    1.82
196406,    1.60,    1.92,    1.84,    1.56,   -0.48,    1.80,    1.14,    1.92,    1.93,    2.21,    1.24,    1.57,    1.54,    0.51,   -1.69
196407,    1.99,    3.10,    1.25,    2.39,   -0.21,    1.62,    3.07,    2.69,    3.53,    2.17,    0.34,    1.90,    2.89,   -1.46,    1.46
196408,   -1.24,   -1.08,   -0.46,   -0.94,   -1.89,   -1.27,   -1.16,   -1.40,   -0.51,   -0.04,   -0.97,   -0.25,   -1.97,   -2.47,   -1.18
196409,    2.55,    2.18,    3.85,    5.55,    6.11,    2.58,    2.43,    1.69,    2.68,    3.14,    4.59,    5.70,    5.31,    6.77,    5.17
196410,    0.66,    1.46,    1.12,    1.92,   -1.22,    0.92,   -0.17,    1.66,    1.21,    1.25,    1.01,    2.30,    1.39,   -1.73,   -0.57
196411,    0.49,   -0.01,    0.77,    0.63,   -2.93,    0.45,    0.59,    0.01,   -0.03,    0.96,    0.55,    2.24,   -1.36,   -3.14,   -2.66
196412,    0.77,   -0.22,    0.22,   -0.52,   -0.65,    1.04,   -0.07,   -0.01,   -0.61,   -0.40,    0.86,   -0.89,   -0.01,    0.24,   -1.79
196501,    3.02,    4.84,    4.94,    3.95,    7.46,    1.99,    5.52,    4.80,    4.92,    4.57,    5.56,    3.12,    5.65,    4.95,    9.92
196502,   -0.53,    1.76,    2.30,    3.23,    4.73,   -0.85,    0.36,    1.40,    2.48,    2.47,    2.10,    3.37,    3.01,    5.12,    4.33
196503,   -1.18,   -0.98,   -0.65,   -0.80,    0.62,   -1.41,   -0.41,   -0.81,   -1.24,   -0.67,   -0.63,   -0.43,   -1.26,    0.93,    0.36
196504,    3.29,    2.58,    3.99,    5.66,    3.19,    3.78,    1.56,    1.84,    3.84,    3.40,    4.69,    5.81,    5.48,    2.96,    3.43
196505,   -0.50,    0.18,   -0.30,   -1.23,   -1.40,   -0.33,   -0.97,    0.60,   -0.20,   -0.16,   -0.44,   -0.55,   -2.23,   -0.27,   -2.34
196506,   -4.12,   -4.79,   -6.52,   -8.41,  -11.17,   -4.07,   -4.25,   -4.21,   -6.04,   -6.60,   -6.45,   -8.16,   -8.76,   -9.17,  -12.90
