
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  14.79  13.73  16.53  14.26  17.02  13.46  17.13  12.90  16.76  16.93
197502   8.12   8.71   8.98   9.96   7.59  11.33   7.02   6.99   7.53  12.26
197503  -0.93  -1.16  -0.36  -1.32   0.39  -1.50   0.58  -1.21   0.04   0.08
197504   3.46   2.03   3.38   1.32   3.43   0.91   3.51   1.96   4.55   3.40
197505  -4.07  -3.80  -2.50  -3.92  -2.89  -4.23  -2.47  -4.65  -3.03  -6.63
197506  -3.30  -4.93  -3.64  -5.05  -3.36  -5.40  -3.47  -4.29  -3.50  -4.81
197507  -3.88  -3.37  -3.65  -2.55  -3.69  -3.15  -2.73  -3.37  -3.49  -1.52
197508  -2.23  -2.31  -2.02  -2.23  -3.11  -2.62  -3.24  -1.80  -2.96  -0.68
197509  -6.54  -7.46  -6.55  -7.11  -7.19  -7.69  -7.03  -6.28  -7.17  -6.68
197510   8.97   9.09   8.13  10.62   9.28   8.66  11.37   9.50   8.95   7.34
197511   4.91   4.08   3.98   5.87   4.84   3.84   4.38   3.91   4.55   7.80
197512   0.63   2.06  -0.44   1.13   0.22   3.03   0.84   0.38  -0.62  -0.44
197601   1.50   3.46   0.13   3.86   1.56   4.46  -0.69   1.43   1.22   6.10
197602  -1.63  -0.03  -1.18  -0.47  -1.84   1.60  -1.89  -1.49  -1.78   4.34
197603  -1.45   0.15  -3.00   0.50  -2.07  -0.60  -1.38   1.68  -3.03  -2.51
197604  -2.50  -4.35  -1.46  -3.04  -2.82  -2.94  -3.49  -2.52  -1.32  -4.43
197605  -2.29  -2.65  -2.77  -1.00  -2.70  -1.43  -2.96  -0.97  -2.96  -3.88
197606  -0.63  -0.11  -0.03   0.37  -0.45   0.33  -1.03   0.00  -0.20  -0.50
197607  -1.61  -2.39  -0.99  -2.76  -2.69  -1.82  -1.82  -1.64  -1.49  -2.92
197608  -1.04  -0.51  -0.71  -1.67  -1.75  -1.57  -2.08  -0.89  -2.84   0.12
197609   0.14   0.21  -0.26   0.69   0.12  -0.58   1.52   1.49  -0.06  -1.93
197610  -5.71  -6.81  -4.87  -6.05  -5.51  -6.49  -5.30  -5.25  -5.69  -8.23
197611   2.85   2.00   2.98   3.43   1.48   2.46   0.72   2.90   3.44   2.31
197612   3.39   3.77   2.33   4.17   2.71   3.77   3.70   4.83   1.86   2.72
197701  -2.50  -2.20  -1.81  -1.46  -2.98  -1.92  -3.21  -0.93  -3.96  -3.20
197702  -0.47  -0.31  -0.21  -0.88  -0.59  -1.20  -0.44  -0.38  -0.52   2.07
197703  -0.70   0.58  -1.53  -0.72   0.38   0.45  -2.08   0.32  -0.73  -0.35
197704   4.17   5.84   2.59   4.37   4.28   4.57   4.79   4.61   3.59   6.23
197705  -2.49  -2.06  -2.04  -2.92  -1.85  -2.19  -1.58  -2.01  -2.53  -0.68
197706   0.56  -1.08   0.39   1.81  -0.26  -0.06   0.95   0.28   1.45  -1.93
197707  -1.67  -1.76  -2.60  -1.63  -1.89  -1.66  -2.31  -0.81  -2.53  -2.97
197708   1.43   0.04   1.38   2.66   0.57   1.06   0.91   1.74   1.35  -0.28
197709   2.39   1.52   2.78   3.01   1.16   2.29   3.04   2.50   2.00   0.27
197710   2.28   0.73   3.01   1.82   2.24   0.95   1.86   1.18   3.42   3.83
197711   0.68  -0.92   1.46   0.38  -0.41  -0.15  -0.29   0.12   0.33  -0.70
197712   4.28   2.99   4.57   6.04   2.68   4.85   2.31   5.06   3.89   3.16
197801   0.55   1.00   0.29   0.91  -0.36  -0.01  -0.88   0.96   0.32   0.17
197802   2.54   4.61   2.03   3.19   2.07   2.70   2.41   3.44   1.91   2.25
197803   3.69   3.88   3.09   4.97   3.52   4.76   2.07   4.40   2.58   4.79
197804  -2.63  -1.61  -2.19  -3.22  -2.13  -1.72  -3.19  -2.89  -2.44   2.34
197805   1.73   4.79   1.40   1.02   3.39   5.28   2.04   1.02   2.11   8.90
197806   1.26  -0.54   1.20   0.64   1.99  -0.62   2.39   1.48   1.14  -4.73
197807   6.14   7.32   6.44   7.31   6.54   6.66   5.61   5.67   6.48   6.83
197808   4.06   4.88   4.25   4.11   5.28   3.73   3.21   3.71   4.19   6.59
197809   5.64   4.41   6.16   6.66   5.34   5.25   6.10   6.27   5.87   6.52
197810   5.12   3.90   6.45   4.81   4.10   2.99   4.80   4.96   5.82   0.77
197811 -10.92 -10.18 -11.93 -10.93 -10.11 -10.16  -9.96 -10.44 -10.45 -13.78
197812   5.68   6.62   5.82   5.34   6.07   5.62   5.60   5.93   5.95   5.03
197901   0.17  -0.35   1.23  -0.86   0.70  -0.60   1.92  -0.43   0.72   0.37
197902  -1.61  -0.66  -2.17  -1.61  -1.88  -0.91  -2.28  -1.00  -2.01  -1.07
197903   1.07   0.83   0.68   0.86   1.89   0.98   0.89   1.43   0.97  -1.08
197904  -0.83   0.31  -1.14  -1.14  -0.27  -0.98  -0.38  -1.32  -0.91  -2.17
197905  -4.22  -4.56  -3.95  -4.03  -4.77  -5.24  -4.52  -3.83  -5.93  -5.87
197906   4.24   4.49   3.86   4.22   3.45   3.76   3.82   4.68   3.37   3.34
197907   1.56   0.16   1.58   1.99  -0.28   0.99   1.14   1.34   0.49   1.28
197908   3.31   4.16   2.99   3.85   3.70   3.89   3.31   3.50   3.65   2.45
197909   6.59   6.77   6.94   7.04   7.31   6.42   6.61   6.32   6.63   5.61
197910  -8.90  -8.49  -9.27  -7.67  -9.87  -9.42  -9.60  -8.67  -9.66 -11.18
197911   3.35   1.88   3.39   3.67   2.23   1.07   3.36   3.31   2.19  -0.43
197912   0.31  -1.32   1.50   0.36   0.33  -0.55   0.22   0.34   1.06  -5.03
198001   1.97   0.82   3.10   0.47   2.29   0.73   2.94  -0.21   2.27   6.85
198002  -1.86  -3.27  -0.76  -1.73  -2.29  -3.36  -2.87  -3.01  -1.78  -4.56
198003 -15.19 -15.53 -15.29 -14.83 -15.91 -14.79 -15.48 -14.04 -15.85 -15.37
198004  10.90  11.06  10.84  11.20  10.43  10.23  11.33  11.24  12.24   6.50
198005   3.31   2.17   4.09   3.72   4.32   2.47   3.01   2.00   4.20   1.68
198006   3.80   2.94   4.10   3.29   3.59   1.08   4.73   2.20   5.20   2.38
198007   0.23   0.22   1.27  -0.59   0.77  -0.54   0.07   0.58   1.07   1.18
198008  -0.27   0.28   0.58   0.65  -0.54  -1.51  -0.55  -1.31   0.35   5.97
198009   0.39  -2.03   1.68  -0.37   1.15  -2.80   0.46  -0.84   0.52  -2.95
198010  -0.27  -2.14   1.59   0.86   1.03  -4.94  -0.28  -2.35   1.10  -5.51
198011  -2.07  -4.72  -1.35  -2.26  -2.13  -3.22  -3.14  -3.61  -2.89  -5.13
198012  -3.92  -3.54  -4.09  -3.48  -3.98  -5.08  -3.95  -3.23  -3.37  -2.66
198101  -7.08  -7.21  -6.18  -8.38  -5.28 -10.01  -8.89  -6.80  -5.98  -8.35
198102   0.56   3.48   0.24  -0.02   2.32   4.87   0.84   0.85   0.61   4.99
198103   2.10   3.61   0.20   4.83   1.78   5.14   0.22   2.63   1.08   4.53
198104  -3.64  -2.70  -4.00  -3.03  -2.82  -4.59  -3.22  -2.74  -3.82  -4.03
198105  -9.26  -8.94  -8.60  -9.28  -7.85  -9.03  -7.95 -10.51 -10.08  -7.12
198106  -2.07  -0.11  -3.06  -0.92  -1.86  -2.16  -2.69  -1.82  -3.49  -5.37
198107  -2.61  -4.67  -0.64  -3.13  -4.67  -5.32  -2.37  -5.76  -1.15  -2.75
198108   1.94   0.54   2.23   2.67   1.52   2.05   0.58   1.29   1.52   1.22
198109  -3.09  -3.63  -2.02  -3.29  -2.09  -3.37  -3.64  -1.74  -3.83  -4.80
198110   0.85   0.48   1.32   1.05   0.14  -0.02   0.98   1.60   1.02  -0.50
198111   7.21   7.49   6.74   7.19   6.05   3.76   5.77   7.05   6.74   6.08
198112  -3.57  -3.93  -3.61  -3.81  -3.00  -1.57  -3.86  -3.28  -2.86  -3.07
198201  -0.89   1.05  -1.68  -1.49  -1.52   2.01  -1.54  -1.17  -1.06   3.47
198202  -2.33  -0.30  -2.47  -2.29  -2.27  -0.95  -3.40  -0.50  -1.37   1.28
198203  -1.57  -2.04  -2.06  -3.34  -1.04  -1.28  -1.84  -1.48  -3.22  -0.19
198204   2.75   3.16   2.25   4.16   2.51   1.41   1.63   3.09   3.00   0.62
198205  -2.92  -4.10  -2.10  -4.78  -2.45  -4.80  -1.93  -4.19  -1.97  -2.01
198206 -10.57 -12.57  -9.75 -10.54 -10.07 -13.22 -10.51 -11.34  -9.15 -11.49
198207  -0.43  -0.73  -0.31  -2.02  -0.37  -1.20  -0.50  -2.52  -0.45  -0.02
198208  -0.54  -1.28  -0.22  -1.93   0.67  -2.74  -0.10  -1.40  -0.28  -1.86
