
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  10.97   8.55  12.59   8.94  13.05   8.46  12.84   6.93  13.90   6.60
197502   7.71   6.26   8.38   7.60   7.04   8.38   8.27   5.69   8.55  -5.36
197503  -2.99  -1.12  -2.59  -3.72  -1.25  -3.04  -2.68  -3.36  -2.66  -2.38
197504   3.81   6.44   3.76  -0.40   9.06  -0.89   3.54  -0.97   9.31  -3.09
197505  -2.74  -4.43  -1.41  -4.84  -2.56  -6.51   0.68  -5.06   0.16  -3.14
197506   2.33   0.99   2.85   8.16   1.25   9.92   1.35   2.13   1.26   2.60
197507  -5.12  -5.19  -5.32  -4.89  -6.65  -4.26  -4.97  -4.62  -5.84  -8.61
197508  -3.52  -4.92  -5.35  -3.49  -0.56  -4.44  -5.61  -4.21  -3.86   2.66
197509  -2.32  -1.88  -4.93  -1.31  -3.22  -1.85  -4.20   0.31  -5.47   9.05
197510   4.80   5.61   2.88   4.13   5.78   2.19   2.94   6.21   4.26  -7.97
197511  -2.91  -3.01  -4.24  -2.65  -2.64  -3.62  -4.70  -0.94  -4.12  -6.73
197512   1.70   5.27  -0.51   2.29   1.26   1.01  -0.76   4.31  -0.45  -5.85
197601   6.67   9.76   7.09  10.04   4.13   6.36   5.63   8.58   5.99   0.97
197602  -0.57  -0.13  -1.96   0.83  -0.94  -0.11  -1.35   0.40  -3.29   2.25
197603   1.08   1.80  -0.10   4.87   1.12   2.94   1.86   0.63   3.18  -4.40
197604   8.33   8.30   9.20   8.89   8.56  10.07   7.89   8.44   8.01  23.40
197605  -5.19  -6.59  -3.63  -8.76  -2.37  -7.73  -2.66  -5.54  -6.87  -3.15
197606   0.77  -0.61   0.89   3.97  -0.16   0.24   0.04  -2.08   3.31   4.43
197607   0.92   0.56   0.67   2.56  -0.14   2.12  -0.23   1.13   1.19  -5.19
197608  -4.61  -5.89  -3.63  -5.77  -5.58  -5.83  -5.14  -5.27  -4.23  -2.84
197609  -2.20  -8.05   0.52  -5.88  -1.47  -8.34  -1.79  -4.52   0.11   1.33
197610  -7.31 -13.55  -5.04 -11.00  -2.78 -15.29  -2.82  -9.60  -4.55 -99.99
197611   3.61   2.08   5.69   4.71   4.10  -0.57   4.25   3.85   1.88 -99.99
197612   4.95   5.03   5.05   4.22   3.82   4.23   3.43   7.49   4.18 -99.99
197701  -8.39  -8.81  -8.03  -7.44  -7.13 -11.76 -10.35  -6.17  -7.21  -6.90
197702   7.90  10.98   5.39   8.00   6.67  10.44   8.28   6.03   7.27  17.22
197703   1.91   3.47   2.17   1.52   2.98   1.81   1.41   1.05   3.43  -4.32
197704  -5.42  -5.96  -7.13  -3.83  -5.97  -5.98  -5.19  -5.57  -4.36  -0.84
197705  -2.94  -3.69  -0.95  -0.58  -4.57 -11.04  -1.73  -6.08  -0.01  -2.37
197706  -8.24 -11.79  -5.21  -7.72  -8.40 -11.14  -9.16  -7.74  -6.90  -7.54
197707  -1.30  -3.16   0.83   0.56  -0.26  -0.65  -0.52   0.90  -1.98  -1.77
197708 -13.85 -15.14 -11.85  -8.59 -15.40 -19.50 -15.45 -13.06  -9.75 -15.21
197709   5.18   5.44   5.05   6.93   2.17   2.97   6.84   3.86   4.47 -24.67
197710  -3.85  -2.86  -2.37  -2.93  -3.28  -5.75  -4.38  -1.90  -4.30  -1.14
197711  -5.96  -3.42  -6.24  -5.90  -2.52  -6.68  -7.70  -2.36  -9.08  -6.34
197712   9.08  10.51   9.30  10.14   8.35   9.71  12.78   8.83   7.23  28.64
197801   7.42  18.65   5.96   6.47   6.90  17.58   7.09  14.82   6.98  29.42
197802  -2.61  -4.62  -0.71  -2.21  -1.82  -3.35   0.53  -5.53   0.22 -10.89
197803   6.39  12.65   4.56   3.60   5.87  12.35   4.06  11.30   2.82  26.20
197804   3.93   2.54   5.24   4.26   2.98   2.62   3.85   3.25   8.12 -11.12
197805  -3.36  -6.96   0.90  -3.83  -7.07  -9.84  -2.21  -9.61  -4.93  -3.00
197806   2.35  -4.91   3.58  -1.49   1.38  -3.52   6.01  -5.10   5.04  10.71
197807   8.17  15.58   7.92  11.34   7.72  16.07   5.89  14.73   6.67  11.79
197808   3.89   5.34   4.84   6.44   3.22   2.67   0.61   3.11   3.25   3.63
197809  -1.55  -3.75  -1.09  -1.60  -3.25  -1.65  -1.55  -2.90  -0.02  -2.01
197810   0.37  -0.58   1.75   3.62  -2.45  -1.46   1.78   0.84   0.59  -2.22
197811  -6.06  -5.74  -6.61  -4.85  -6.70  -3.23  -8.02  -5.06  -3.77 -10.51
197812   2.42  -0.12   3.10   1.52   2.78  -2.91   2.44  -0.56   4.23   4.88
197901   6.96  15.36   3.81   4.09   8.56  15.98   6.00  10.70   4.10  18.02
197902  -2.42  -1.70  -3.20  -4.47  -2.52  -1.99  -3.94  -4.19  -2.92   0.72
197903   0.26   0.54  -0.01  -3.39   0.82   4.17  -0.10  -0.81  -0.61   1.00
197904  -2.40  -6.05  -2.05  -3.32  -2.21  -2.81  -6.02  -3.54  -3.95  -4.49
197905   0.89   0.53   2.26  -2.16   3.68   0.58  -4.45  -0.69   3.08  -0.34
197906   4.09   1.18   6.36  -0.60   6.63  -2.80   0.12  -1.18  -0.24  -0.76
197907   2.91   6.72   1.80   3.21   4.52   3.99   5.22   6.07   0.58   2.22
197908  -0.63   1.71  -0.73  -1.45  -0.28   1.48  -2.53  -1.42   1.25   2.77
197909   5.35   5.43   5.49   3.39   4.03   4.98  -0.68   3.53   0.79  10.24
197910   0.10   0.40  -0.19  -1.28  -0.66   0.01  -4.44  -2.46   1.79   4.66
197911   7.93   3.51  10.57   1.57  11.52   3.87   2.47   1.94   2.98   6.75
197912   1.41   2.60   2.25   1.73   3.30   4.67   1.45   3.21   1.11   3.82
198001   4.56  11.68   0.45   4.49   3.31  12.22   2.89   7.08   0.69  15.29
198002  -3.55   4.89  -5.14  -0.31  -3.07   1.49   0.04  -0.07  -4.03   8.83
198003 -12.89  -8.29 -13.10  -7.81 -11.34  -5.99  -3.69  -9.44 -13.69 -12.12
198004   8.65   4.09  11.03   7.44   7.88   2.58   2.67   5.74   7.24   4.06
198005   3.12  -4.18   4.39  -0.16   4.04  -4.30   0.01  -0.51   5.60  -3.10
198006   0.65  -2.59   2.79  -2.35   0.13   0.73   2.93   0.87   2.96  -1.01
198007  -1.02  -1.40  -0.83  -0.99  -0.86  -1.19  -0.23  -0.41  -1.40  -2.28
198008  -3.68  -2.25  -3.71  -2.13  -4.64  -4.08  -0.72  -2.39  -2.35  -4.41
198009   3.30  -1.48   3.11   0.92   3.56  -0.11  -2.47   0.51   2.16  -0.53
198010   2.91   2.69   2.42   2.73   0.68  10.40   1.77   5.04   1.32  -3.73
198011   2.75   7.32   2.15   5.89   4.33   6.88   5.62   4.86   1.14   2.94
