This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   6.14   4.34   6.10   6.56   7.81   1.86   5.69   4.96   8.18  11.09   4.66   5.35   5.62   5.71   6.86   5.27   2.37   2.81   5.88   6.66  -0.10  -2.58  -0.30  -0.45   0.13
199008 -16.86 -18.06 -15.98 -15.93 -15.13 -17.99 -14.99 -15.56 -14.30 -15.53 -15.23 -13.76 -13.99 -16.10 -16.01 -13.18 -15.43 -15.56 -12.16 -14.61  -9.65 -10.03  -9.23 -11.77  -9.62
199009 -15.03 -14.45 -15.77 -13.48 -16.43 -12.83 -17.66 -16.11 -18.31 -15.91 -17.30 -17.88 -15.40 -17.51 -17.24 -18.54 -16.08 -17.40 -18.90 -18.72 -19.32 -16.10 -17.84 -15.76 -14.25
199010  24.04  21.85  21.95  20.24  25.99  29.37  25.58  27.71  27.69  25.76  29.36  27.23  24.50  27.41  26.07  28.31  32.14  29.26  25.97  30.18  25.67  30.10  25.98  23.91  19.28
199011 -21.43 -18.92 -17.38 -16.57 -19.69 -17.63 -19.00 -15.56 -18.76 -16.15 -19.38 -19.58 -15.45 -19.42 -18.92 -20.33 -16.91 -16.95 -17.13 -17.87 -14.58 -10.12 -11.78 -13.25 -13.20
199012  -1.44  -1.63  -2.85  -2.24  -2.65  -0.67  -6.34  -4.91  -4.14  -4.33  -1.87  -5.34  -1.80  -3.58  -3.20  -2.35   0.21  -0.90  -0.66  -1.70   5.11   5.98   5.62   3.00  -0.21
199101  -9.89  -7.69  -4.95  -7.92  -6.03  -3.99  -6.30  -6.29  -6.34  -5.73  -6.33  -3.03  -1.88  -2.89  -4.63  -1.96  -1.63  -2.18  -0.87  -2.21   2.96   3.65   4.01   1.41   2.55
199102  27.74  28.05  27.15  23.15  16.53  22.42  26.72  28.66  24.30  21.41  23.37  23.47  18.35  20.40  21.19  21.73  17.65  20.64  18.78  18.78  11.12   8.01  10.82  16.38  12.66
199103  -0.50   4.17  -5.40   4.75   0.03  -1.99   0.23  -3.17  -1.11  -1.75  -0.93  -3.64   1.52  -0.33  -0.60  -4.37  -2.29  -3.37  -1.87  -1.31  -5.61  -3.86  -4.28  -5.15  -5.84
199104   4.46   3.47   5.69   3.94  10.57   2.63   2.96   1.31   6.99   5.42   1.59   3.04   5.68   3.20   2.87  -0.22   1.43   2.71   1.89   3.82   2.02   2.96   2.63   1.90   2.00
199105  -4.69  -1.68  -5.04  -0.38   1.02  -3.47  -2.50  -0.82  -0.94  -3.88  -2.78  -1.23  -1.66  -1.35  -3.49  -3.19  -1.05  -1.77  -1.41  -1.17  -2.65  -0.41  -0.66  -1.21  -3.03
199106  -8.21  -6.57  -3.98  -0.70  -4.09  -6.05  -6.77  -5.98  -5.00  -4.30  -7.87  -2.90  -6.42  -4.32  -3.33  -9.55  -7.03  -6.26  -6.31  -5.48  -8.68  -7.66  -7.26  -9.64  -2.83
