This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199007   ,4.11  ,10.09   ,8.62   ,5.31  ,13.14   ,6.47   ,4.03   ,7.72   ,4.84   ,6.82   ,4.78   ,8.60   ,4.62   ,1.85   ,5.63   ,4.16   ,3.12   ,5.78   ,3.87   ,4.56  ,-0.88   ,0.08  ,-1.72  ,-2.20  ,-0.22
199008 ,-16.17 ,-16.02 ,-18.36 ,-17.81 ,-16.80 ,-16.25 ,-15.59 ,-14.71 ,-17.03 ,-14.77 ,-16.44 ,-13.04 ,-13.00 ,-16.39 ,-17.02 ,-15.59 ,-15.07 ,-11.34 ,-15.98 ,-13.42 ,-10.34 ,-12.35 ,-11.47  ,-7.21  ,-8.88
199009 ,-17.96  ,-7.43 ,-20.22 ,-17.77 ,-16.34 ,-17.81 ,-12.74 ,-18.07 ,-15.10 ,-15.61 ,-15.82 ,-19.74 ,-12.82 ,-17.59 ,-17.67 ,-18.32 ,-18.32 ,-16.95 ,-15.99 ,-17.77 ,-18.25 ,-13.52 ,-18.40 ,-17.97 ,-14.55
199010  ,29.53  ,19.96  ,30.11  ,28.38  ,24.83  ,25.67  ,33.60  ,30.65  ,29.00  ,24.31  ,26.45  ,32.68  ,20.66  ,31.18  ,27.09  ,31.39  ,30.06  ,24.51  ,30.20  ,29.01  ,27.75  ,33.18  ,26.97  ,22.96  ,21.13
199011 ,-20.98 ,-18.37 ,-14.81 ,-21.02 ,-19.21 ,-19.81 ,-16.84 ,-17.63 ,-16.73 ,-17.46 ,-18.15 ,-19.80 ,-16.74 ,-20.00 ,-18.01 ,-18.02 ,-18.95 ,-17.55 ,-16.20 ,-17.72 ,-15.11 ,-15.11 ,-11.82  ,-9.39 ,-11.30
199012  ,-0.88  ,-1.47  ,-0.02  ,-1.43  ,-7.48  ,-3.26  ,-2.46  ,-4.35  ,-3.07  ,-3.96  ,-2.53  ,-4.22  ,-1.78  ,-1.90  ,-4.18  ,-1.36  ,-0.47  ,-1.50   ,0.86  ,-2.17   ,7.33   ,4.41   ,6.29   ,4.41   ,0.40
199101  ,-9.32  ,-5.60 ,-11.34  ,-5.79  ,-6.23  ,-6.73  ,-2.71  ,-8.76  ,-6.71  ,-7.27  ,-4.31  ,-4.15  ,-0.69  ,-6.21  ,-5.30  ,-2.56  ,-1.79  ,-0.51  ,-1.48  ,-3.46   ,2.45   ,0.41   ,3.22   ,5.98   ,2.01
199102  ,29.82  ,24.11  ,22.98  ,24.91  ,23.54  ,28.08  ,22.51  ,31.35  ,26.29  ,21.19  ,21.60  ,22.84  ,18.77  ,27.32  ,21.84  ,21.46  ,19.34  ,21.83  ,15.56  ,19.33  ,11.66  ,12.40  ,11.40   ,8.68  ,11.42
199103  ,-2.51  ,-3.28   ,8.74  ,-2.63  ,-4.65  ,-2.48  ,-1.74  ,-2.14  ,-1.91  ,-0.33  ,-0.76  ,-1.62  ,-1.84  ,-2.10   ,0.36  ,-3.79  ,-3.13  ,-3.94  ,-0.49  ,-2.21  ,-6.88  ,-4.60  ,-4.38  ,-4.63  ,-4.43
199104   ,3.57  ,10.88   ,4.76   ,7.38   ,5.28   ,4.38   ,5.12   ,4.70   ,3.33   ,1.96   ,2.60   ,1.93   ,3.29   ,2.50   ,3.97   ,0.69   ,1.30   ,0.54   ,2.76   ,3.13   ,1.63  ,-0.45   ,2.93   ,4.40   ,2.42
199105  ,-1.69  ,-3.29  ,-3.29  ,-2.09  ,-4.51  ,-2.66  ,-4.08  ,-0.75  ,-1.64  ,-0.95  ,-2.10  ,-1.29  ,-1.92  ,-3.15  ,-2.90  ,-3.38  ,-0.31  ,-2.32   ,0.17  ,-2.81  ,-0.59  ,-2.46  ,-1.76  ,-0.22  ,-2.77
199106  ,-7.82  ,-5.71  ,-5.33  ,-9.49  ,-0.53  ,-6.74  ,-3.37  ,-6.65  ,-7.76  ,-2.99  ,-4.78  ,-3.27  ,-5.63  ,-8.04  ,-6.46  ,-7.51  ,-7.82  ,-8.21  ,-6.42  ,-4.93  ,-8.62  ,-8.56  ,-6.87  ,-7.93  ,-4.89
199107  ,-2.42   ,0.27  ,-3.99  ,-3.91  ,-2.89  ,-0.58   ,0.00   ,0.78  ,-0.48   ,0.00   ,1.90   ,0.27  ,-0.46  ,-1.70  ,-0.51   ,0.55  ,-0.83   ,0.82  ,-0.21   ,0.43   ,2.71   ,3.64   ,2.88   ,1.93   ,4.79
199108 ,-11.75 ,-10.92 ,-11.37 ,-13.46 ,-13.54 ,-12.09 ,-14.27 ,-12.10 ,-10.90 ,-13.07  ,-9.43 ,-10.47 ,-12.51 ,-10.67 ,-11.59 ,-10.70  ,-9.62  ,-8.82 ,-10.20 ,-11.62  ,-5.28  ,-5.10  ,-6.91  ,-4.20  ,-7.04
199109  ,14.76  ,11.19   ,8.30  ,11.46  ,12.66  ,11.56  ,12.78  ,12.51  ,14.46  ,12.46  ,13.43  ,14.06  ,12.41  ,13.31   ,9.47  ,17.10  ,13.30  ,11.51  ,12.81  ,13.28   ,7.93   ,9.44   ,8.07   ,6.93  ,10.65
199110   ,7.10   ,7.49  ,10.55   ,9.48  ,10.48  ,10.17   ,8.68   ,8.31   ,6.04   ,4.60   ,8.58   ,5.32   ,7.47   ,5.62   ,5.32   ,5.28   ,3.73   ,3.21   ,7.53   ,4.65   ,3.21   ,3.89   ,3.99   ,4.75   ,5.23
199111 ,-10.74  ,-9.76  ,-7.42 ,-10.27 ,-11.90 ,-10.20 ,-10.09 ,-13.10 ,-10.81 ,-12.04 ,-10.47 ,-10.90 ,-11.20  ,-9.71  ,-9.44 ,-11.47 ,-10.06  ,-6.90 ,-12.49 ,-10.82  ,-5.70  ,-8.52  ,-7.93  ,-7.21  ,-8.52
199112   ,6.95   ,4.67   ,5.10   ,6.13   ,5.85   ,4.40   ,6.46   ,5.34   ,5.21   ,2.39   ,2.05   ,4.17   ,5.75   ,5.00   ,2.11   ,3.75   ,5.87   ,3.19   ,3.18   ,3.90   ,3.16   ,4.01   ,3.27   ,3.17   ,2.59
199201  ,-7.51  ,-7.14 ,-11.28  ,-6.70  ,-6.89  ,-4.98  ,-5.35  ,-5.52  ,-7.43  ,-7.19  ,-3.64  ,-3.88  ,-6.78  ,-5.66  ,-5.47  ,-3.39  ,-3.29  ,-2.01  ,-4.48  ,-5.37  ,-5.50  ,-5.10  ,-5.85  ,-6.18  ,-5.20
199202  ,-3.42  ,-5.26  ,-6.72  ,-2.65  ,-2.22  ,-2.90  ,-4.87  ,-5.42  ,-4.54  ,-4.56  ,-3.55  ,-4.67  ,-5.41  ,-6.47  ,-4.38  ,-3.03  ,-5.25  ,-4.90  ,-4.42  ,-5.06  ,-4.91  ,-6.71  ,-8.68  ,-9.40  ,-8.62
199203 ,-13.58 ,-12.75 ,-13.11 ,-10.82 ,-16.21 ,-11.07 ,-15.69 ,-13.40 ,-12.96 ,-11.35 ,-15.48 ,-13.18 ,-10.83 ,-11.14 ,-10.29 ,-11.61 ,-10.89  ,-7.58  ,-9.43 ,-12.43 ,-10.87 ,-11.01 ,-11.09 ,-10.07 ,-12.39
199204 ,-11.70 ,-10.04 ,-11.50 ,-12.49 ,-10.36 ,-11.30 ,-11.70 ,-10.76 ,-12.26  ,-9.78 ,-12.94  ,-5.71 ,-11.90 ,-11.29  ,-7.47 ,-10.55  ,-7.47  ,-7.45 ,-11.44  ,-7.70  ,-4.85  ,-4.50  ,-7.44  ,-7.06  ,-7.84
199205  ,14.23  ,15.19  ,17.70  ,17.87  ,17.41  ,14.37  ,14.48  ,15.56  ,16.53  ,16.35  ,16.15  ,11.28  ,13.72  ,15.27  ,13.88  ,14.55  ,10.58  ,10.24  ,11.94  ,10.57   ,7.63   ,6.98   ,7.73   ,7.87   ,8.90
199206  ,-8.67  ,-5.74 ,-13.87 ,-11.35 ,-11.42  ,-9.79 ,-12.29  ,-8.52  ,-7.32  ,-9.26 ,-10.59  ,-8.54 ,-10.12 ,-11.45  ,-7.28 ,-11.67  ,-6.89  ,-5.74  ,-9.35  ,-9.13  ,-6.62  ,-9.24  ,-9.20  ,-7.86 ,-11.97
199207  ,-7.85  ,-6.18  ,-8.66  ,-6.42  ,-9.60  ,-6.88  ,-7.63  ,-5.46  ,-6.55  ,-8.74  ,-6.56  ,-4.95  ,-8.83  ,-7.42  ,-9.68  ,-6.01  ,-4.28  ,-6.13  ,-7.35 ,-10.63   ,3.87  ,-3.08  ,-3.68  ,-4.21  ,-3.51
