This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 BE/ME portfolios and 4 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of 6 months before formation.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
199007     ,2.95     ,3.56     ,3.07     ,5.88     ,2.26     ,4.84     ,3.63     ,4.88     ,3.77    ,11.46     ,6.56     ,7.35    ,11.39     ,9.04    ,11.08     ,6.42     ,1.00     ,0.52    ,-5.15     ,3.89    ,-1.37     ,0.71    ,-1.81    ,-1.15    ,-0.80    ,-1.12    ,-0.19     ,1.40     ,6.25     ,4.43     ,2.33    ,-0.53
199008   ,-17.77   ,-16.38   ,-19.17   ,-18.22   ,-14.32   ,-16.49   ,-11.63   ,-16.99   ,-18.00   ,-16.06   ,-15.13   ,-15.22   ,-10.63   ,-17.10   ,-12.93   ,-16.98   ,-10.12   ,-11.14    ,-9.79    ,-9.97   ,-11.61   ,-11.00    ,-8.28   ,-10.12   ,-12.71   ,-12.70    ,-9.69   ,-10.35   ,-13.84   ,-13.80   ,-11.08    ,-8.72
199009   ,-19.76    ,-8.63   ,-13.45   ,-17.30   ,-16.01   ,-16.75   ,-15.94   ,-19.86   ,-12.58   ,-16.66   ,-18.30   ,-18.63   ,-20.51   ,-18.04   ,-15.39   ,-12.61   ,-19.93   ,-16.70   ,-18.58   ,-19.65   ,-14.43   ,-16.36   ,-18.95   ,-17.44   ,-16.83   ,-15.78   ,-15.27   ,-15.79   ,-18.69   ,-16.29   ,-16.73   ,-12.98
199010    ,29.59    ,29.13    ,26.82    ,30.32    ,22.65    ,31.96    ,26.83    ,29.56    ,29.12    ,34.19    ,30.42    ,27.32    ,22.16    ,28.33    ,24.13    ,23.53    ,26.83    ,27.16    ,26.47    ,32.57    ,39.79    ,23.36    ,26.44    ,27.27    ,32.08    ,25.61    ,19.72    ,19.94    ,24.85    ,27.28    ,23.51    ,18.32
199011   ,-19.68   ,-17.63   ,-19.41   ,-20.20   ,-19.99   ,-21.01   ,-20.39   ,-19.10   ,-17.72   ,-19.47   ,-20.48   ,-18.95   ,-20.01   ,-19.66   ,-10.78   ,-18.95   ,-17.53   ,-15.59   ,-10.92   ,-14.34   ,-18.03   ,-12.11    ,-7.08    ,-8.38   ,-11.81   ,-13.93   ,-13.13   ,-13.65   ,-14.99   ,-14.49   ,-15.89   ,-13.10
199012     ,0.77    ,-1.46     ,0.84    ,-2.97    ,-5.82    ,-0.47    ,-2.49    ,-4.32    ,-0.88    ,-8.14    ,-1.90    ,-2.52    ,-6.64    ,-0.10    ,-5.62    ,-1.95     ,4.30     ,3.88     ,9.24    ,-3.03     ,7.50     ,3.22     ,5.38     ,3.71     ,5.50     ,3.89     ,3.01     ,0.42    ,-1.74     ,0.63    ,-1.37     ,0.03
199101    ,-7.84     ,1.77   ,-10.75    ,-8.48    ,-6.95    ,-8.75    ,-5.37   ,-11.19    ,-6.09    ,-1.11    ,-5.59    ,-4.90    ,-0.94    ,-5.32    ,-7.25    ,-5.58     ,0.76    ,-0.11     ,4.55     ,2.66     ,0.51     ,1.94     ,6.74     ,2.92     ,3.03     ,0.79     ,3.16    ,-0.58    ,-1.54     ,0.61     ,2.04     ,1.76
199102    ,28.42    ,20.62    ,25.13    ,26.95    ,28.84    ,27.43    ,30.62    ,31.71    ,26.82    ,26.11    ,27.32    ,21.97    ,22.38    ,21.69    ,19.73    ,20.69    ,16.26    ,14.86     ,6.02    ,12.08    ,10.13    ,16.37     ,7.09     ,9.79    ,10.69    ,17.86    ,11.67    ,16.66    ,16.58    ,15.12    ,17.22    ,12.37
199103    ,-2.72    ,-0.84    ,-4.05    ,-5.47    ,-2.29     ,0.15    ,-1.45     ,2.84    ,-3.77    ,-2.54     ,1.27    ,-1.82    ,-2.79    ,-0.10    ,-2.05     ,3.64    ,-7.13    ,-6.99    ,-3.99    ,-3.66    ,-4.21    ,-4.77    ,-3.18    ,-4.51    ,-5.78    ,-3.08    ,-3.53    ,-3.91    ,-4.46    ,-4.44    ,-5.33    ,-5.47
199104     ,1.71     ,1.63     ,3.63     ,1.55     ,6.37     ,3.69    ,-0.53     ,3.55     ,5.60     ,2.31     ,2.43     ,2.83     ,8.04     ,7.23     ,8.79     ,2.10     ,1.97     ,1.11     ,4.14     ,0.11    ,-2.61     ,2.83     ,4.66     ,5.94     ,0.63     ,1.15     ,3.90     ,2.79     ,3.09     ,4.19     ,1.60     ,1.65
