This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 BE/ME portfolios and 4 OP portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of 6 months before formation. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,1.10     ,0.92     ,4.97     ,5.95     ,2.71     ,3.49     ,5.33     ,4.67     ,2.00     ,5.51    ,10.22     ,9.37     ,6.45     ,8.11     ,9.39    ,14.43     ,0.34    ,-2.46    ,-3.42     ,2.26     ,0.37     ,0.86     ,0.64    ,-2.70     ,0.51     ,3.46     ,2.21    ,-2.47     ,2.59     ,5.06     ,0.69    ,-0.90
199008   ,-16.74   ,-16.97   ,-18.72   ,-17.86   ,-12.17   ,-16.74   ,-14.24   ,-15.28   ,-17.11   ,-14.87   ,-14.73   ,-16.14   ,-13.79   ,-15.91   ,-16.39   ,-12.37   ,-10.13   ,-12.11   ,-11.09    ,-8.71   ,-13.09   ,-10.48   ,-10.69    ,-8.89   ,-15.18   ,-11.86   ,-12.10    ,-9.96   ,-10.55   ,-13.01   ,-10.42    ,-8.51
199009    ,-9.76   ,-14.01   ,-18.99   ,-15.17   ,-16.99   ,-16.82   ,-11.98   ,-20.02   ,-15.17   ,-16.03   ,-17.77   ,-15.41   ,-17.95   ,-15.82   ,-15.52   ,-19.37   ,-17.20   ,-17.94   ,-17.93   ,-20.63   ,-16.14   ,-18.52   ,-18.52   ,-16.02   ,-15.05   ,-14.95   ,-15.90   ,-16.82   ,-16.12   ,-16.86   ,-13.97   ,-14.16
199010    ,28.58    ,24.05    ,29.83    ,26.90    ,30.19    ,29.36    ,20.63    ,28.04    ,30.73    ,27.66    ,30.41    ,23.40    ,22.50    ,32.01    ,23.25    ,22.45    ,21.88    ,29.52    ,27.35    ,30.86    ,27.09    ,25.13    ,26.23    ,33.91    ,26.44    ,23.81    ,23.54    ,24.03    ,26.79    ,24.75    ,18.72    ,16.48
199011   ,-19.89   ,-16.82   ,-18.84   ,-17.42   ,-21.89   ,-21.95   ,-17.79   ,-18.51   ,-23.40   ,-16.98   ,-19.16   ,-15.39   ,-17.72   ,-18.97   ,-17.82   ,-16.32   ,-19.77   ,-11.74   ,-11.09   ,-14.67   ,-12.15   ,-13.00   ,-11.93   ,-10.47   ,-17.22   ,-13.79   ,-15.87   ,-10.95   ,-16.68   ,-15.56   ,-12.40   ,-14.70
199012     ,0.92    ,-1.06     ,0.70    ,-3.97    ,-0.19    ,-2.88    ,-6.01    ,-4.09    ,-0.99    ,-5.25    ,-5.18    ,-0.43    ,-4.42    ,-3.78    ,-2.71    ,-6.59     ,1.39     ,9.23     ,6.85     ,1.99     ,3.56     ,2.16     ,4.82     ,6.45     ,2.41     ,1.06     ,1.23     ,4.86    ,-1.04    ,-1.48    ,-0.95     ,1.97
199101    ,-2.12    ,-9.41    ,-6.02    ,-9.53   ,-10.00    ,-5.23    ,-8.41    ,-5.55    ,-2.26    ,-4.72    ,-6.31    ,-2.68    ,-3.84    ,-6.66    ,-4.03    ,-0.71    ,-0.16     ,4.98     ,2.38     ,1.93    ,-0.46     ,0.04     ,1.57     ,5.83    ,-0.81     ,1.34     ,0.05     ,2.75    ,-0.71    ,-0.48     ,4.14     ,0.66
199102    ,23.42    ,19.82    ,23.35    ,25.08    ,35.11    ,26.60    ,24.67    ,26.49    ,27.64    ,25.74    ,24.61    ,16.34    ,20.03    ,23.55    ,20.41    ,16.97    ,18.13     ,6.16     ,9.08    ,12.67    ,15.63    ,16.59    ,10.63     ,6.71    ,21.79    ,12.17    ,14.11    ,13.35    ,18.35    ,15.91     ,9.29    ,18.13
199103    ,-3.12    ,-3.31    ,-3.58    ,-0.11    ,-1.76     ,0.79     ,1.03    ,-0.34    ,-4.03    ,-1.65     ,1.17    ,-0.06    ,-0.52    ,-0.29     ,0.72    ,-1.52    ,-7.23    ,-2.41    ,-6.05    ,-5.22    ,-6.00    ,-4.72    ,-3.66    ,-3.41    ,-3.66    ,-3.25    ,-0.72    ,-5.52    ,-5.49    ,-4.06    ,-4.81    ,-5.75
199104     ,0.80     ,1.21     ,3.74     ,2.24    ,-1.31     ,6.45     ,3.55     ,3.22     ,4.61     ,3.23     ,3.67     ,4.42     ,9.04     ,3.03     ,4.76     ,8.62     ,0.24     ,4.10     ,3.53     ,1.45     ,3.31     ,2.34     ,4.54     ,1.84     ,0.92     ,3.70     ,1.69     ,1.80     ,1.31     ,2.70     ,2.76     ,1.65
