This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                                                                              Small                                                                                                                                            Big
                   Lo OP                                   2                                   3                               Hi OP                               Lo OP                                   2                                   3                               Hi OP
          Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV
199007     3.94     4.04     0.84     3.67     2.96     4.84     6.40     6.32     3.86    11.84     7.90     7.52     9.89     8.09     6.87     7.54     1.66     2.74     0.18    -0.25     6.27     1.12    -0.70     3.09     1.41     0.46    -1.60     0.30    -1.67    -0.70    -3.06    -0.60
199008   -16.75   -13.21   -15.29   -14.21   -15.38   -19.06   -13.11   -17.26   -15.89   -16.59   -12.91   -16.81   -12.19   -17.30   -17.34   -17.63   -11.37   -15.30    -9.91   -11.21   -16.52   -10.19   -11.20   -12.21   -13.01   -12.14   -10.92    -8.98   -10.60   -11.58    -6.38    -8.01
199009   -14.64   -12.34   -15.88   -20.29   -19.31   -13.58   -16.31   -15.84   -17.16   -17.73   -16.37   -12.68   -16.43   -18.76   -15.01   -18.41   -16.24   -18.91   -17.68   -13.73   -20.37   -16.53   -17.03   -16.48   -16.10   -14.65   -19.46   -14.44   -16.73   -15.82   -17.27   -17.40
199010    25.17    33.63    28.38    27.64    32.40    32.40    25.61    28.15    18.04    28.87    29.86    25.18    24.44    30.32    25.67    27.40    23.44    29.95    24.64    23.82    32.94    24.31    25.49    24.88    27.74    22.55    27.37    18.91    37.83    26.76    22.30    24.45
199011   -20.30   -23.90   -19.09   -19.21   -18.86   -18.20   -20.13   -18.55   -15.44   -18.16   -18.62   -19.47   -17.47   -17.50   -16.00   -18.44   -18.15   -16.11   -19.89   -14.65   -16.60   -13.45   -11.98   -14.60   -16.13   -12.69   -12.50    -9.91   -15.74   -14.06    -4.94   -11.33
199012    -3.33    -0.26     1.29    -0.34    -2.92    -6.73    -3.42    -0.28    -3.54    -1.59    -3.31    -4.45    -2.68    -0.04    -2.35    -5.77     2.13     1.77     0.59     1.27     0.17     1.63     5.24     0.87     0.55     4.80     5.98     0.79     8.14     4.00     4.82     0.57
199101    -6.57     1.10    -9.49    -6.94    -6.98    -6.61    -5.22    -6.32    -7.10    -3.69    -8.03    -7.90    -4.06    -4.72    -6.48    -7.20    -1.27     0.97     1.39    -1.53    -1.39     2.18     2.92    -0.90     1.92    -0.52     2.96     3.26     1.75     0.86     8.47     3.36
199102    28.32    24.07    31.97    25.71    30.87    26.60    27.21    20.37    22.02    19.71    25.77    24.35    21.45    25.96    20.86    25.86    18.60    18.89    21.68    15.84    19.40    14.86     9.46    14.28    14.97    14.24     9.13     7.57     9.03    17.81     5.70    13.76
199103    -3.77    -0.91    -2.15    -3.28    -2.66    -3.43    -2.11     5.88    -4.35     1.45     0.90    -0.85    -0.22    -0.24    -1.99    -0.69    -6.75    -5.82    -5.79    -5.03    -5.59    -3.98    -3.52    -3.52    -4.98    -5.67    -4.09    -3.57    -4.98    -4.44    -2.95    -5.69
199104     3.62     4.20     0.77     2.71     6.46     4.08     0.94     3.16     7.23     4.66     3.58     1.67     4.53     1.62     6.67     2.14     0.20     1.89    -1.88     2.95     1.64     1.81     4.28     2.95     1.32     3.70     3.83     3.66    -1.10     1.14     5.03     2.42
199105    -1.55    -4.95    -5.18    -4.31    -2.18    -2.01    -3.03    -1.68    -3.50    -2.02    -2.23    -2.17    -1.48    -0.81    -4.01     1.27    -1.87    -0.87    -1.29    -2.36    -1.74    -0.64    -1.88    -1.63    -2.05    -2.91    -1.58    -2.87    -1.86    -0.88     0.67    -1.78
199106    -6.76    -2.24    -9.21    -4.31    -6.49    -8.54    -5.71   -11.64    -7.01    -1.75    -8.68    -3.31    -2.44    -6.47    -4.68    -4.20   -10.61    -7.99   -10.04    -7.30    -6.31    -5.07    -6.82    -4.44    -7.93    -6.27    -6.55    -4.13    -7.11   -13.74    -7.30    -6.97
199107     1.75     0.31    -0.02    -1.33    -1.45     1.77    -2.68     0.17     0.37    -1.01    -2.00    -1.36     2.78     1.41    -0.72    -0.85     1.71     0.10     0.82     2.18     1.54     0.89     2.37     2.01     1.57     2.89     1.07     2.04     2.80     4.53     3.36     6.87
199108   -12.10   -11.78   -12.70   -12.10   -12.35   -11.98   -11.88   -12.38    -7.82   -12.43   -10.01   -12.30   -10.23   -14.36   -12.35   -12.18    -9.04    -5.85    -5.51    -4.42    -9.69    -8.76    -5.50    -7.77    -7.61    -4.49    -6.62    -5.68    -4.02    -5.92    -6.07    -9.01
199109    11.61    11.45    16.06    13.40    18.17    11.64    11.32    12.51     9.63    14.01    10.84     9.61     7.18    12.95    11.75     8.63    15.23    13.61     6.01     9.33    16.47    13.27     9.15    10.21    11.22     7.30     7.67     7.89     6.73     6.96     8.84     9.91
199110     9.53     7.54     7.06     5.89     7.03     9.15     6.32     6.04     6.53     8.22    10.46     7.52    13.19     5.47     3.62     6.04     4.77     4.23     9.80     6.36     4.19     2.80     3.15     8.26     4.20     5.28     6.03     3.61     2.81     2.27     4.25     2.82
199111   -10.42   -12.00   -13.97   -12.85   -11.62    -9.19   -12.10   -10.17    -8.29   -12.79   -10.24   -10.11    -9.53   -10.34   -10.85   -11.52   -10.28    -9.92    -6.19    -6.52    -9.90    -9.81    -6.30    -8.52    -9.84    -7.88    -8.66    -8.78    -4.50    -8.52    -8.86    -9.35
