This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
199007    0.10    6.00    3.63    0.68
199008  -11.88   -4.97    0.33    0.66
199009  -17.38    0.67    0.14    0.60
199010   24.90    1.21   -4.55    0.68
199011  -14.12   -5.53   -0.20    0.57
199012    1.93   -5.86   -3.61    0.60
199101    1.19   -7.56    0.24    0.52
199102   12.29   11.15    0.80    0.48
199103   -4.21    3.63    0.40    0.44
199104    2.18    1.41    1.50    0.53
199105   -2.03   -0.79    0.40    0.47
199106   -7.09    1.17    3.57    0.42
199107    1.39   -3.51    1.00    0.49
199108   -7.24   -4.95   -0.84    0.46
199109    8.66    1.78    0.08    0.46
199110    4.06    2.12   -3.42    0.42
199111   -8.52   -2.30   -0.35    0.39
199112    2.50    1.00   -0.09    0.38
199201   -5.67   -1.17    1.91    0.34
199202   -7.22    2.99   -0.70    0.28
199203  -11.45   -1.22    2.31    0.34
199204   -7.70   -3.98    5.45    0.32
199205    8.73    5.15   -2.41    0.28
199206   -9.05   -0.06    2.49    0.32
199207   -3.27   -5.69   -1.12    0.31
199208   16.37   -5.09   -6.59    0.26
199209   -2.86    3.61   -0.14    0.26
199210   -5.39   -1.76    1.18    0.23
199211    1.85   -3.21   -1.40    0.23
199212   -1.03    2.10    2.33    0.28
199301   -0.87   -1.67    0.28    0.23
199302    4.35    2.09   -0.16    0.22
199303   15.84    0.26    3.70    0.25
199304   16.68    1.07    3.81    0.24
199305    4.96   12.26   -1.83    0.22
199306   -4.19   -2.64   -2.67    0.25
199307    6.71   -4.79    0.36    0.24
199308    2.15   -0.51    0.32    0.25
199309   -5.20    0.87   -0.65    0.26
199310   -2.56   -7.67    0.19    0.22
199311  -16.22   -1.54   -0.37    0.25
199312    2.00   -0.92    2.81    0.23
199401   16.87    1.20    3.59    0.25
199402    3.88    0.93    2.46    0.21
199403   -2.23    5.55    2.01    0.27
199404    3.29    2.21    0.00    0.27
199405    1.23   -2.03    2.78    0.32
199406    6.02    4.56    3.85    0.31
199407   -4.11    0.97   -0.59    0.28
199408   -0.29   -2.25    0.60    0.37
199409   -3.22   -1.74    0.59    0.37
199410    2.20   -0.68    0.95    0.38
199411   -6.55   -1.94   -0.09    0.37
199412    1.61    0.53   -0.41    0.44
199501   -6.85    2.01   -2.21    0.42
199502   -5.61   -0.90    0.08    0.40
199503    8.60   -3.45    1.23    0.46
199504    3.67   -2.04   -1.83    0.45
199505   -6.79   -2.61   -0.67    0.54
199506   -4.60   -1.67    1.93    0.47
199507    5.90    0.11   -2.44    0.45
199508   -3.08    3.10   -0.53    0.47
199509   -1.60   -1.80   -1.94    0.43
199510   -4.32    1.86   -0.66    0.47
199511    4.09    0.74    0.45    0.42
199512    4.35    1.78    2.57    0.49
199601   -1.67    3.14    2.04    0.43
199602   -1.84   -0.34   -0.30    0.39
199603    2.60   -0.89   -0.96    0.39
199604    6.38    5.00    1.25    0.46
199605   -4.91    0.91    0.63    0.42
199606   -0.03   -1.69    1.19    0.40
199607   -5.17   -1.24    1.03    0.45
199608   -4.72    0.67   -0.44    0.41
199609    2.44   -4.78    0.43    0.44
199610   -7.28    0.50    0.45    0.42
199611    0.22   -5.03    1.37    0.41
199612   -7.52   -4.63    2.02    0.46
199701  -11.18    0.68    1.09    0.45
199702    1.46   -2.50   -0.50    0.39
199703   -4.10   -4.37    1.67    0.43
199704    1.49   -5.23   -0.18    0.43
199705   13.05    4.32   -4.38    0.49
199706    5.44   -3.08   -0.67    0.37
199707   -4.44   -7.38   -2.26    0.43
199708   -9.83   -1.23    0.27    0.41
199709   -2.96  -11.43   -1.97    0.44
199710   -8.07    8.08   -0.86    0.42
199711   -8.35   -9.47   -3.20    0.39
199712   -8.12   -6.69   -1.79    0.48
199801   10.55   13.35    1.95    0.43
199802    0.82    4.59    1.01    0.39
199803   -6.92   -2.94    1.22    0.39
199804   -2.29   -2.41   -1.83    0.43
199805   -4.90    0.27    0.57    0.40
199806    0.31    0.08    0.34    0.41
199807   -1.63    0.74   -1.65    0.40
199808   -9.26    1.53   -1.58    0.43
199809   -3.91   -1.76   -2.40    0.46
199810   16.12   -4.67    1.65    0.32
199811    3.63    1.38    2.09    0.31
199812    2.78    0.09   -1.98    0.38
199901    0.79   -0.48   -0.42    0.35
199902   -2.60    4.13   -4.57    0.35
199903   13.61   -0.61    1.60    0.43
199904    4.67    4.40    3.89    0.37
199905   -5.32   -0.19   -1.19    0.34
199906   10.47    9.63   -6.01    0.40
199907    9.94   -4.01    0.54    0.38
199908    2.80    1.60    0.04    0.39
199909    6.82   -2.33   -3.89    0.39
199910    6.21   -5.45   -5.71    0.39
199911    7.24   -5.25  -14.25    0.36
199912    3.61   -7.91   -8.24    0.44
200001   -5.36    1.64    6.32    0.41
200002   -1.72    2.74   -7.86    0.43
200003    6.10    0.86    6.03    0.47
200004   -9.09   -3.17    2.44    0.46
200005   -7.55    4.83   10.05    0.50
200006    5.92    1.99    6.11    0.40
200007  -12.28   -0.92    4.49    0.48
200008    6.46    1.48   -3.51    0.50
200009   -4.82   -3.14    6.05    0.51
200010   -7.57   -6.22    7.96    0.56
200011   -3.03    1.13    5.81    0.51
200012   -9.89   -1.37    7.79    0.50
200101   -0.79    1.40   -5.79    0.54
200102   -5.52    4.70    6.26    0.38
200103   -4.21    0.58    0.51    0.42
200104    8.70    0.16    4.71    0.39
200105   -0.13    2.87   -0.79    0.32
200106   -5.34    1.06    6.47    0.28
200107   -8.93   -1.45    6.41    0.30
200108   -2.71    1.75    8.24    0.31
200109   -7.69   -1.01   -0.32    0.28
200110    0.80    3.02   -4.54    0.22
200111   -1.80   -3.46   -3.20    0.17
200112   -8.23   -3.72    1.64    0.15
200201   -7.82    1.94    1.53    0.14
200202    5.08    0.43    3.07    0.13
200203    5.63    0.43   -5.59    0.13
200204    5.21    1.27   -1.26    0.15
200205    7.10    1.55    2.74    0.14
200206   -4.79    1.58    1.61    0.13
200207   -6.04    3.62    3.19    0.15
200208   -1.42   -1.32    1.80    0.14
200209   -4.94   -0.06    3.97    0.14
200210   -6.77   -2.72    1.26    0.14
200211    3.03   -6.02   -0.90    0.12
200212   -2.42    2.22    1.23    0.11
200301   -3.41    3.85    1.68    0.10
200302    1.46    2.06    5.83    0.09
200303   -2.93    3.14    1.83    0.10
200304    1.09    3.49    0.14    0.10
200305    4.53    2.09   -2.19    0.09
200306    7.12    0.19    1.94    0.10
200307    3.47   -1.06   -0.56    0.07
200308    9.79   -1.53    2.43    0.07
200309    7.48    3.03   -1.68    0.08
200310    4.16    4.46   -2.84    0.07
200311   -3.87   -3.23   -0.20    0.07
200312    6.47   -1.95    2.79    0.08
200401    1.98    4.81    0.24    0.07
200402   -0.08   -0.87    2.31    0.06
200403   15.03    7.40    3.52    0.09
200404   -4.54    7.96   -3.81    0.08
200405   -3.35   -3.37    0.25    0.06
200406    5.39    5.92   -1.14    0.08
200407   -6.78   -1.31    4.65    0.10
200408    0.99    0.32   -1.11    0.11
200409   -3.18   -1.44    3.18    0.11
200410    2.38   -0.29    0.41    0.11
200411    3.81   -0.72   -0.40    0.15
200412    5.03   -1.14    0.91    0.16
200501   -1.20    6.49    0.54    0.16
200502    1.71    1.59    2.28    0.16
200503   -1.51    1.38    3.44    0.21
200504   -2.17    2.60    0.47    0.21
200505   -2.61   -2.09    0.24    0.24
200506    0.73    1.94   -0.35    0.23
200507    0.66    1.58   -1.04    0.24
200508    6.67   -3.75   -0.70    0.30
200509    7.93   -6.44    3.15    0.29
200510   -0.35    2.20    1.15    0.27
200511    2.93    0.02   -2.15    0.31
200512    9.45    4.70   -6.14    0.32
200601    3.54   -0.25    2.44    0.35
200602   -2.58   -5.04    3.74    0.34
200603    2.67    0.36   -1.09    0.37
200604    2.09   -1.23    1.39    0.36
200605   -7.40   -2.84    2.70    0.43
200606   -1.77   -1.58   -0.47    0.40
200607   -2.20   -5.96    5.26    0.40
200608    1.31    0.72   -1.77    0.42
200609   -2.07   -1.39    0.53    0.41
200610    1.25   -2.35   -1.10    0.41
200611   -0.45   -1.97    2.15    0.42
200612    1.42   -1.99    1.22    0.40
200701    0.40    0.49    0.22    0.44
200702    3.46   -1.20    2.75    0.38
200703   -1.70    0.14    2.67    0.43
200704   -2.75   -1.53    2.47    0.44
200705    0.37   -3.66    0.16    0.41
200706   -0.32    2.96   -0.66    0.40
200707   -0.42    0.60    0.44    0.40
200708   -3.80   -3.35    1.47    0.42
200709    1.41   -2.74    0.06    0.32
200710    0.07    3.53   -5.29    0.32
200711   -2.29   -1.51    0.24    0.34
200712   -3.99   -2.13    2.16    0.27
200801   -4.90   -0.86    3.85    0.21
200802    1.01    2.06   -0.64    0.13
200803   -3.71    3.12    1.70    0.17
200804    6.22   -6.42   -1.29    0.18
200805    2.03    1.23    1.18    0.18
200806   -6.61    1.19    3.68    0.17
200807   -3.12   -1.46    2.31    0.15
200808   -4.36   -2.87    1.13    0.13
200809  -10.50    1.12    5.22    0.15
200810  -13.55    3.94    4.53    0.08
200811    0.05    3.96   -0.03    0.03
200812    8.57    0.78    0.26    0.00
200901   -6.50    3.69   -0.10    0.00
200902  -11.93   -1.14    0.60    0.01
200903    1.30    0.08    0.72    0.02
200904    8.05   -3.82   -1.39    0.01
200905   10.89    2.19   -3.44    0.00
200906    2.85    4.52    0.05    0.01
200907    4.06   -1.39    0.61    0.01
200908    3.40    2.95   -0.39    0.01
200909   -0.84    2.11   -4.82    0.01
200910   -2.29   -0.58    1.23    0.00
200911   -2.00   -3.07   -4.00    0.00
200912    0.22   -3.79    6.21    0.01
201001    2.34    0.37    0.28    0.00
201002    0.76    1.01   -1.33    0.00
201003    4.83   -1.49    6.13    0.01
201004    0.53    4.48    1.07    0.01
201005   -7.93    1.91   -3.50    0.01
201006   -0.64    1.86   -3.18    0.01
201007    2.94   -1.37   -1.36    0.01
201008   -2.61   -0.81    0.71    0.01
201009    4.69   -0.55   -1.59    0.01
201010    1.23   -3.44   -0.85    0.01
201011    1.97    0.74    0.28    0.01
201012    7.55    2.84    1.33    0.01
201101    0.40    1.86    0.97    0.01
201102    4.83   -0.19    1.09    0.01
201103   -8.67    2.14    1.32    0.01
201104    0.78   -1.00   -1.91    0.00
201105   -1.62   -0.17   -0.12    0.00
201106    2.52    1.31    2.28    0.00
201107    4.03    0.55   -0.42    0.00
201108   -7.51    4.52    0.26    0.01
201109   -0.46   -1.08    3.36    0.00
201110   -1.19   -2.17   -2.43    0.00
201111   -3.78    1.97    0.43    0.00
201112    1.25    0.90    1.42    0.00
201201    4.28    2.15    2.47    0.00
201202    3.50   -3.20    0.45    0.00
201203    1.41    1.49   -0.68    0.00
