This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   3.99   5.52   8.71  -1.23   0.15   1.31
199008 -16.39 -15.29 -15.23 -10.25 -11.01 -10.74
199009 -14.42 -17.26 -16.37 -17.88 -16.55 -15.65
199010  26.27  29.33  25.05  29.66  25.59  21.78
199011 -19.32 -18.78 -18.07 -12.91 -12.11 -14.55
199012  -1.87  -3.38  -3.35   5.57   3.58  -0.17
199101  -6.90  -4.95  -4.12   3.50   2.02   1.20
199102  24.43  25.97  20.55   9.63  12.79  15.10
199103  -1.38  -1.12  -0.04  -4.31  -4.26  -4.85
199104   2.62   3.25   5.51   2.08   2.88   2.20
199105  -3.81  -1.49  -1.79  -1.27  -0.95  -2.50
199106  -6.90  -6.09  -3.68  -8.14  -7.84  -4.21
199107  -1.20  -0.52  -1.05   1.55   2.83   3.40
199108 -11.44 -11.42 -11.05  -5.67  -5.65  -7.73
199109  10.78  10.95  10.54   8.55   9.42   8.94
199110   8.38   6.98   4.60   6.17   4.32   3.12
199111 -10.44 -10.14 -10.36  -8.27  -6.70  -9.06
199112   4.98   3.79   3.83   3.01   2.60   3.99
199201  -6.15  -6.60  -5.94  -6.15  -6.49  -2.53
199202  -4.23  -4.25  -4.54  -6.56  -7.79  -7.64
199203 -13.81 -10.80 -11.87 -12.67 -10.18  -9.99
199204 -11.17 -11.04  -8.98  -9.45  -9.08  -0.73
199205  14.27  14.94  12.02   9.83   8.69   7.26
199206 -10.43  -7.77  -7.99  -9.81  -8.92  -7.27
199207  -9.14  -7.84  -7.42  -0.11  -3.16  -4.07
199208  13.53  11.12  10.33  22.60  15.04  12.62
199209   1.69   0.67   0.02  -3.76  -2.33  -2.37
199210  -8.09  -5.26  -6.65  -5.01  -5.61  -4.09
199211  -0.54  -0.85  -1.14   4.07   1.18   1.86
199212  -0.65   1.41   2.80  -1.34  -1.26  -0.12
199301  -2.56  -2.39  -1.69  -0.57  -0.18  -0.89
199302   6.25   5.39   7.50   4.64   5.16   3.07
199303  16.48  16.05  17.44  12.39  17.99  18.81
199304  17.48  17.20  19.89  14.18  17.78  19.39
199305  15.42  16.32  16.49   6.39   3.43   1.65
199306  -5.47  -6.85  -7.07  -1.53  -4.67  -5.28
199307   1.98   2.81   3.12   8.08   6.55   7.66
199308   2.39   2.25   1.52   1.83   2.55   3.33
199309  -4.05  -3.48  -5.24  -4.72  -5.84  -4.83
199310  -9.37  -9.32  -8.94  -1.34  -1.91  -1.39
199311 -16.94 -17.30 -18.21 -17.12 -14.14 -16.59
199312   0.36   1.99   2.72   1.32   1.92   4.58
199401  18.27  17.33  20.21  14.89  17.19  20.13
199402   4.03   4.80   6.22   2.76   3.98   5.50
199403   2.58   2.96   3.99  -3.78  -2.17  -1.16
199404   5.54   4.85   6.27   3.83   3.10   3.09
199405  -0.93  -0.26   1.09   0.61   1.23   4.14
199406   8.60   9.71  13.12   4.01   6.55   7.19
199407  -3.31  -2.86  -3.15  -3.58  -3.73  -4.91
199408  -2.37  -1.07  -2.01   0.31  -0.18   1.16
199409  -4.52  -4.56  -4.09  -3.28  -2.15  -2.52
199410   2.72   1.76   2.33   1.86   2.85   4.15
199411  -8.06  -7.57  -8.08  -5.79  -6.16  -5.95
199412   2.37   2.42   2.48   2.46   1.68   1.53
199501  -4.64  -3.90  -6.05  -5.34  -6.93  -8.35
199502  -5.85  -6.53  -5.67  -4.98  -5.34  -5.01
199503   5.55   5.41   7.20   9.33   9.02  10.14
199504   2.37   1.95   1.74   5.34   4.54   2.30
199505  -9.31  -8.81  -8.65  -5.34  -6.26  -7.34
199506  -6.18  -5.24  -4.81  -5.03  -3.65  -2.54
199507   7.79   6.72   4.61   7.19   6.13   5.48
199508   0.85   1.75  -1.62  -3.75  -2.24  -2.34
199509  -2.88  -2.70  -3.87  -0.44  -0.25  -3.34
199510  -1.73  -2.14  -2.83  -4.08  -3.90  -4.30
199511   4.70   4.71   6.11   4.83   4.15   4.32
199512   5.50   6.46   8.25   4.02   4.44   6.42
199601   1.14   2.98   1.75  -3.33  -0.35   0.13
199602  -1.15  -2.15  -1.94  -1.55  -1.31  -1.36
199603   3.09   1.66   1.74   3.32   3.10   2.73
199604  11.24  11.75  11.58   5.46   6.49   7.63
199605  -3.68  -3.97  -3.01  -4.32  -5.35  -3.73
199606  -1.02  -0.83  -0.86  -0.16   0.43   2.07
199607  -6.90  -5.77  -4.92  -4.81  -4.33  -4.73
199608  -3.42  -3.59  -4.09  -3.91  -5.09  -4.12
199609  -1.72  -1.40  -1.07   3.14   3.65   3.35
199610  -6.56  -6.39  -6.11  -7.10  -6.81  -6.65
199611  -4.07  -3.79  -3.20   0.35   1.46   2.22
199612 -11.37 -11.22 -10.27  -7.86  -6.20  -4.91
199701  -9.18  -9.62 -10.49 -12.72  -9.38  -9.24
199702  -2.30   0.19  -0.13   3.46   1.50   0.29
199703  -8.12  -7.93  -6.44  -4.07  -2.91  -2.41
199704  -1.95  -2.58  -3.59   1.98   2.35   3.25
199705  18.27  17.24  15.34  15.96  11.81  10.14
199706   2.50   2.39   3.33   7.04   5.54   4.87
199707 -11.12 -10.80 -11.54  -1.47  -4.25  -5.58
199708 -10.09 -10.54 -10.54  -9.41  -9.65  -8.41
199709 -13.82 -13.57 -13.22   0.67  -3.11  -3.87
199710   0.53  -0.10  -1.07  -9.50  -5.76  -9.63
199711 -17.57 -16.88 -17.89  -4.56  -8.73 -10.64
199712 -14.54 -15.68 -13.48  -5.10  -8.79  -9.74
199801  24.70  24.28  23.65   7.95  11.72  12.91
199802   5.70   5.04   6.23   0.41   0.91   1.90
199803  -9.93  -9.22  -8.24  -6.74  -5.84  -6.00
199804  -4.25  -3.36  -5.59  -1.16  -1.35  -3.48
199805  -5.04  -3.67  -3.97  -5.03  -3.52  -4.95
199806   1.16   0.84   0.92   0.39   0.99   1.31
199807  -1.46  -0.64  -1.55   0.06  -2.76  -3.16
199808  -6.90  -6.85  -8.86  -9.37  -7.27 -10.57
199809  -6.15  -4.66  -6.54  -2.74  -2.17  -7.16
199810  15.49  10.23  13.87  15.64  17.41  20.55
199811   3.79   5.30   6.81   3.82   2.98   4.98
199812   4.36   3.75   1.36   3.07   4.01   2.12
199901   2.29   0.82  -0.11   1.35   0.18   2.91
199902   5.92  -0.93  -1.43  -1.59  -3.84  -3.39
199903  16.65  11.07  15.07  13.61  12.61  18.39
199904   8.92   8.82  11.57   3.80   3.38   8.93
199905  -4.89  -5.36  -5.67  -4.70  -4.35  -6.31
199906  27.96  16.93  14.38  11.55   5.72  13.11
199907   4.26   6.82   7.84  11.94   9.57   9.45
199908   7.08   6.74   2.79   3.70   0.04   8.07
199909   9.30   4.03   2.27   9.50   4.35   8.74
199910   4.32   0.83  -2.18  10.85   2.55   5.93
199911   2.94  -1.30  -3.92  16.61   1.92  -5.04
199912  -3.18  -5.35  -7.31   4.63  11.00  -7.73
200001  -4.44  -1.48  -0.28  -7.71  -4.17   0.76
200002   4.20  -4.63  -2.35  -0.28  -1.27  -9.44
200003   8.48   9.51  10.35   2.63  10.31  12.81
200004 -12.43  -9.26 -11.26 -10.60  -5.94  -6.90
200005  -5.41   1.32   3.01 -11.72  -3.82  -0.03
200006   5.34   8.79  12.69   4.54   6.90   9.40
200007 -16.46 -11.32  -9.40 -12.92 -10.51 -10.99
200008   9.50   7.42   6.38   9.24   4.25   5.34
200009  -8.23  -5.73  -3.52  -6.73  -1.99   0.66
200010 -16.08 -10.99  -7.43 -10.24  -2.63  -2.96
200011  -4.73   0.40   2.07  -3.92  -2.63   0.90
200012 -11.88  -9.08  -6.60 -14.85  -4.02  -4.56
200101   3.54  -1.43  -1.31   3.60  -3.88  -3.12
200102  -1.00   0.69   1.74  -9.94  -2.57  -0.15
200103  -3.89  -3.58  -2.46  -3.40  -4.47  -3.80
200104   7.39   9.57  12.54   7.90   8.95  12.17
200105   5.26   2.87   1.41  -0.95   0.57   1.32
200106  -6.21  -3.40  -0.34  -8.74  -2.71  -1.68
200107 -12.20  -8.49  -6.13 -11.23  -6.75  -4.48
200108  -4.18   0.47   3.80  -5.41  -2.85   3.10
200109  -8.78  -8.24  -8.03  -5.91  -8.82  -7.30
200110   7.44   2.68   1.83   3.19  -0.03  -0.27
200111  -7.48  -3.63  -5.83   1.33  -1.17  -6.72
200112 -13.10 -10.42 -10.44  -8.40  -6.62  -7.79
200201  -5.05  -5.96  -5.13  -9.47  -6.17  -6.32
200202   3.08   7.27   7.34   5.18   4.14   7.06
200203   8.03   4.82   2.97   7.67   5.32   1.56
200204   7.24   6.54   5.21   4.84   5.98   4.36
200205   9.08   9.27   9.65   5.81   6.81  10.72
200206  -2.59  -2.69  -2.38  -5.59  -4.24  -2.58
200207  -4.02  -1.44  -1.43  -7.71  -6.11  -3.92
200208  -5.37  -1.87  -0.89  -1.11  -1.08  -1.98
200209  -8.03  -3.74  -3.41  -7.94  -2.43  -4.63
200210 -10.42  -8.91  -6.72  -4.19  -8.33  -5.37
