This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Japan.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011 ,-21.87 ,-18.03 ,-15.76 ,-11.50 ,-14.07 ,-14.61
199012  ,-1.68  ,-3.17  ,-5.71   ,6.86   ,2.29  ,-5.20
199101  ,-6.40  ,-4.72  ,-4.69   ,1.99   ,3.28   ,1.19
199102  ,30.92  ,20.38  ,14.41  ,21.13  ,10.94   ,7.19
199103  ,-0.14   ,1.11   ,1.38  ,-4.98  ,-4.13  ,-3.60
199104   ,4.80   ,4.77   ,5.97   ,2.21   ,1.98   ,3.20
199105  ,-3.81  ,-1.96  ,-1.18  ,-2.62  ,-1.33  ,-0.71
199106  ,-5.02  ,-4.11  ,-2.14  ,-8.43  ,-7.43  ,-5.14
199107  ,-1.81  ,-1.98  ,-2.84   ,1.07   ,2.12   ,3.23
199108 ,-11.69 ,-10.64  ,-9.50 ,-10.24  ,-7.56  ,-3.45
199109  ,10.14  ,10.66   ,9.76  ,12.52  ,10.05   ,6.77
199110   ,4.38   ,5.61   ,3.91   ,3.31   ,3.07   ,6.43
199111  ,-9.89  ,-9.07 ,-10.33 ,-10.87  ,-8.94  ,-5.93
199112   ,2.02   ,2.97   ,2.92   ,3.02   ,4.26   ,1.59
199201  ,-6.47  ,-5.24  ,-5.27  ,-3.14  ,-5.36  ,-6.93
199202  ,-3.47  ,-3.87  ,-4.08  ,-7.75  ,-7.49  ,-5.94
199203 ,-12.41 ,-11.01 ,-10.89 ,-11.34 ,-11.12 ,-10.47
199204  ,-8.69  ,-9.95  ,-9.71  ,-5.77  ,-8.45  ,-6.50
199205  ,12.96  ,12.78  ,11.53   ,8.16   ,8.91   ,8.52
199206  ,-9.88  ,-7.91  ,-5.33 ,-12.74  ,-8.93  ,-5.16
199207  ,-9.28  ,-6.13  ,-9.13   ,0.66  ,-2.33  ,-4.82
