
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  24.18  25.50  22.32  25.41  24.40  26.07  22.61  25.15  26.42  22.38
197502   8.40   8.64   5.27   9.02   4.17   8.88   5.01   9.40   4.23  12.63
197503  -1.47  -1.86   1.42  -2.11   0.73  -1.88   0.93  -2.15   0.91   2.27
197504   2.07   1.72   3.41   1.41   2.02   1.65   1.43   1.36   3.49   5.28
197505  -4.53  -4.28  -6.61  -4.11  -5.35  -4.27  -4.98  -4.16  -4.84  -3.91
197506   1.84   4.39  -2.61   3.45  -2.84   5.30  -3.69   3.54  -1.96  -3.90
197507  -6.49  -6.56  -6.39  -6.61  -5.78  -6.64  -5.51  -6.71  -5.70  -0.06
197508  -0.68   0.30  -2.94   0.05  -3.94   0.26  -4.16  -0.09  -3.71  -6.09
197509  -9.06  -8.85 -12.91  -7.95 -14.51  -8.95 -13.80  -8.40 -11.38 -18.50
197510   8.70   9.07  10.28   8.31  11.88   9.04  11.73   8.63   9.66   8.42
197511   6.93   6.51   5.55   7.26   8.01   6.32   6.65   7.15   7.32  22.06
197512   5.24   7.57   2.42   6.32   1.18   7.66   2.23   6.05   3.01  -0.79
197601   7.29  12.70   3.74   6.23  10.15   4.30   4.30   6.33   5.33  11.28
197602  -1.66  -0.20  -1.04  -3.49  -0.31   4.57  -0.77  -3.52  -2.35   2.96
197603   3.67   0.43   0.09   7.15   1.78  -2.86   1.33   7.33  -0.13  -3.98
197604   0.10  -2.76   0.52   1.27  -1.15  -0.74   1.32   1.28   2.79  -2.73
197605  -3.72  -9.15  -8.29   0.72  -8.53  -7.84  -7.53   0.64  -9.18  -7.27
197606  -2.09  -2.08  -0.92  -2.96   0.00  -3.45   0.10  -2.89  -0.13  -3.77
197607   0.21  -1.73   2.12   0.62  -0.99   5.89   0.15   0.43   1.56  -1.23
197608  -1.57  -0.93  -2.94  -1.08  -1.56  -1.52  -3.85  -1.22  -7.92  -5.54
197609  -1.21  -6.04  -2.19   0.43  -2.17  -4.44  -0.71   0.35  -1.37  -7.56
197610  -1.36  -3.86   2.61  -1.77  -0.38   1.91   0.22  -1.74   5.46 -11.37
197611   3.62   0.98   3.48   4.16   2.80  -0.47   5.23   4.18   5.19   2.52
197612   6.21   2.95   4.43   8.61   2.49   3.94   2.00   8.42  -5.41  -2.60
197701  -0.62  -1.43   0.03   0.74  -6.25   0.96   0.38   0.86  -8.16   1.81
197702   2.66   2.23   2.48   2.50   2.19   1.93   2.86   2.71   2.91   2.40
197703   1.92   3.57   1.07   0.47   9.35   3.00   1.05   0.73   6.41   3.20
197704   9.22  14.31   8.49   8.58   4.58  10.88   8.73   8.96   3.39  11.84
197705  -5.74  -8.72  -5.17  -4.74  -4.26  -7.75  -5.45  -5.17  -6.33  -9.39
197706   0.27  -2.89   0.90   2.10  -1.45  -1.82   0.75   1.14  -1.58  -3.50
197707   1.25   3.17   0.58   0.43   2.46   5.10   0.02   0.21   0.09   3.76
197708  -4.85  -8.71  -4.27  -4.74  -1.17 -11.52  -4.71  -4.58  -3.02 -12.92
197709   1.91  -3.51   3.36   4.28  -4.54  -2.14   3.53   4.01  -3.82  -6.82
197710   0.89   1.63   0.24  -0.43   4.24   1.25  -0.08  -0.31   6.09   3.47
197711   1.63   2.84   1.00   1.27   3.95  -4.02   1.11   0.91   3.47  -3.68
197712   1.62   2.58   0.99  -0.08   0.24   4.73   0.30   0.04   7.40   3.95
197801   0.65   0.66   0.89   0.69  -0.48   2.36   0.94   0.52   3.26   2.57
197802   2.45   1.78   2.78   2.29   1.98   1.52   4.18   1.83   4.95   0.59
197803   3.10   3.26   3.52   4.47   1.31   3.75  -1.26   3.51   1.08   8.53
197804  -2.28   2.35  -2.84  -2.43  -3.06   1.98  -3.27  -2.80  -2.92   6.60
197805   0.95  18.15  -1.25  -1.25   5.43  19.39  -1.31  -2.07   4.71  24.19
197806   1.24  -4.78   2.79   3.10  -2.57  -8.56   3.84   4.16  -3.90 -11.87
197807   2.82   6.64   2.97   3.18   0.91   5.74   1.88   3.18   2.43   7.19
197808   7.36  10.33   5.65   4.97  12.70   9.40   8.56   5.01   9.64   8.55
197809  -0.24  -4.36   0.70   0.48  -2.87  -1.91  -0.59   0.64   0.00  -2.18
197810   2.82  -0.52   3.34   3.45   0.83  -3.31   2.58   3.08   3.60  -7.86
197811  -8.56  -9.46  -8.19  -8.32 -10.78  -9.72  -8.36  -8.09  -9.48  -7.83
197812   4.35  10.68   3.30   2.59   6.78   7.46   6.62   3.38   7.72   5.10
197901   2.99  -1.31   4.04   1.96  -1.34   0.08   4.41   3.86   0.54   1.15
197902  -2.04  -3.59  -1.14  -4.24  -4.38  -7.14  -0.52  -1.02  -3.86  -2.40
197903   3.69   2.90   4.34   0.56   3.79  -0.88   4.89   5.10   1.21  -1.65
197904  -0.20   2.12  -0.55  -0.44   1.72  -3.13  -0.56  -0.24  -1.80   0.84
197905  -4.98  -9.31  -3.71  -7.68  -9.58  -8.65  -2.70  -3.76  -7.70  -6.65
197906   6.05   5.84   6.25   3.47   4.70   7.27   7.53   7.33   2.57   8.28
197907   0.45  -0.67   0.16   2.15  -0.35   3.28  -0.45  -0.34   1.26  -1.04
197908   3.97   2.85   4.24   5.12   0.39   4.45   3.90   3.62   3.08   7.13
197909   4.82   1.42   5.89   2.34   2.87  -1.70   5.84   5.32   6.87  -1.02
197910  -6.86  -8.49  -6.32  -6.46  -8.01 -11.21  -6.46  -6.71  -7.37  -8.64
197911   1.04  -2.47   1.73  -0.17  -2.23   0.84   1.85   1.74  -0.47  -3.07
197912   1.12  -0.02   1.06   3.72   0.19   5.69   0.13   0.36   3.14  -0.15
198001   1.36  -2.78   2.33   3.66  -0.55  -1.50  -0.29  -3.71  -1.98   1.09
198002  -2.25  -8.23  -0.57   1.40  -8.89  -9.25  -6.68 -10.13  -8.50  -5.02
198003 -16.01 -16.32 -16.18 -16.93 -13.57 -14.88 -12.90 -15.57 -14.19 -18.54
198004  12.90  16.43  11.89   9.62  19.09  17.45  16.73  17.13  18.92   8.05
198005   3.23   0.14   4.08   5.22   2.84   3.13  -1.07  -0.79   3.88   4.86
198006   4.05  -1.73   5.87   5.80  -1.77  -3.71   2.98  -3.62   1.31  -3.74
198007   3.00   6.95   1.97   1.17   7.84   5.60   5.12   9.13   6.15   8.35
198008  -1.43  -3.37  -1.03  -0.63  -4.54  -3.59  -3.84  -9.38  -4.37  33.44
198009  -0.44  -6.07   1.17   0.79  -3.82 -12.62  -1.54  -7.89  -5.12  -7.96
198010   3.77  -6.67   5.52   8.73  -1.39  -9.11  -3.97  -4.29  -7.05  -9.25
198011   3.64  -5.89   5.17   6.31   0.18  -5.09   1.44  -7.85  -0.78   0.35
198012  -6.28  -4.56  -6.66  -7.63  -2.66  -6.31  -4.48  -5.30  -1.74  -3.25
198101  -6.10   2.94  -7.12 -12.64   0.19  -4.97  -6.22  -2.23  -6.75   1.17
198102  -0.90   8.43  -1.91   1.38   4.21  10.15  -2.46   5.70  -2.81  10.33
198103  -4.76   5.13  -6.39   3.17   1.94  15.29  -7.45   0.78  -8.98   9.52
198104  -4.10   6.63  -6.03  -2.17   0.52   5.48  -6.33   4.13  -7.03   8.41
198105  -8.51  -5.81  -9.03 -13.32  -6.61  -5.50  -8.13  -7.20  -9.06  -2.08
198106  -0.56   5.83  -1.36   6.99   4.24   2.04  -3.52   4.96  -3.12  -1.55
198107  -1.74  -3.32  -0.81  -6.69  -7.18  -6.77   1.05  -4.63   1.38 -12.57
198108   0.81  -3.87   1.69   2.43  -0.55   0.12   0.91  -1.74  -0.12  -0.83
198109  -9.58 -10.23  -9.66  -1.71  -6.61  -8.94 -12.15  -6.61 -12.32 -12.68
198110   9.24   3.39  10.70   1.19   4.03   6.61  13.17   1.96  13.83   6.48
198111   9.98   8.95  10.67   8.06   6.80   8.29  11.48   7.23  11.07   3.57
198112  -3.75  -2.79  -3.90  -2.79  -2.37  -3.14  -3.87  -3.63  -4.08   1.05
198201  -4.07   0.18  -5.00  -5.82  -4.58   1.91  -4.44  -2.02  -0.96   5.78
198202 -10.59  -8.06 -11.54  -9.35 -11.96  -6.43 -12.95  -7.34  -3.52   2.22
198203   8.15  -0.55   9.08   3.57   9.79   3.88  10.82   5.09   0.23   3.23
198204   8.21  10.48   8.49   9.41   8.21   2.72   8.38   5.25   9.06   2.08
198205   0.26  -3.57   1.12  -2.00   1.38  -5.31   1.34  -2.98   1.13  -8.19
198206 -10.83 -11.48 -10.92 -10.99 -10.97 -11.68 -11.75 -13.32  -5.50 -11.12
198207  -0.85  -4.40  -0.97  -7.76   0.19  -3.25   0.61  -6.24   1.15  -0.44
198208  -0.04  -3.75   0.28  -8.24   1.55  -5.32   1.55  -2.28  -1.09   1.46
198209  -1.13  -0.31  -1.14  -2.43  -1.03   0.79  -0.45  -2.44  -2.41  -0.07
198210   5.32   5.82   5.39   8.33   5.10   7.29   5.41   2.95   6.43   0.64
198211   0.34  -2.27  -0.52  10.94  -2.50   3.99  -4.45   9.38   9.15  18.39
198212  11.17   2.18  11.48   8.21  11.82   6.19  11.88   9.07  11.09  12.92
198301   0.94   4.16   2.58  -6.70  14.42   0.41  -1.12  -3.90   5.54  11.18
198302   3.88  13.08   3.31   9.65   7.07  12.44   1.63   9.39   1.37   6.83
198303  14.32   9.64   9.30  13.95  17.47   4.79  13.49   9.24  14.16  11.15
198304   1.90  -9.59  -3.97  -3.21   0.31 -10.15   4.80  -3.00  -4.64  -8.84
198305  -2.99   6.52  -4.64  -7.28  -1.66  -0.33  -3.44  -6.66  -5.46   6.40
198306   9.00   9.60   7.11   9.36  10.81   6.17   8.65   9.10   8.55  10.61
198307  -1.04  -0.88  -1.20  -0.78  -2.44  -0.05  -0.68  -1.18  -0.81  -3.04
198308  -1.31  -5.98  -2.02  -7.37  -5.51  -5.06   1.36  -5.26   0.50  -8.14
198309   2.81   5.75  10.28   5.73   2.69   2.85   0.97   5.96   9.54   3.76
198310  -4.60  -1.76  -2.49  -6.78  -2.97  -0.93  -5.30  -4.58  -2.90   0.34
198311   2.73   6.89   4.82   1.82  -2.00   3.58   2.82   3.37   5.86   9.57
198312   2.36   8.77   2.49   2.65   1.51  10.18   1.62   2.32   3.10  12.71
198401  11.74  14.93  10.68  13.99   5.97  17.91   6.98  13.27  11.64  16.76
198402   0.06  -2.80  -3.17   1.45   0.68  -4.69  -3.21   1.62  -3.71  -9.12
198403   1.48   0.27   1.04   0.67   4.81  -0.10   2.87   0.81  -2.23   0.16
198404  -4.06  -7.82  -5.90  -2.83  -6.20  -5.89  -5.72  -2.55  -8.38  -8.43
198405  -6.00  -7.54  -7.58  -5.15  -6.88  -5.75  -9.22  -4.86  -8.20  -8.08
198406  -0.19  -2.94   3.98  -3.35   4.85  -2.35   3.84  -3.32   1.20   1.07
198407  -9.61  -9.13  -5.61 -12.01  -7.81  -9.41  -5.11 -11.73  -7.07  -6.17
198408  14.42   6.63   9.92  17.60  13.08  12.47  10.51  17.77  12.56  12.47
198409   3.42   1.05   0.51   5.20   0.44   0.63   0.71   4.81  -1.79   2.59
198410  -0.90   4.02   3.79  -5.49   6.30   7.38   2.74  -5.68   4.61  10.64
