This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     RMW     CMA      RF
199007   -1.60   -2.73   -0.75    0.17    2.23    0.68
199008   -9.66   -2.98    0.96   -1.35    3.13    0.66
199009   -6.10   -2.95    0.33    1.44    4.02    0.60
199010   -2.06   -4.32   -1.37    4.22    0.87    0.68
199011    5.93    0.04   -1.79   -0.05   -4.50    0.57
199012    2.51    1.45   -1.09    1.17   -2.64    0.60
199101    4.27    2.69   -0.05    1.19   -4.59    0.52
199102    7.18    4.13   -0.84   -1.70   -0.10    0.48
199103    2.44    3.86   -3.00   -0.01   -1.68    0.44
199104   -0.17    0.06    1.25   -0.10   -0.10    0.53
199105    3.59    0.07   -0.01   -0.13   -2.06    0.47
199106   -4.71    0.90    0.57    1.48    0.97    0.42
199107    3.99   -0.89   -2.54    2.01   -1.46    0.49
199108    2.17    0.99   -1.66    1.12   -1.05    0.46
199109   -1.70    1.69   -0.77   -0.08   -0.02    0.46
199110    1.45    1.04   -0.26   -1.35   -0.65    0.42
199111   -4.16   -0.56   -2.18    1.92   -0.37    0.39
199112   10.03   -3.16   -5.33    3.50   -4.47    0.38
199201   -0.68    8.61    3.84   -1.96    2.59    0.34
199202    1.00    1.46    4.83   -1.16    1.67    0.28
199203   -2.74   -0.95    4.23   -0.76    2.04    0.34
199204    1.12   -5.29    3.40    0.29    3.33    0.32
199205    0.32   -0.25    0.95   -1.76    1.12    0.28
199206   -2.16   -2.38    2.87   -0.97    0.91    0.32
199207    3.66   -0.89   -0.79    1.49   -0.28    0.31
199208   -2.32   -0.21   -0.24    3.36   -0.20    0.26
199209    0.72    0.45   -0.96    1.43   -0.77    0.26
199210    0.97    2.10   -3.12    2.21   -1.93    0.23
199211    3.51    3.41   -2.89    0.21   -2.74    0.23
199212    1.55    1.66    2.07   -0.63    1.38    0.28
199301    0.75    2.40    5.17   -2.39    2.50    0.23
199302    0.45   -2.81    7.22   -2.37    4.67    0.22
199303    2.34    0.72    1.98   -1.50    2.03    0.25
199304   -2.60   -0.31    2.99   -2.94    2.12    0.24
199305    2.81    1.75   -2.80    0.33   -1.31    0.22
199306    0.27    0.73    1.99   -0.95    1.13    0.25
199307   -0.37    1.11    2.55   -1.58    1.79    0.24
199308    3.58    0.57    0.17    0.00   -0.06    0.25
199309   -0.36    2.62    0.34    0.19   -0.09    0.26
199310    1.70    1.85   -2.98    1.16    0.62    0.22
199311   -1.86   -1.44   -0.59    0.83   -0.97    0.25
199312    1.68    1.06    1.02   -0.08   -0.20    0.23
199401    2.93   -0.15    1.87   -1.74    1.38    0.25
199402   -2.62    1.99   -0.72    1.27   -1.05    0.21
199403   -4.64   -0.78    1.76   -0.65    1.47    0.27
199404    0.61   -0.99    1.68    0.32    1.50    0.27
199405    0.74   -2.27    1.23   -1.16    0.33    0.32
199406   -3.15   -0.54    2.18    0.40    1.89    0.31
199407    2.82   -1.76    0.49   -0.30    0.10    0.28
199408    4.02    0.45   -2.57    0.89   -1.50    0.37
199409   -2.07    2.75   -1.07    0.10    0.48    0.37
199410    1.17   -1.78   -1.52    1.26   -0.73    0.38
199411   -4.09   -0.11   -1.16    0.84    0.02    0.37
199412    0.89   -0.33   -0.23    0.60    0.45    0.44
199501    1.39   -1.98    1.51    1.11    0.36    0.42
199502    3.63   -0.63    0.63    0.30   -0.89    0.40
199503    2.25   -0.49   -1.60   -0.57   -0.28    0.46
199504    2.13   -0.11    1.46   -0.59    1.47    0.45
199505    2.94   -1.77    1.20    0.02    0.51    0.54
199506    2.50    3.03   -2.90    0.41   -2.92    0.47
199507    3.60    2.14   -2.39    0.57   -2.36    0.45
199508    0.49    1.56    2.17   -1.82    1.75    0.47
199509    3.19   -1.42   -0.92    0.76    0.93    0.43
199510   -1.58   -4.11   -0.51    1.89    0.14    0.47
199511    3.93   -0.57    0.01   -1.63    1.14    0.42
199512    1.01    0.51   -0.52   -0.35    3.08    0.49
199601    2.45   -2.46    0.00    0.10    2.02    0.43
199602    1.25    1.90   -1.92    0.09   -1.86    0.39
199603    0.83    1.40    0.85    0.78   -0.79    0.39
199604    1.99    4.90   -3.07    0.49   -2.48    0.46
199605    2.14    3.11   -1.33    0.38   -0.58    0.42
199606   -1.03   -3.89    2.00    2.65    1.75    0.40
199607   -5.80   -3.64    5.60    1.47    3.43    0.45
199608    2.87    2.43   -0.38   -0.89   -2.06    0.41
199609    4.87   -1.84   -2.61    0.90   -2.68    0.44
199610    1.31   -2.61    5.33    0.50    3.17    0.42
199611    6.31   -4.04    2.34    1.22   -0.24    0.41
199612   -1.68    3.19    0.59   -0.02    1.39    0.46
199701    4.97   -1.58   -1.54    1.23   -1.23    0.45
199702   -0.36   -2.61    5.03   -0.50    5.15    0.39
199703   -4.90   -0.63    3.87    0.71    2.64    0.43
199704    3.90   -6.22   -0.14    3.33   -1.12    0.43
199705    6.63    4.59   -3.62    0.08   -3.80    0.49
199706    3.88    0.94    1.12    0.68    0.48    0.37
199707    7.29   -2.82   -0.30   -0.05   -2.51    0.43
199708   -4.07    7.41    0.25   -0.67   -1.16    0.41
199709    5.45    2.58    0.08   -1.66   -1.29    0.44
199710   -3.76   -0.70    2.64    0.97    1.91    0.42
199711    2.53   -5.78    0.90    2.92    3.40    0.39
199712    1.40   -1.81    3.43   -0.10    2.24    0.48
199801   -0.02   -1.56   -1.97    1.30   -0.64    0.43
199802    7.01   -0.24   -0.71   -0.60   -2.72    0.39
199803    4.84   -0.72    1.25   -0.85   -0.15    0.39
199804    0.83    0.09    0.36   -1.90   -0.16    0.43
199805   -2.84   -2.78    2.91    1.08    2.63    0.40
199806    2.88   -3.84   -2.38   -0.08   -3.42    0.41
199807   -2.76   -5.15   -1.76    1.58    1.32    0.40
199808  -16.32   -4.32    1.86    4.18    6.90    0.43
199809    5.98   -0.46   -3.50   -1.43   -2.42    0.46
199810    7.05   -3.29   -1.35    1.02    0.06    0.32
199811    5.82    0.32   -4.13    0.04   -0.71    0.31
199812    5.95   -1.34   -4.88    0.77   -4.38    0.38
199901    3.35   -1.83   -4.45   -1.89   -5.94    0.35
199902   -4.16   -4.31    1.89   -1.77    4.52    0.35
199903    3.34   -3.48   -2.30   -1.71   -2.80    0.43
199904    4.34    4.10    3.35   -2.04    0.06    0.37
199905   -2.12    3.49    1.55    0.68    2.57    0.34
199906    4.71    1.43   -3.47    0.73   -3.00    0.40
199907   -3.37    2.07    1.24    1.23    1.81    0.38
199908   -1.37   -1.54   -2.19    0.48    0.11    0.39
199909   -2.69    3.03   -4.19   -0.91   -1.92    0.39
199910    5.63   -6.85   -3.02   -2.28   -0.63    0.39
199911    2.84    4.36   -8.35   -1.70   -4.57    0.36
199912    7.11    3.49   -8.72   -5.77   -6.61    0.44
200001   -4.28    2.70    0.06   -6.02    4.00    0.41
200002    1.64   16.70  -14.07  -15.45   -4.50    0.43
200003    6.83  -13.87    9.64   11.02   -0.22    0.47
200004   -4.86   -3.18    7.19    6.42    7.82    0.46
200005   -3.55   -2.18    5.25    3.09    2.77    0.50
200006    3.66    7.31  -10.34   -5.29   -5.35    0.40
200007   -2.24   -1.51    9.29    5.59    4.74    0.48
200008    7.12   -0.45   -1.77   -4.30   -0.50    0.50
200009   -5.36    0.85    9.58    3.69    8.85    0.51
200010   -2.89   -3.42    7.02    9.83    8.17    0.56
200011  -10.31   -0.71   16.01   13.94   14.39    0.51
200012    1.50    4.87   10.96    0.68    8.12    0.50
200101    3.25    3.42   -8.68   -6.11  -10.78    0.54
200102   -9.77    2.30   17.58    9.92   13.11    0.38
200103   -7.32    1.50   10.49    4.01    8.26    0.42
200104    7.66   -0.05   -8.31   -3.86   -6.47    0.39
200105    0.84    3.53    1.92   -0.46    1.73    0.32
200106   -1.95    4.68    0.20    0.85   -2.05    0.28
200107   -2.17   -3.28    3.15    7.17    5.93    0.30
200108   -6.30    2.14    3.92    3.63    8.18    0.31
200109   -9.37   -5.46    1.66    3.78    5.92    0.28
200110    2.41    5.44   -7.06   -1.23   -6.50    0.22
200111    7.74   -0.04   -0.80   -2.69   -3.84    0.17
200112    1.67    5.28    1.57    0.55    1.02    0.15
200201   -1.61    0.74    3.24    4.90    3.80    0.14
200202   -2.23   -0.62    5.03    7.10    7.46    0.13
200203    4.26    3.83    1.03   -0.66    0.03    0.13
200204   -5.22    5.80    7.51    3.56    6.91    0.15
200205   -1.15   -2.48    2.90    1.23    4.54    0.14
200206   -7.31    2.31    2.35    3.70    2.98    0.13
200207   -8.36   -5.47   -3.25    3.32   -0.76    0.15
200208    0.59   -0.51    1.30    1.25   -1.18    0.14
200209  -10.12    3.16    0.74    2.41   -1.74    0.14
200210    7.55   -4.02   -6.37   -3.07    0.01    0.14
200211    5.89    2.07   -1.37   -7.35    4.09    0.12
200212   -5.48    0.84    4.30    5.01   -1.71    0.11
200301   -2.47    0.80   -0.44   -1.34    0.37    0.10
200302   -1.69   -0.91    0.07    0.92   -1.11    0.09
200303    0.83    0.18   -1.92    1.25   -0.26    0.10
200304    8.13    1.01   -0.27   -3.76    0.53    0.10
200305    6.32    4.24    0.60   -4.17    1.29    0.09
200306    1.51    1.33    0.07    0.78   -0.82    0.10
200307    2.15    3.92   -0.99   -4.06    1.04    0.07
200308    2.50    2.63    1.39   -2.35    1.92    0.07
200309   -1.07    0.49    0.07    1.06   -0.14    0.08
200310    6.04    2.74    3.26   -1.61    2.01    0.07
200311    1.48    2.35    0.84   -0.36    1.10    0.07
200312    4.52   -2.37    1.74   -0.39    0.98    0.08
200401    2.09    1.73    1.34   -3.17    1.98    0.07
200402    1.51   -0.14    0.90    1.68   -1.10    0.06
200403   -1.18    2.42    0.40    1.39   -0.79    0.09
200404   -2.19   -1.99   -2.83    4.03   -1.49    0.08
200405    1.26   -0.19    0.52   -1.66    0.33    0.06
200406    2.04    1.91    1.30    0.60    0.18    0.08
200407   -3.81   -2.52    3.99    3.57   -0.42    0.10
200408    0.04   -1.14    1.48    0.62   -0.52    0.11
200409    2.08    3.81    0.02   -0.50   -1.58    0.11
200410    1.66    0.56    0.06    0.26    1.10    0.11
200411    4.63    4.31    1.14    0.27   -0.65    0.15
200412    3.31   -0.30   -0.24   -0.39    0.52    0.16
200501   -2.66   -0.65    1.79    3.18   -0.41    0.16
200502    2.19    0.38    1.75    1.94    0.30    0.16
200503   -1.69   -1.33    1.58    1.31    1.23    0.21
200504   -2.88   -3.94   -0.21    0.80   -0.72    0.21
200505    3.49    2.25   -0.87   -0.71   -0.33    0.24
200506    0.92    3.27    2.49    1.23   -0.34    0.23
200507    4.03    2.64   -1.36    0.32   -1.04    0.24
200508   -0.71   -0.22    1.49   -0.23   -0.12    0.30
200509    0.91    0.21    1.38    0.91   -1.48    0.29
200510   -2.52   -1.94   -0.40   -1.84   -0.21    0.27
200511    3.88    1.08   -0.81   -0.48   -0.96    0.31
