This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007  ,-3.95  ,-3.09  ,-3.42  ,-0.68   ,0.50  ,-2.72
199008 ,-13.27 ,-11.87 ,-10.18  ,-8.39  ,-8.58  ,-9.56
199009 ,-10.01  ,-7.60  ,-7.70  ,-5.35  ,-4.02  ,-7.00
199010  ,-5.76  ,-4.99  ,-5.87   ,0.37  ,-1.18  ,-2.24
199011   ,9.40   ,6.22   ,5.08   ,6.41   ,6.34   ,7.16
199012   ,5.26   ,4.23   ,3.77   ,3.28   ,2.94   ,2.60
199101   ,8.72   ,6.65   ,6.85   ,5.19   ,2.88   ,6.95
199102  ,12.33  ,10.85  ,11.45   ,8.30   ,6.11   ,7.50
199103   ,8.19   ,5.68   ,5.71   ,4.05   ,1.97   ,0.54
199104  ,-0.79   ,0.81   ,1.08  ,-0.06   ,0.73   ,0.56
199105   ,5.15   ,4.67   ,3.31   ,4.12   ,3.27   ,5.94
199106  ,-4.45  ,-3.39  ,-3.20  ,-4.56  ,-4.06  ,-4.68
199107   ,5.23   ,3.32   ,2.60   ,6.23   ,3.48   ,3.78
199108   ,4.45   ,3.34   ,3.02   ,3.73   ,1.73   ,1.83
199109   ,0.98   ,0.66  ,-0.74  ,-2.12  ,-0.59  ,-1.93
199110   ,3.47   ,2.70   ,2.67   ,2.28   ,1.15   ,2.54
199111  ,-3.71  ,-4.49  ,-4.74  ,-2.03  ,-4.49  ,-5.36
199112  ,10.59   ,6.06   ,5.73  ,14.43   ,8.28   ,8.63
199201   ,7.76   ,6.28   ,9.36  ,-2.72  ,-1.74   ,3.35
199202   ,0.44   ,2.21   ,5.18  ,-0.12   ,0.75   ,4.79
199203  ,-7.74  ,-2.72  ,-0.81  ,-3.28  ,-1.49  ,-1.74
199204  ,-5.80  ,-3.20  ,-1.76  ,-0.01   ,3.81   ,2.76
199205  ,-1.17   ,0.01   ,1.84   ,0.97   ,0.64  ,-0.14
199206  ,-6.07  ,-3.76  ,-2.81  ,-2.74  ,-1.09  ,-0.25
199207   ,2.50   ,2.61   ,3.32   ,4.19   ,5.18   ,1.79
199208  ,-4.63  ,-1.97  ,-1.73  ,-1.06  ,-1.69  ,-4.43
199209   ,1.20   ,1.72   ,0.67   ,1.19   ,1.27  ,-0.20
199210   ,5.08   ,3.03   ,1.11   ,2.06   ,0.33  ,-0.22
199211   ,9.94   ,6.54   ,4.76   ,4.59   ,1.78   ,4.00
199212   ,2.05   ,3.00   ,4.84   ,0.48   ,2.85   ,1.83
199301   ,0.67   ,3.12   ,5.87  ,-1.43   ,1.34   ,3.70
199302  ,-6.92  ,-1.70   ,2.02  ,-2.58   ,3.87   ,2.93
199303   ,2.22   ,2.78   ,4.53   ,1.55   ,2.99   ,3.20
199304  ,-3.43  ,-2.99  ,-1.26  ,-4.82  ,-0.75  ,-1.01
199305   ,6.71   ,3.78   ,3.57   ,4.13   ,2.16   ,1.67
199306   ,0.94   ,1.15   ,1.46  ,-1.13   ,0.97   ,2.32
199307  ,-0.14   ,0.42   ,1.82  ,-2.38   ,1.03   ,0.75
199308   ,3.71   ,4.66   ,4.16   ,3.73   ,3.74   ,3.61
199309   ,2.70   ,1.82   ,2.13  ,-0.94  ,-0.31   ,0.31
199310   ,4.92   ,2.68   ,2.87   ,4.00   ,0.58   ,0.09
199311  ,-3.35  ,-2.58  ,-2.63   ,0.00  ,-2.43  ,-1.89
199312   ,2.43   ,3.31   ,2.86   ,1.08   ,2.11   ,2.69
199401   ,2.32   ,2.83   ,4.10   ,1.96   ,3.99   ,3.92
199402  ,-1.43   ,0.25  ,-1.06  ,-2.04  ,-2.39  ,-3.85
199403  ,-6.49  ,-4.98  ,-3.82  ,-4.86  ,-3.93  ,-4.00
199404  ,-1.72   ,0.48   ,0.95   ,0.61   ,1.28   ,1.30
199405  ,-1.90  ,-1.62   ,0.31   ,1.24   ,1.03   ,1.49
199406  ,-5.77  ,-3.14  ,-1.98  ,-3.27  ,-2.32  ,-2.69
199407   ,1.38   ,1.36   ,1.78   ,2.72   ,3.76   ,3.30
199408   ,7.06   ,4.49   ,3.29   ,5.66   ,3.24   ,4.29
199409   ,0.26   ,0.86   ,0.63  ,-0.65  ,-2.91  ,-3.16
199410   ,0.75  ,-0.29  ,-0.81   ,1.97   ,2.23   ,0.49
199411  ,-3.66  ,-3.97  ,-4.07  ,-2.60  ,-4.26  ,-4.50
199412   ,0.32   ,1.81   ,0.58   ,1.81   ,0.99   ,1.10
199501  ,-1.09   ,0.02   ,0.73   ,1.96   ,1.68   ,3.16
199502   ,3.20   ,3.40   ,3.64   ,3.73   ,4.06   ,4.55
199503   ,3.26   ,2.26   ,1.72   ,2.98   ,3.36   ,1.31
199504   ,1.21   ,2.93   ,3.32   ,2.33   ,2.68   ,3.14
199505   ,1.73   ,1.79   ,2.58   ,3.49   ,3.23   ,5.05
199506   ,8.17   ,5.14   ,4.33   ,3.74   ,1.91   ,1.77
199507   ,8.99   ,4.61   ,4.58   ,3.54   ,4.37   ,3.16
199508   ,1.69   ,2.35   ,3.40   ,0.16   ,0.39   ,2.79
199509   ,3.09   ,1.69   ,2.29   ,4.93   ,2.69   ,3.89
199510  ,-5.25  ,-5.62  ,-4.04  ,-0.03  ,-0.36  ,-2.26
199511   ,3.91   ,3.46   ,4.22   ,4.91   ,3.70   ,4.62
199512   ,2.60   ,2.39   ,1.09   ,0.94   ,2.16   ,1.41
199601   ,0.39   ,0.41   ,0.93   ,3.46   ,2.84   ,2.91
199602   ,5.69   ,2.91   ,2.24   ,1.38   ,1.90   ,0.99
199603   ,2.15   ,2.37   ,2.82   ,0.39   ,1.68   ,1.42
199604   ,9.33   ,6.40   ,5.03   ,2.01   ,2.67   ,0.16
199605   ,6.46   ,4.71   ,5.44   ,3.70   ,1.05   ,2.05
199606  ,-7.26  ,-3.94  ,-2.83   ,0.20  ,-0.64  ,-0.24
199607 ,-13.95  ,-8.40  ,-4.99  ,-5.81  ,-4.49  ,-3.55
199608   ,7.02   ,5.38   ,4.54   ,2.01   ,3.89   ,3.72
199609   ,5.01   ,2.81   ,3.13   ,7.16   ,4.14   ,3.82
199610  ,-4.36  ,-0.11   ,2.01   ,0.83   ,2.45   ,5.12
