This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007  -3.13  -2.88  -4.24   0.86  -0.58  -2.50
199008 -10.37 -10.28 -13.54  -6.88  -9.33  -9.97
199009  -7.50  -7.23  -9.79  -2.84  -4.94  -8.60
199010  -6.00  -4.74  -5.85  -1.08   0.36  -2.98
199011   4.20   5.86   8.79   5.11   6.09   9.53
199012   3.27   4.07   5.48   1.90   2.84   4.98
199101   6.60   6.36   8.59   1.57   4.60   8.76
199102  12.78   9.79  11.97   7.05   7.09   8.06
199103   5.65   4.88   7.36   1.88   2.46   3.52
199104  -0.21   1.30   0.47   0.76   0.14   0.28
199105   4.26   3.43   4.74   2.04   4.70   5.68
199106  -4.15  -2.23  -4.33  -3.41  -4.58  -5.16
199107   3.13   2.45   4.50   4.02   4.28   5.57
199108   2.87   3.07   3.92   2.72   1.75   3.77
199109  -0.59  -0.17   0.96  -0.70  -1.24  -2.22
199110   2.42   2.55   4.03   2.08   1.47   1.77
199111  -4.47  -3.43  -5.15  -3.83  -4.48  -2.40
199112   6.17   6.47   8.83   8.76   8.93  15.05
199201   9.92   6.80   6.73   0.28  -1.61  -1.71
199202   4.17   3.31   2.05   1.95   1.18   0.73
199203  -1.51  -1.63  -4.86  -2.27  -1.86  -2.99
199204  -1.86  -1.55  -5.16   3.32   3.05  -0.03
199205   1.82   0.67  -0.39   0.66   0.59   0.63
199206  -3.90  -2.63  -4.25  -1.29  -1.11  -2.76
199207   3.01   2.97   2.77   3.47   4.30   4.27
199208  -3.12  -1.64  -2.73  -2.23  -1.78  -2.22
199209   0.99   0.82   1.46   0.79   0.64   1.86
199210   2.37   2.15   3.52   0.54   0.01   3.25
199211   5.12   5.98   8.27   2.68   2.99   5.01
199212   4.55   3.38   2.55   2.14   1.52   1.39
199301   4.93   3.70   2.44   2.73  -0.25   0.22
199302   0.50  -0.10  -3.27   3.29   1.55  -2.28
199303   4.59   3.08   2.41   3.66   2.17   1.78
199304  -2.09  -2.33  -3.15  -1.04  -2.25  -4.22
199305   4.73   3.03   5.31   2.20   2.45   4.25
199306   1.47   0.88   1.18   0.56   1.30  -1.41
199307   1.94   1.76  -0.19  -0.14   0.45  -1.58
199308   4.28   4.03   4.57   3.88   3.82   3.71
199309   2.06   1.67   2.75   0.53  -1.40   0.02
199310   4.32   2.97   3.46   2.16   1.39   1.77
199311  -3.10  -2.60  -3.25  -2.38  -1.55  -0.29
199312   2.47   3.30   2.77   1.53   2.16   1.63
199401   4.99   2.31   3.00   3.77   2.88   3.01
199402  -1.17  -0.20  -0.62  -2.94  -3.16  -1.38
199403  -4.35  -4.13  -6.48  -3.95  -4.26  -4.77
199404   0.41   0.66  -0.82   1.56   1.48  -0.21
199405  -0.84  -0.20  -1.70   1.22   1.10   1.43
199406  -2.52  -1.75  -5.04  -2.10  -2.84  -3.36
199407   1.58   1.55   1.61   3.59   2.99   3.36
199408   4.75   3.96   5.74   4.00   3.72   6.01
199409   1.01   0.31   0.64  -1.80  -1.87  -2.39
199410  -0.52  -0.17   0.17   1.64   1.43   2.41
199411  -4.03  -3.48  -4.35  -4.15  -3.14  -3.87
199412   1.10   1.81   0.35   1.45   1.40   1.31
199501   0.56   0.05  -0.18   1.68   2.60   1.70
199502   2.91   3.20   4.05   4.18   3.44   4.82
199503   2.02   0.88   3.46   3.59   2.07   2.71
199504   3.73   2.39   1.89   2.99   2.71   1.89
199505   2.17   2.10   1.39   3.80   3.68   3.56
199506   5.27   4.10   6.88   1.20   2.06   5.42
199507   5.90   4.50   7.38   2.80   3.50   6.05
199508   4.29   2.55   1.36   0.87   0.94   0.29
199509   2.61   2.08   2.09   4.00   4.32   2.67
199510  -5.24  -4.08  -5.78  -0.68  -0.69  -0.43
199511   3.57   4.59   3.68   4.85   5.04   2.46
199512   3.52   1.31   1.02   2.58   1.94  -1.08
199601   1.97   0.20  -0.29   3.67   3.19   1.89
199602   2.40   2.91   4.42   0.91   1.39   2.60
199603   1.37   2.78   2.90   0.96   1.21   1.01
199604   6.52   4.88   8.35   1.22   1.21   4.35
199605   6.14   4.29   5.65   1.61   2.38   3.25
199606  -4.30  -3.48  -4.98   0.88  -0.08  -1.95
199607  -6.99  -6.65 -12.09  -4.93  -4.11  -6.69
199608   4.81   5.13   6.78   1.70   3.69   3.86
199609   2.89   3.57   3.92   3.91   5.52   8.25
199610   0.50   1.19  -2.98   2.82   2.47  -0.05
199611   3.29   3.94   2.18   6.75   6.90   8.34
199612   2.14   2.30   0.92  -0.11  -2.62  -1.66
199701   4.42   3.26   4.09   4.64   5.47   7.43
199702   0.40  -1.23  -5.72   0.39   2.17  -3.80
199703  -4.03  -3.44  -7.37  -3.37  -4.76  -5.32
199704  -1.52  -0.33  -2.98   2.95   5.85   6.64
199705   9.82   9.69  14.28   5.92   6.38   9.06
199706   4.69   6.01   4.77   3.75   5.21   2.71
199707   5.57   5.22   5.49   6.67   7.18  11.77
199708   2.62   3.09   3.49  -4.15  -5.46  -2.71
199709   6.97   8.26   9.69   5.47   5.75   5.35
199710  -2.84  -3.19  -5.48  -3.35  -2.55  -4.54
199711  -1.00  -1.05  -4.92   4.46   4.06   1.59
199712   0.13   1.37  -0.34   3.35   2.49  -0.66
199801  -0.28  -0.99  -1.67  -0.25   0.34   2.41
199802   6.39   7.26   8.11   5.78   7.51   9.49
199803   5.12   3.55   5.47   4.17   6.51   4.13
199804   2.31   1.80   0.76   0.31   1.54   2.17
199805  -3.91  -4.09  -6.64  -1.71  -1.45  -4.23
199806  -0.55  -0.17   0.49   1.06   3.77   6.87
199807  -6.68  -6.65  -8.54  -2.23  -0.95  -3.00
199808 -17.79 -17.76 -24.78 -12.47 -15.73 -19.28
