This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007  -3.48  -3.81  -3.28  -0.61  -0.49  -0.47
199008 -10.93 -11.85 -13.51  -8.77  -8.62  -8.90
199009  -8.59  -8.42  -9.30  -7.61  -5.15  -4.03
199010  -7.33  -4.69  -4.47  -3.77  -2.09   1.81
199011   5.68   8.13   7.97   8.07   6.59   5.68
199012   3.47   5.29   5.38   2.71   2.73   3.15
199101   6.71   8.08   9.99   4.84   5.66   3.93
199102  13.27  10.88  10.74   8.43   6.76   7.56
199103   6.44   6.62   5.07   2.03   1.08   3.37
199104   0.92  -0.74   1.50   0.88   0.39   0.10
199105   4.44   4.59   5.33   4.78   5.12   3.63
199106  -4.36  -3.01  -3.12  -5.40  -4.80  -3.68
199107   3.42   2.53   5.19   3.56   3.65   5.81
199108   3.44   3.43   3.90   1.62   1.98   3.41
199109   0.19   0.30   0.34  -1.55  -1.08  -1.87
199110   4.06   1.99   2.50   2.74   1.39   1.59
199111  -5.51  -3.76  -4.46  -5.22  -4.43  -2.43
199112   6.27   6.96   9.78   9.29   9.10  12.79
199201   9.71   5.94   7.89  -0.41  -0.07  -2.50
199202   3.61   1.74   4.11   2.67   1.89  -0.16
199203  -2.70  -2.55  -4.65  -2.59  -2.24  -2.16
199204  -3.67  -2.01  -3.83   1.21   2.76   1.95
199205   1.34   0.71  -1.46   1.24   0.56   0.52
199206  -3.75  -4.06  -3.68  -0.53  -1.22  -2.54
199207   3.00   3.00   3.42   2.40   4.02   4.97
199208  -3.93  -1.87  -1.02  -4.55  -2.01  -0.74
199209   0.42   1.86   2.84   0.56   0.82   1.01
199210   2.18   2.73   5.09   0.03   0.80   1.53
199211   6.60   7.09   8.13   4.46   2.86   3.34
199212   3.50   3.17   3.06   1.85   2.08   1.04
199301   3.72   3.92   2.88   3.00   1.25  -0.94
199302  -1.14  -1.02  -3.57   1.73   2.20  -0.57
199303   3.40   3.52   3.48   4.19   2.91   1.11
199304  -1.54  -2.96  -3.13  -0.31  -1.08  -4.59
199305   4.92   4.30   4.42   2.30   2.41   3.46
199306   1.47   0.29   1.90   1.61   0.63  -0.71
199307   0.97   0.79   0.57   1.32  -0.07  -1.43
199308   4.49   4.11   5.22   4.47   3.36   3.74
199309   2.15   1.92   3.28  -0.37   0.19  -1.13
199310   3.80   2.36   3.95   1.15   0.22   3.32
199311  -3.07  -2.67  -2.18  -1.31  -2.12  -0.54
199312   2.23   3.55   3.53   2.29   2.62   0.83
199401   4.24   2.00   2.95   4.92   2.92   2.73
199402  -1.70   0.22  -0.03  -3.38  -1.97  -2.50
199403  -5.18  -4.32  -5.83  -4.08  -4.00  -4.73
199404  -0.10   0.24   0.01   1.02   0.42   1.54
199405  -0.42  -0.85  -1.51   2.19   1.00   0.95
199406  -3.44  -2.86  -3.76  -3.55  -2.89  -2.42
199407   1.17   1.92   2.00   4.29   3.30   2.86
199408   4.04   5.21   5.86   4.90   3.69   4.87
199409   0.49   1.03   0.90  -1.64  -2.39  -1.83
199410  -0.96   0.42   0.80   1.17   2.12   1.94
199411  -4.16  -3.17  -4.12  -4.41  -4.30  -2.78
199412   0.09   1.90   1.45   1.58   1.27   1.42
199501   0.26  -0.91   0.94   1.06   1.78   2.59
199502   3.38   3.59   3.90   3.59   4.84   3.66
199503   2.68   2.17   1.90   3.25   2.57   2.89
199504   3.21   2.39   1.45   2.73   1.70   3.31
199505   2.40   1.62   1.76   2.94   4.06   3.63
199506   5.80   5.65   5.69   2.64   1.42   3.57
199507   5.34   5.92   7.40   4.64   3.60   3.72
199508   3.29   2.13   1.47   2.45   0.02   0.61
199509   3.01   1.18   2.32   2.51   3.40   4.72
199510  -5.42  -4.71  -4.14  -1.75  -1.81   0.75
199511   4.53   3.27   3.28   5.65   4.77   3.63
199512   2.04   1.71   1.30   1.46   1.46   1.49
199601   1.81  -1.56   0.42   2.35   2.21   3.93
199602   3.09   3.32   4.19   1.97   1.93   1.05
199603   1.73   2.85   4.04   1.28   1.95   0.53
199604   6.85   6.28   7.83   1.85   2.09   1.84
199605   6.01   4.62   5.04   1.37   1.86   3.11
199606  -5.68  -3.10  -3.26  -2.19  -0.51   0.69
199607  -9.23  -7.85  -7.64  -6.25  -4.34  -4.90
199608   5.50   5.82   5.86   4.34   3.55   2.19
199609   3.37   3.73   3.86   4.85   4.97   6.17
199610  -1.32   1.21   0.22   1.75   3.23   1.21
199611   2.77   3.82   3.31   6.26   6.25   8.15
199612   1.37   2.27   1.41  -1.40  -1.82  -1.47
199701   4.07   3.63   3.82   3.93   5.10   6.64
199702  -1.69  -2.70  -2.86   0.08   0.24   0.23
199703  -6.14  -3.28  -4.31  -4.70  -3.35  -5.11
199704  -2.81   0.24  -0.77   2.38   3.36   7.01
199705  10.52  11.35  12.59   8.56   6.29   6.64
199706   4.65   5.28   5.78   3.96   4.24   4.19
199707   4.91   5.67   5.92   7.96   9.83   6.84
199708   2.97   3.26   3.78  -3.25  -3.71  -5.39
199709   8.80   8.38   7.44   6.81   6.09   4.84
199710  -4.61  -3.37  -3.55  -3.92  -3.36  -3.05
199711  -3.40  -1.09  -2.97   0.04   2.78   5.44
199712  -0.21   1.39   0.56   2.72   2.15   1.74
199801  -1.43  -1.02  -0.79   0.52  -2.03   2.48
199802   7.09   7.20   7.88   8.47   8.39   6.49
199803   4.74   4.37   4.76   6.71   4.98   4.98
199804   1.59   2.01   0.66   3.33   1.34   0.47
199805  -5.16  -4.64  -5.31  -3.74  -2.57  -1.42
199806   0.03  -0.42  -0.62   4.32   1.50   4.81
199807  -7.70  -7.17  -7.30  -3.79  -1.98  -1.04
