This file was created by CMPT_DP_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on D/P.

Each record contains returns for:

Zero Dividends  30%  40%  30%     5 Quintiles    10 Deciles

D/P is computed when the portfolios are constructed, at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
192707,    5.19,    7.45,    8.11,    5.63,    7.51,    8.09,    6.61,   10.10,    4.51,   11.38,    5.68,    7.28,    8.53,    5.38,    9.05,   12.19,    6.58,    5.34,    3.50
192708,    0.40,    2.97,    1.63,    1.24,    3.80,    1.64,    0.23,    4.07,    0.12,    5.38,    3.01,    0.77,    2.11,   -0.61,    1.83,    5.14,    2.17,    2.63,   -2.96
192709,    7.58,    4.29,    4.61,    2.57,    4.57,    4.32,    4.27,    4.43,    2.40,    1.37,    6.21,    3.53,    4.75,    3.89,    4.99,    5.37,    2.70,    2.40,    2.40
192710,   -6.71,   -5.01,   -3.69,   -3.09,   -4.76,   -5.78,   -2.59,   -3.61,   -2.56,   -6.58,   -3.86,   -5.71,   -5.82,   -2.36,   -3.00,   -3.65,   -3.53,   -1.26,   -4.25
192711,   10.15,    6.55,    5.70,    8.05,    6.43,    8.39,    4.65,    4.92,    8.82,    6.91,    6.20,    6.87,    9.19,    3.79,    6.25,    3.59,    7.42,    7.60,   10.46
192712,    2.14,    1.18,    1.63,    4.28,    1.11,    1.98,   -0.19,    5.27,    4.48,    1.52,    0.91,    1.35,    2.31,    0.04,   -0.60,    5.91,    4.11,    7.99,   -0.10
192801,    0.40,   -0.78,   -0.31,   -2.37,   -1.26,    0.55,   -0.17,   -2.28,   -1.85,   -1.16,   -1.32,    0.54,    0.56,    0.45,   -1.30,   -1.99,   -2.80,   -1.91,   -1.76
192802,   -4.53,   -2.64,   -1.06,   -1.04,   -2.85,   -2.17,   -1.08,   -0.17,    0.00,   -2.81,   -2.86,   -2.10,   -2.21,   -1.65,   -0.03,    0.77,   -1.91,   -0.61,    0.85
192803,   13.83,    8.14,    9.22,    5.26,    8.71,    5.88,    5.22,   18.25,    6.93,   13.59,    6.25,    6.66,    5.47,    4.04,    7.36,   25.83,    3.84,    8.03,    5.43
192804,    7.65,    3.62,    2.91,    5.29,    3.89,    2.75,    3.23,    3.32,    5.30,    4.09,    3.79,    2.88,    2.68,    3.78,    2.26,    2.46,    5.29,    5.23,    5.40
192805,    1.79,    0.73,    1.42,    2.95,    0.04,    1.12,    1.64,    1.76,    5.62,   -0.51,    0.34,    2.61,    0.33,    1.81,    1.35,    2.27,    0.61,    3.38,    8.75
192806,   -8.17,   -4.41,   -4.39,   -5.63,   -4.51,   -4.42,   -4.90,   -3.40,   -6.99,   -5.88,   -3.78,   -4.13,   -4.58,   -4.82,   -5.05,   -2.97,   -4.37,   -5.21,   -9.36
192807,    0.42,    1.28,    0.64,   -0.73,    1.62,    1.25,    0.50,    0.14,   -1.52,    1.55,    1.66,    0.90,    1.65,   -0.05,    1.56,    0.06,    0.32,   -1.28,   -1.88
192808,    7.21,    9.29,    5.58,    5.48,   10.28,    7.80,    5.11,    5.52,    5.79,    8.85,   11.03,    8.18,    7.36,    5.11,    5.09,    5.72,    5.08,    5.61,    6.05
192809,    6.48,    1.77,    2.65,    2.47,    1.94,    3.22,    2.07,    2.03,    3.44,    3.11,    1.35,    1.58,    5.12,    1.81,    2.56,    2.41,    1.20,    4.83,    1.42
192810,    1.73,    2.48,    1.32,   -0.22,    1.25,    2.72,    0.70,    3.37,   -1.28,    3.65,    0.07,    3.85,    1.46,    1.19,   -0.22,    4.33,    1.20,   -2.86,    1.07
192811,   21.87,   16.56,    8.78,    8.85,   13.23,   17.43,    6.74,   11.00,    8.52,   12.77,   13.46,   20.19,   14.27,    5.94,    8.26,   11.73,    9.28,   10.64,    5.47
192812,   -0.67,    0.88,   -0.52,    1.70,   -0.31,    1.26,   -1.04,    0.98,    2.15,    2.01,   -1.49,    2.10,    0.25,   -0.75,   -1.59,    0.92,    1.12,    2.46,    1.66
192901,    1.22,    4.20,    5.94,    4.43,    2.71,    5.29,    6.27,    4.80,    6.27,    7.72,    0.08,    5.69,    4.80,    7.85,    3.25,    5.96,    2.01,    8.84,    2.35
192902,    3.20,   -1.57,   -0.12,    1.05,   -0.59,   -1.43,   -0.61,    2.12,    0.25,    0.10,   -0.97,   -2.54,   -0.07,   -0.73,   -0.37,    2.11,    2.13,   -0.61,    1.64
192903,    1.43,   -1.12,   -0.36,   -2.48,   -2.24,   -0.10,   -0.49,   -0.32,   -3.50,   -5.41,   -0.49,   -0.03,   -0.19,    0.01,   -1.49,    0.00,   -1.11,   -4.18,   -2.43
192904,    0.53,    3.02,    1.51,   -1.72,    4.04,    2.40,    1.45,   -0.28,   -2.17,    3.76,    4.19,    2.04,    2.82,    1.54,    1.26,    0.05,   -1.12,   -0.96,   -4.05
192905,   -8.52,   -3.23,   -6.29,   -8.50,   -5.60,   -2.39,   -7.35,   -5.48,   -8.49,   -5.81,   -5.50,   -0.94,   -4.13,   -9.71,   -2.60,   -4.28,   -8.52,   -9.28,   -7.22
192906,   10.24,   13.73,    8.84,    5.03,   12.76,   12.88,    8.78,    6.50,    4.06,   15.96,   11.06,   14.62,   10.73,    9.57,    7.31,    6.58,    6.29,    3.89,    4.32
192907,    3.54,    5.33,    4.16,    1.42,    5.99,    5.60,    5.14,   -0.83,    0.12,    4.71,    7.39,    3.60,    7.07,    6.30,    3.46,   -2.01,    3.04,   -0.46,    1.03
192908,    4.33,   11.19,    8.40,    2.44,   10.69,   11.99,    8.78,    2.63,    2.04,    8.35,   13.17,   12.49,   11.64,    9.26,    8.07,    2.54,    2.91,    2.70,    1.03
192909,   -7.00,   -3.69,   -6.13,   -5.31,   -4.27,   -4.00,   -6.62,   -5.76,   -6.40,   -5.11,   -3.43,   -2.18,   -5.31,   -7.75,   -4.93,   -6.33,   -4.01,   -7.09,   -5.31
192910,  -27.67,  -24.94,  -13.22,  -14.07,  -26.92,  -16.82,  -10.19,  -16.95,  -15.23,  -27.91,  -26.00,  -20.02,  -14.46,  -11.12,   -8.82,  -18.35,  -12.72,  -13.93,  -17.22
192911,  -16.57,  -14.58,  -11.53,   -4.20,  -14.37,  -13.25,  -11.17,   -8.00,   -9.95,  -14.39,  -14.36,  -15.06,  -11.99,   -9.87,  -13.01,  -11.65,    2.30,  -11.59,   -7.30
192912,    3.89,    3.82,   -0.18,   -5.08,    4.27,    1.02,   -0.42,   -1.94,   -2.48,    5.90,    2.78,    2.78,   -0.16,   -2.14,    2.09,    0.41,   -7.66,   -3.33,   -1.20
193001,    6.21,    6.14,    3.88,    3.82,    7.50,    3.74,    3.47,    3.74,    5.34,    6.83,    8.13,    2.99,    4.25,    3.35,    3.63,    4.31,    2.22,    1.76,   10.71
193002,    6.02,    3.03,    1.65,    1.57,    4.26,    1.63,    1.38,    1.41,   -0.50,    3.30,    5.14,    0.07,    2.69,    1.12,    1.75,    0.52,    3.82,   -1.44,    0.78
193003,   14.04,    7.94,    5.87,    3.60,    6.15,    8.44,    5.07,    6.92,    3.39,    7.49,    4.93,   12.45,    5.79,    4.48,    5.89,    8.11,    3.83,    0.55,    7.21
193004,   -1.46,    0.91,   -4.50,   -9.90,    1.04,   -3.18,   -3.06,   -7.10,   -9.23,    1.61,    0.50,    0.61,   -5.84,   -1.56,   -5.10,   -5.81,  -10.59,  -13.66,   -3.64
