This file was created by CMPT_VAR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.45,   -1.25,   -0.60,   -0.33,   -1.33,    0.34,    0.85,   -0.99,   -1.59,   -0.03,   -1.57,    0.96,   -2.28,   -1.19,   -1.47
196308,    4.68,    6.48,    5.59,    6.53,    7.79,    4.26,    6.29,    6.15,    6.88,    5.79,    5.21,    6.42,    6.72,   10.20,    5.29
196309,   -0.76,   -1.78,   -2.17,   -2.27,   -2.36,   -0.32,   -2.25,   -2.00,   -1.44,   -1.73,   -2.64,   -3.47,   -0.28,   -2.51,   -2.20
196310,    3.20,    2.27,    1.82,    2.70,    2.84,    4.11,    0.88,    1.84,    2.76,    1.65,    2.00,    2.01,    3.74,    4.58,    1.33
196311,   -0.35,   -1.18,   -0.27,   -0.97,   -1.21,   -0.08,   -0.85,   -0.73,   -1.73,   -0.84,    0.41,   -0.37,   -1.65,   -0.04,   -2.22
196312,    2.94,    1.30,    1.47,    1.61,   -0.19,    1.51,    4.61,    1.37,    1.21,    1.73,    1.21,    1.97,    1.07,   -0.24,   -0.15
196401,    3.39,    1.72,    1.88,    2.78,   -0.99,    3.70,    2.93,    0.90,    2.34,    1.46,    2.50,    1.65,    3.95,   -0.42,   -1.44
196402,    1.31,    1.96,    1.86,    5.26,    1.88,    1.10,    1.89,    1.38,    2.88,    2.14,    1.44,    5.70,    4.50,    2.56,    1.33
196403,    1.16,    2.50,    2.36,    3.00,    1.60,    0.87,    1.64,    2.88,    1.69,    2.54,    2.09,    3.24,    2.72,    1.63,    1.57
196404,    1.33,   -0.44,   -0.32,   -2.37,   -1.31,    1.41,    1.13,   -0.98,    0.65,   -0.09,   -0.61,   -1.54,   -3.85,   -3.38,    0.67
196405,    1.72,    1.22,    1.16,    1.50,    4.01,    1.91,    1.08,    0.71,    1.96,    1.53,    0.63,    1.53,    1.47,    6.01,    1.71
196406,    1.60,    1.96,    1.79,    1.54,   -0.47,    1.80,    1.12,    1.93,    1.99,    2.12,    1.27,    1.40,    1.73,    0.53,   -1.68
196407,    1.99,    3.10,    1.31,    2.21,   -0.09,    1.62,    3.06,    2.72,    3.51,    2.02,    0.60,    1.51,    2.92,   -1.27,    1.46
196408,   -1.23,   -1.10,   -0.56,   -0.88,   -1.92,   -1.36,   -0.75,   -1.49,   -0.40,   -0.32,   -0.84,   -0.18,   -1.91,   -2.56,   -1.16
196409,    2.54,    2.19,    3.83,    5.58,    6.06,    2.58,    2.42,    1.79,    2.62,    3.08,    4.62,    5.60,    5.56,    6.72,    5.05
196410,    0.66,    1.44,    1.16,    1.95,   -1.30,    0.92,   -0.17,    1.66,    1.18,    1.30,    1.04,    2.34,    1.42,   -1.84,   -0.61
196411,    0.49,   -0.03,    0.82,    0.47,   -2.77,    0.45,    0.59,    0.07,   -0.20,    1.06,    0.56,    2.35,   -2.02,   -2.85,   -2.66
196412,    0.69,   -0.15,    0.23,   -0.56,   -0.60,    1.04,   -0.20,    0.16,   -0.63,   -0.36,    0.88,   -0.77,   -0.27,    0.38,   -1.82
196501,    3.09,    4.66,    4.92,    3.95,    7.45,    1.99,    5.71,    4.51,    4.93,    4.57,    5.47,    3.14,    5.64,    4.98,    9.92
196502,   -0.53,    1.79,    2.30,    3.22,    4.75,   -0.84,    0.31,    1.44,    2.48,    2.47,    2.10,    3.33,    3.05,    5.14,    4.33
196503,   -1.18,   -0.98,   -0.65,   -0.81,    0.64,   -1.41,   -0.41,   -0.79,   -1.26,   -0.80,   -0.45,   -0.55,   -1.14,    0.98,    0.36
196504,    3.29,    2.56,    4.03,    5.66,    3.21,    3.78,    1.58,    1.82,    3.79,    3.46,    4.69,    5.94,    5.25,    3.01,    3.43
196505,   -0.50,    0.18,   -0.23,   -1.33,   -1.39,   -0.33,   -0.97,    0.60,   -0.20,   -0.13,   -0.33,   -0.64,   -2.33,   -0.24,   -2.35
196506,   -4.13,   -4.76,   -6.53,   -8.30,  -11.31,   -4.06,   -4.32,   -4.21,   -5.91,   -6.59,   -6.46,   -8.00,   -8.72,   -9.52,  -12.90
196507,    1.54,    1.09,    1.77,    2.94,    5.57,    1.59,    1.44,    0.73,    1.92,    0.95,    2.86,    3.50,    2.08,    7.73,    3.36
196508,    2.14,    3.17,    4.70,    6.04,    7.40,    1.63,    3.28,    3.16,    3.18,    4.77,    4.62,    6.60,    5.15,    7.91,    6.79
196509,    2.94,    2.79,    4.09,    4.10,    4.34,    3.22,    1.99,    2.45,    3.19,    4.19,    3.99,    3.73,    4.48,    5.09,    3.47
196510,    1.62,    2.71,    5.31,    5.77,    7.51,    1.55,    1.83,    2.14,    3.44,    4.91,    5.79,    5.53,    6.14,    6.89,    8.39
196511,   -1.42,   -0.01,    3.16,    4.83,    6.65,   -2.13,    0.69,   -0.67,    0.89,    2.70,    4.02,    3.15,    6.82,    3.34,   10.52
196512,    0.13,    2.14,    2.57,    4.50,    3.83,   -0.49,    1.49,    2.94,    1.21,    2.28,    2.87,    3.93,    5.13,    3.63,    4.06
196601,   -0.78,    1.62,    3.69,    6.19,    5.56,   -1.14,    0.14,    1.78,    1.41,    3.09,    4.34,    6.71,    5.46,    4.55,    6.96
196602,   -2.16,   -2.16,    1.76,    2.52,    5.59,   -2.80,   -0.82,   -2.35,   -1.89,    1.64,    1.94,    1.52,    3.61,    4.90,    6.34
196603,   -2.88,   -1.15,   -1.13,   -0.90,   -2.20,   -3.19,   -2.03,   -0.62,   -1.73,   -3.03,    1.61,    0.96,   -3.12,   -2.84,   -1.67
196604,    1.74,    1.21,    4.66,    4.24,    5.09,    1.67,    1.91,    1.10,    1.36,    4.07,    5.46,    2.90,    5.53,    3.80,    6.51
196605,   -4.14,   -3.77,   -6.45,   -8.17,  -11.92,   -4.05,   -4.52,   -3.18,   -4.33,   -6.54,   -6.32,   -7.80,   -8.65,  -10.90,  -12.91
196606,   -2.03,   -0.19,   -0.67,   -0.38,    2.43,   -2.23,   -1.49,   -0.03,   -0.39,   -1.42,    0.51,   -1.05,    0.40,    2.51,    2.35
196607,   -0.51,   -2.03,   -2.09,   -1.73,   -2.35,   -0.31,   -0.91,   -2.99,   -0.64,   -1.56,   -3.02,   -3.01,   -0.32,   -0.94,   -3.74
196608,   -6.28,   -8.67,   -8.25,   -8.89,  -10.19,   -5.86,   -7.05,   -7.95,   -9.50,   -8.50,   -7.75,   -8.82,   -8.97,   -9.29,  -11.52
196609,   -0.19,    0.62,   -0.48,   -2.56,   -4.85,    0.35,   -1.67,   -0.26,    1.95,    0.74,   -1.86,   -1.49,   -4.14,   -5.44,   -4.09
196610,    5.93,    4.93,    5.51,    2.41,   -6.61,    6.31,    4.81,    6.14,    3.44,    6.12,    4.74,    5.00,   -1.28,   -5.13,   -9.09
196611,   -0.89,    1.39,    2.51,    5.97,   13.91,   -1.48,    0.06,    1.98,    0.74,    2.37,    2.70,    4.25,    8.01,   14.35,   13.03
196612,   -0.12,    0.65,    1.59,    1.08,    1.48,   -0.38,    0.33,    1.08,    0.21,    2.67,    0.19,    0.12,    2.45,    2.18,    0.30
196701,    6.94,    7.36,   10.00,   11.61,   18.56,    7.52,    5.65,    6.70,    8.18,    9.07,   10.93,   10.03,   14.12,   15.10,   23.06
196702,    0.67,    0.65,    1.73,    1.95,    4.35,    1.39,   -0.72,   -0.30,    1.69,    1.94,    1.46,    2.49,    1.30,    2.68,    5.98
196703,    3.82,    4.61,    4.81,    6.94,    4.86,    3.28,    4.68,    5.28,    3.88,    4.43,    5.41,    6.04,    8.65,    3.41,    6.50
196704,    3.99,    3.39,    5.82,    4.90,    5.24,    3.46,    4.99,    2.64,    4.26,    4.26,    7.87,    5.72,    3.87,    6.73,    3.81
196705,   -4.40,   -3.72,   -4.15,   -2.53,   -2.28,   -3.97,   -5.28,   -3.66,   -3.78,   -4.54,   -3.76,   -3.65,   -1.28,   -1.82,   -2.73
196706,    1.47,    1.40,    3.84,    6.29,   10.66,    1.48,    1.44,    1.26,    1.61,    4.29,    3.36,    5.69,    7.09,    8.58,   12.27
196707,    3.59,    5.41,    5.64,    7.73,    8.26,    2.53,    6.40,    6.78,    4.25,    5.25,    6.16,    7.62,    7.88,    7.22,    9.44
196708,   -0.76,   -0.29,    0.14,   -0.86,   -1.63,   -1.01,   -0.50,    0.99,   -1.56,    0.70,   -0.70,   -0.29,   -1.69,   -1.32,   -1.95
196709,    3.45,    2.74,    3.32,    3.27,    5.34,    4.49,    2.58,    2.61,    2.91,    3.81,    2.90,    2.42,    4.53,    4.32,    6.29
196710,   -1.60,   -4.87,   -5.11,   -0.53,   -2.29,    0.29,   -3.46,   -5.36,   -4.37,   -5.22,   -4.97,   -0.68,   -0.32,   -1.64,   -2.90
196711,    0.88,   -0.34,    0.66,    1.92,    0.92,    0.60,    1.51,   -0.93,    0.29,    0.92,    0.40,    2.15,    1.57,    1.58,    0.31
196712,    2.65,    2.60,    2.03,    5.59,    9.36,    2.14,    3.99,    1.47,    3.97,    2.31,    1.72,    4.72,    6.95,    6.41,   12.59
196801,   -2.20,   -5.29,   -4.88,   -5.76,   -4.08,   -1.86,   -3.13,   -5.34,   -5.22,   -2.81,   -6.66,   -5.39,   -6.27,   -6.24,   -2.37
196802,   -1.85,   -3.80,   -3.66,   -5.53,   -9.17,   -1.62,   -2.33,   -2.86,   -5.08,   -3.91,   -3.34,   -6.37,   -4.25,   -8.06,  -10.03
196803,    0.62,   -0.09,    1.00,    2.34,   -0.48,    1.13,   -0.54,   -0.67,    0.64,    1.58,    0.23,    1.83,    2.95,    1.77,   -2.28
196804,    7.25,    9.93,   10.39,   13.47,   17.09,    6.83,    8.62,   10.10,    9.71,   10.02,   10.84,   13.67,   13.28,   17.28,   16.91
196805,    0.95,    3.07,    3.88,    4.89,    8.78,    0.90,    1.09,    3.33,    2.64,    4.15,    3.65,    4.85,    4.95,    8.03,    9.51
196806,    1.76,    1.18,    1.03,   -0.09,   -1.60,    1.43,    2.57,    0.82,    1.69,    0.96,    1.12,   -0.36,    0.36,   -0.97,   -2.13
196807,   -1.00,   -2.66,   -3.09,   -6.43,   -4.60,   -0.61,   -1.79,   -3.08,   -2.14,   -2.68,   -3.44,   -6.78,   -6.06,   -5.47,   -3.92
