
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  11.04   9.88  11.79  11.23  12.41  11.33  11.33   7.84  12.60   6.60
197502   8.90   8.50   9.34   9.28   7.75  10.17   9.03   7.74   9.23  -5.36
197503  -2.64  -1.21  -1.98  -3.41  -0.31  -3.08  -2.27  -3.69  -2.15  -2.38
197504   3.38   8.95   1.98   2.42   8.50   2.02   1.48   0.04   8.45  -3.09
197505  -2.82  -6.35  -0.92  -5.98  -2.35  -7.38   1.83  -6.87   1.25  -3.14
197506   3.30   1.28   4.62   6.65   2.64   6.26   3.09   2.91   3.21   2.60
197507  -5.65  -4.39  -6.13  -5.18  -7.75  -4.25  -5.99  -4.60  -7.14  -8.61
197508  -3.56  -5.59  -5.95  -2.52  -0.07  -3.31  -6.22  -4.99  -4.14   2.66
197509   1.40   0.06  -1.00   1.20   1.12   1.28   0.19   1.42  -1.21   9.05
197510   5.06   5.48   2.84   4.43   6.25   3.36   2.75   5.53   4.46  -7.97
197511  -1.97  -3.01  -3.19  -2.68  -1.31  -3.96  -3.51  -0.35  -2.70  -6.73
197512   1.90   5.67  -0.37   1.73   1.76   0.64  -0.57   4.74  -0.09  -5.85
197601   4.20   8.68   4.06   6.54   0.77   4.76   1.74   9.38   2.21   0.97
197602   0.85   0.84  -0.64   2.20   0.72   0.33   0.47   1.23  -1.90   2.25
197603   2.13   1.91   1.06   5.18   2.78   4.48   3.72   0.96   5.45  -4.40
197604  10.34  10.61  11.50  10.76  10.78  12.28   9.87  10.15  10.08  23.40
197605  -5.58  -7.29  -3.73  -9.69  -2.22  -8.80  -2.33  -6.51  -7.34  -3.15
197606  -0.31  -1.35  -0.32   2.81  -1.54  -0.56  -1.36  -2.99   2.57   4.43
197607   0.59  -0.61   0.59   1.17  -0.17   1.37  -0.23   0.50   1.54  -5.19
197608  -4.99  -6.23  -3.84  -5.76  -6.21  -6.68  -5.54  -6.13  -4.56  -2.84
197609  -3.10  -9.34   0.01  -6.68  -2.47  -9.87  -3.07  -5.54  -0.87   1.33
197610  -7.88 -14.79  -5.17 -10.64  -2.73 -16.98  -2.57 -10.85  -4.73 -99.99
197611   3.56   2.69   5.90   5.30   3.84  -0.29   3.90   4.32   1.04 -99.99
197612   5.99   5.89   6.30   5.88   4.57   4.76   4.46   8.31   5.29 -99.99
197701  -9.29 -10.46  -8.67  -8.65  -7.99 -11.76 -10.35  -6.41  -8.07  -6.71
197702  10.48  13.41   7.57  11.49   8.92  10.44   8.28   8.48   9.75  21.84
197703   2.10   3.93   2.38   1.56   3.54   1.81   1.41   0.93   4.04  -6.01
197704  -5.24  -5.15  -7.08  -4.28  -5.39  -5.98  -5.19  -6.28  -3.73   0.76
197705  -2.79  -3.93  -0.25  -0.66  -5.01 -11.04  -1.73  -7.39   0.51  -0.91
197706 -10.09 -13.94  -6.76  -8.81 -10.69 -11.14  -9.16  -8.72  -9.06  -8.94
197707  -1.48  -2.67   0.94   0.40  -0.21  -0.65  -0.52   0.78  -2.43  -3.04
197708 -15.09 -15.01 -12.90  -9.42 -17.14 -19.50 -15.45 -15.18 -10.39 -16.01
197709   5.63   8.21   4.69   8.45   0.29   2.97   6.84   4.85   3.10 -28.16
197710  -4.28  -3.95  -2.35  -3.64  -3.27  -5.75  -4.38  -2.30  -4.50 -99.99
197711  -6.63  -3.25  -6.87  -7.14  -2.39  -6.68  -7.70  -2.92 -10.49  -3.72
197712  11.12  12.06  11.91  10.95  10.72   9.71  12.78   9.10   9.54  34.07
197801  10.17  22.91   8.76   8.10   9.91  17.58   7.09  18.56  10.25  37.01
197802  -2.50  -6.50  -0.23  -1.25  -2.00  -3.35   0.53  -5.11   0.63 -13.50
197803   7.39  15.45   5.00   4.18   6.70  12.35   4.06  13.24   2.79  30.65
197804   4.60   3.06   5.97   5.46   3.53   2.62   3.85   3.98   9.26 -12.95
197805  -4.26  -9.96   0.99  -4.43  -8.53  -9.84  -2.21 -11.08  -5.77  -4.66
197806   3.67  -4.77   5.02  -1.59   2.83  -3.52   6.01  -5.62   7.03  13.45
197807   8.53  17.47   8.12  12.43   7.77  16.07   5.89  16.27   6.50  13.12
197808   1.78   2.43   2.97   6.66   0.25   2.67   0.61   2.78   0.51   0.60
197809  -2.70  -4.21  -2.30  -2.30  -4.81  -1.65  -1.55  -3.97  -1.20  -3.19
197810   1.57  -0.58   4.10   2.63  -0.38  -1.46   1.78  -0.64   3.90  -4.05
197811  -6.17  -5.94  -6.93  -4.66  -7.15  -3.23  -8.02  -5.01  -3.51 -11.21
197812   2.75  -0.83   3.78   1.20   3.79  -2.91   2.44  -1.27   5.44   5.42
197901   7.14  18.05   3.22   5.07   8.30  15.98   6.00  12.71   4.70  21.40
197902  -5.01  -3.43  -6.05  -5.61  -5.65  -1.99  -3.94  -5.35  -5.30  -1.65
197903  -0.18   0.73  -0.56  -3.30  -0.14   4.17  -0.10   0.11  -1.34   2.28
197904  -5.82  -7.64  -5.88  -4.34  -6.31  -2.81  -6.02  -4.92  -7.05  -7.13
197905  -2.01  -0.49  -0.89  -2.05   0.25   0.58  -4.45  -0.09   1.61  -0.24
197906  -0.29   0.44   1.25   0.02   1.15  -2.80   0.12  -1.00  -0.16  -0.73
197907   4.20   4.84   2.53   3.25   6.65   3.99   5.22   7.07   6.21   1.92
197908  -1.40   2.01  -1.35  -2.09  -0.99   1.48  -2.53  -1.95  -0.90   3.58
197909   1.52   5.60   0.66   3.28  -1.28   4.98  -0.68   3.44   1.50  10.26
197910  -2.74  -0.05  -3.16  -1.62  -4.46   0.01  -4.44  -3.00  -2.25   4.52
197911   2.92   7.29   4.59   2.09   6.25   3.87   2.47   2.21   8.11  11.49
197912   3.37   7.17   4.45   1.54   6.56   4.67   1.45   4.20   5.71   5.39
198001   6.00  15.67  -0.28   4.74   4.21  12.22   2.89   9.13   0.11  20.40
198002  -2.06   3.72  -3.14  -4.08  -0.38   1.49   0.04  -0.46  -0.92   4.72
198003  -6.16  -7.75  -4.97  -7.03  -2.32  -5.99  -3.69  -7.92  -5.13 -11.53
198004   6.19   4.96   8.18   9.55   3.96   2.58   2.67   7.01   2.44   3.94
198005  -0.71  -5.95  -0.16  -0.33  -0.58  -4.30   0.01  -1.71   1.11  -4.21
198006   1.56  -1.96   4.94  -1.60   0.96   0.73   2.93   0.46   5.06   0.09
198007   0.21  -1.64   0.65  -1.04   0.74  -1.19  -0.23  -0.19  -0.19  -0.03
198008  -3.40  -3.00  -2.85  -2.82  -4.26  -4.08  -0.72  -4.25  -0.69  -5.12
198009   0.08  -2.69  -1.53   0.76  -0.63  -0.11  -2.47   0.75  -3.38  -0.28
198010   5.75   8.34   4.92   8.39   2.56  10.40   1.77   9.17   3.16  -3.37
198011   5.72   8.58   5.39   6.53   8.48   6.88   5.62   6.74   4.19   1.57
198012   2.53   1.67   4.24   0.69   5.14   2.16   6.01   1.21   6.74   0.38
198101  -5.81  -5.02  -8.25 -10.36  -3.32  -5.66  -3.89  -6.42  -5.26  -5.39
198102  11.20  21.79   5.30  15.63   4.07  21.92   6.40  18.88   2.90  22.58
198103   6.52   7.36   8.11  10.62   5.81   8.10   5.35   7.98   6.83   3.46
198104  -6.74  -7.66  -7.09 -10.62  -4.64  -8.52  -7.22  -7.78  -7.16  -4.24
198105   3.29  -0.33   3.53  -0.39   6.24  -0.99   5.86  -0.52   3.80   3.76
198106   8.16  16.04   7.40  13.35   5.75  15.96   5.30  11.61   6.08  16.57
198107   2.56   9.01   1.80   7.80  -0.99  10.07  -0.89   2.29   0.73   1.56
198108   0.01  -1.63   2.34  -1.85   0.84  -1.61  -0.75   2.78  -1.69   2.14
198109 -12.97 -14.32 -10.39 -12.78 -11.55 -13.69 -11.83 -13.23 -10.32 -16.27
198110  11.75  12.06  12.94   7.70  17.28  12.62  14.46  11.25  13.54   1.72
198111   9.31   8.87   7.64  11.27   7.42   8.30   8.47  11.75   5.95  15.16
198112  -4.67  -5.51  -2.58  -4.68  -2.75  -5.41  -4.31  -5.95  -4.32  -9.28
198201  -2.01   4.41  -5.02   4.88  -3.71   0.95  -1.35   2.19  -3.97  -1.53
198202  -3.05  -2.95  -3.36  -3.21  -2.39  -1.76  -2.10  -1.43  -3.11   2.95
198203  -7.09  -9.76  -9.12  -7.81  -5.91  -8.18  -3.30  -7.03  -7.09 -12.26
198204  -3.31  -6.02  -1.14  -4.26  -2.42  -4.17  -4.04  -4.15  -0.89  -0.78
198205   1.84  -0.26   3.63  -3.59   4.27  -4.70   0.60  -0.60   1.00   6.58
198206  -3.95  -8.55  -3.92  -3.56  -2.38  -5.02  -1.06  -3.37  -3.00  -5.98
198207   5.92   1.88   3.77   3.57   9.86   4.64   9.32   4.35   5.04   2.72
198208  -0.85  -1.50   1.85  -3.75  -1.99  -1.95  -0.69  -2.63   3.58   5.43
198209   4.07   2.46   1.67   4.58   5.42   2.58   3.56   1.72   1.41   0.99
198210  -4.69  -9.63  -2.89  -6.63  -1.30  -7.38  -0.83  -4.61   2.75 -14.20
198211  15.48   5.89  14.98   6.30  24.54   8.02  23.15   9.33  15.24   2.16
198212   7.97   7.81   5.02   7.03   7.59  11.01  11.49   7.94   5.42  11.74
198301  13.17  23.25   8.03  22.38   7.73  32.95   8.18  20.47   7.95  34.90
198302  20.90  22.99  20.65  19.83  21.89  16.46  17.86  19.22  16.94  37.17
198303  -0.86   1.56   0.82  -4.47   2.76  -3.44   0.33  -3.27   0.76  31.90
198304  12.15   4.04  12.62  11.85  18.42   9.41  10.45   5.47   9.33  -1.81
198305  -2.27  -3.91  -1.11  -3.22  -0.13  -2.88  -3.15  -4.72  -2.16  -4.48
198306  -6.10  -1.31  -6.37  -6.67  -6.06  -3.96  -6.61  -2.94  -6.78  -2.61
198307   7.74  11.45   7.07   9.51   7.15   8.15   6.39   9.84   6.82  14.61
198308   2.23   8.44   1.18   0.48   0.25   2.17   1.38   3.31   1.32  35.85
198309  -1.14  -1.37  -0.75   1.50  -3.02  -2.93  -0.04   1.68  -0.10  -3.39
198310  -1.72  -1.79  -1.31  -0.39  -0.52   0.71  -3.76  -3.13  -2.77  -7.64
198311   5.36   5.37   5.55   6.49   3.40   4.28   1.54   6.94   3.17   2.60
198312  -3.99  -0.74  -5.86  -1.33  -4.74  -4.26  -4.67  -0.89  -6.30 -12.08
198401   8.09  12.84   0.96  14.19   3.06  16.78   5.47  10.89   5.59  36.02
198402   1.00   2.91  -2.07   2.18   1.85   2.57   3.16   5.21  -2.74   6.75
198403   4.96  11.13   2.88   7.87   3.98   8.89   3.08   6.77   2.87  19.80
198404  -6.57  -4.45  -8.68  -6.77  -7.40  -5.95  -6.05  -5.63  -8.38   0.29
198405 -10.81  -7.98 -13.19  -8.23 -12.93  -6.69 -11.81  -8.49 -15.06 -12.79
198406   2.12   2.49   4.64   2.19   2.51   2.77   1.36   0.64   2.15  -9.69
198407  -0.36  -2.35  -1.71   2.40  -3.10   2.90  -2.21  -3.05  -0.95   4.00
198408   0.36  -2.02   4.05  -1.42  -0.17  -1.78  -1.80  -0.55   5.43  -8.89
198409  -6.34  -9.14  -4.78  -7.87  -1.62  -8.35  -1.83  -8.93  -7.46  17.85
198410  -2.97  -3.96  -2.45  -2.62  -4.63  -2.38  -6.60  -2.48  -3.60 -10.25
198411  -6.79  -5.97  -7.40  -5.65  -5.38  -6.85  -5.85  -3.91  -5.51 -12.47
198412  -2.34  -0.13  -7.02   1.77  -3.96   0.61  -3.71  -0.26  -8.98   5.38
198501   8.74  10.39   7.77   8.44   6.69  10.69   9.07   7.71   9.15   3.86
198502  -6.46  -7.37  -8.40  -3.82  -7.85  -1.65  -9.76  -5.91  -8.55 -10.03
198503   3.72   6.51   4.66   1.01   3.31   2.99   3.70   6.28   3.10   1.76
198504   1.54   0.33   1.59   1.12   3.72   1.14   3.74  -1.30   1.75   4.17
198505  -5.44  -1.83  -4.62 -10.03  -2.31 -12.58  -3.35  -3.83  -0.51   9.22
198506  -1.09  -0.91  -0.52   0.29  -2.05  -1.29  -1.25  -1.58  -4.60  -4.70
198507  11.20   6.43  15.27  12.21  12.39  11.69  12.55   9.26  14.25   4.44
198508  -1.82  -0.17  -6.19   1.34  -3.55   0.65  -3.79  -2.03  -5.59   8.95
198509   5.13   5.10   3.52   5.59   7.12   5.32   8.28   4.71   6.61 -99.99
198510   7.97   6.41   9.02  11.90   9.30  11.44   8.44   7.86   8.29 -99.99
198511  15.76  13.28  12.71  19.31  11.74  19.31  14.64  10.04  14.97 -99.99
198512   7.69   9.73   7.92   8.83   6.09   7.27   4.81   9.99   6.43 -99.99
198601   2.70   4.75   0.79   2.97   3.69   1.68   2.60   4.81   5.05 -99.99
198602  11.16   7.02   9.43  12.41   5.87  13.02   4.33  15.90   6.73 -99.99
198603  11.13   8.80  10.98   8.77  10.16   5.68   9.76  11.66   9.19 -99.99
198604  11.01   3.92   8.10  13.82   8.10  12.99  10.82   4.67   8.38 -99.99
198605   0.35  -1.85   3.16   2.76  -1.29  -0.52   0.42  -1.84  -0.32 -99.99
