
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  22.94  19.88  25.13  19.37  23.55  14.62  28.22  21.26  21.49 -99.99
197502   7.77  -0.26   9.78   0.15  10.52   3.01   6.20   3.47   7.76 -99.99
197503  -0.95  -2.48  -2.01  -4.22   0.31  -1.57   0.07  -0.60  -0.65 -99.99
197504   5.10   6.08   2.22   5.81   7.04  -0.67   7.20   2.31   7.05 -99.99
197505  -1.93  -3.45  -0.66  -3.60  -1.00  -2.38  -1.40  -0.88  -1.59 -99.99
197506  -3.26  -5.14  -0.21  -4.21  -5.22  -2.95  -2.69  -4.28  -4.36 -99.99
197507  -5.61  -4.77  -4.35  -4.63  -6.09  -6.64  -5.81  -5.05  -6.26 -99.99
197508  -4.60  -5.44  -2.79  -4.48  -6.42  -3.88  -5.70  -3.28  -5.84 -99.99
197509  -8.54  -8.71  -5.91  -8.34 -10.11  -8.87 -12.91  -6.06 -10.83 -99.99
197510  14.61  14.80   9.48  14.58  17.32  13.57  21.76  12.15  17.95 -99.99
197511   3.79   2.94   1.76   2.55   5.78  -0.59   2.65  -1.01   5.95 -99.99
197512   4.60   5.54   4.99   4.40   3.26   6.75   4.88   5.64   3.48 -99.99
197601   3.85   6.62   2.21   6.27   4.36   3.48   4.82   3.93   3.57   5.28
197602  -0.12   1.61   0.91   2.69  -5.02   7.54  -5.67   4.87  -3.53   4.07
197603   0.93   5.22  -0.31   2.21   1.46   5.58   1.46   1.25   1.17  -0.37
197604  -1.07  -2.40  -1.31   1.16  -1.75  -0.34  -1.50   1.83  -1.24  -3.19
197605   0.83  -0.92   1.21  -0.21   0.92   1.97   0.77   2.64   0.84   0.38
197606   1.69   3.93   1.83   3.97  -0.87   4.84  -1.01   4.05   1.00  -0.28
197607   0.21   0.89   2.27   0.32  -4.44   4.74  -4.51   1.98  -1.09   2.76
197608   0.11   0.71   2.80   0.93  -5.25   3.34  -5.92   0.45  -2.28   4.68
197609  -0.65  -3.81  -0.50  -0.43   1.46  -0.05   1.79   0.11   0.92  -0.22
197610  -3.25  -5.00  -2.56  -4.14  -4.69  -6.17  -4.90  -1.67  -4.96  -3.09
197611   0.57   1.11   0.57   3.36  -0.51   1.48  -0.40   0.49   0.68  -1.18
197612   6.20   6.66   5.06   4.69   9.06   5.00   9.28   6.32   6.49   7.52
197701  -1.08  -0.54  -0.70  -0.66  -2.92  -4.84  -2.47   0.79  -2.27  -4.22
197702  -2.43  -1.78  -1.62  -2.39  -3.57  -5.01  -4.19  -1.94  -3.87   1.74
197703   1.07   1.71   0.84  -0.17   1.98   0.54   1.93   0.46   2.37   8.27
197704   1.06   8.03  -5.79   2.92   6.62   3.10   4.82   4.24   4.44   3.63
197705  -3.10  -4.27  -3.13  -4.47  -2.19  -3.70  -1.78  -4.15  -1.73  -2.02
197706   2.63   2.22   0.94   3.82   3.51   4.56   3.96   3.55   3.70  -0.49
197707   2.48   2.36   2.51   2.54   1.43   2.33   1.71   3.09   1.94   4.80
197708   3.41   2.58   4.93   4.31   2.69   5.83   1.40   3.85   1.68   4.26
197709  11.69  10.81  12.17   9.47  10.15  11.19  13.14  10.23  13.08  17.25
197710  -0.43  -4.14   0.85  -1.08  -1.84  -3.25   0.04  -0.47  -0.18   2.50
197711   3.66   0.32   5.28   5.58  -0.34   5.89   2.74   3.90   2.95   0.13
197712   7.73   7.01  10.12   9.90   5.52   9.35   3.74   9.34   4.74   8.00
197801   4.47   3.07   3.80   6.36   1.07   2.13   2.80   6.21   2.14 -99.99
197802   1.32   6.70  -0.49   4.07   1.97   3.51  -0.16   5.15  -0.84 -99.99
197803  -1.44  -0.57  -1.95   1.09  -1.94  -1.21  -3.34   0.58  -2.67 -99.99
197804  -7.53  -7.81  -7.36  -8.12  -7.57  -6.46  -8.23  -6.75  -7.19 -99.99
197805   3.84   1.81   5.41   0.16   9.59   4.29   6.66  -0.29   5.92 -99.99
197806   4.21   3.55   3.74   4.64   5.27   5.81   4.13   4.64   3.39 -99.99
197807   6.04   5.37   6.91   6.94   5.38   7.01   4.01   6.55   4.18 -99.99
197808   6.77   2.65   9.92   5.42   9.80   0.42   5.02   5.52   5.76 -99.99
197809   2.42   0.92   2.18   4.44   0.83   1.29   1.15   4.56   1.59 -99.99
197810   1.39   3.40   2.58   3.46  -0.92   0.15  -2.11   4.12  -1.44 -99.99
197811 -11.77  -6.35 -16.42 -11.68  -8.81  -6.78  -6.97 -12.52  -7.84 -99.99
197812   8.96  11.22   9.32   9.68   8.55   9.86   7.93   9.28   8.99 -99.99
197901   5.14   5.74   4.58   2.96   7.46   5.09   8.45   3.36   6.04  -0.18
197902  -0.36  -0.09   0.75   0.29  -2.39   2.97  -2.32   0.11  -1.79   0.22
197903  -0.26   0.60  -0.62   0.55   0.57   1.93   0.74  -0.83   0.02  -2.60
197904  -0.47   3.35  -2.86   0.02   3.08  -2.21   2.39  -1.68   3.23   2.26
197905  -3.52  -4.46  -2.91  -4.30  -3.99  -4.80  -4.61  -3.15  -3.84  -2.74
197906   3.71   1.92   5.51   1.54   1.57   1.06   2.52   3.26   2.38   1.50
197907   0.66   0.60   0.52   0.25   1.01   2.27   0.82   0.74   1.13  -0.58
197908   2.62   3.51   2.75   3.25   1.77   3.37   1.33   3.51   1.92  -4.64
197909   7.91   7.47  10.07   7.22   7.07   7.68   6.48   6.71   7.35  16.25
197910  -8.97  -8.02  -8.56  -9.22  -9.77  -8.30  -9.57  -8.78  -9.29 -10.10
197911   1.52  -0.49   1.91  -0.19   0.79  -2.46   2.03   1.36   0.81   0.75
197912   2.56   1.46   4.69   1.22   0.44  -0.72  -0.34   2.85   1.82 -11.54
198001   0.58  -3.18   1.51  -0.59  -2.23   1.92   0.63  -0.09   1.10   5.53
198002  -6.49  -7.37  -6.26  -5.92  -8.21  -6.03  -8.17  -5.42  -7.66  -9.31
198003 -15.25 -16.95 -14.73 -15.06 -16.12 -15.63 -16.49 -14.09 -15.64 -15.37
198004  13.46  12.67  12.86  14.63  12.58  12.47  14.14  13.34  14.97   7.66
198005   0.58   1.15   0.69  -0.08   3.87   0.52   1.36   0.01   1.15  -0.98
198006   6.26  11.60   4.22   2.22  12.16   2.86  13.21   3.80  11.52  10.32
198007   0.24  -0.31   1.54  -0.50   0.33   0.33  -0.90   0.13  -0.54   0.08
198008   0.34   0.99   0.80  -0.61   1.70  -0.69  -0.03   0.77   0.37   9.86
198009  -0.33  -1.47   1.45  -1.76  -0.07  -1.21  -2.80   0.91  -1.57  -3.87
198010  -2.70  -2.66  -1.83  -3.95   0.76  -5.38  -2.04  -4.23  -0.96  -9.56
198011  -2.39  -4.58   0.45  -4.19  -2.37  -5.20  -5.78  -3.10  -4.34  -4.82
