DATE,FII10,FII20,FII30,FII5,FII7
2003-01-01,2.29,NaN,NaN,1.65,2.1
2003-02-01,1.99,NaN,NaN,1.24,1.74
2003-03-01,1.94,NaN,NaN,1.09,1.6
2003-04-01,2.18,NaN,NaN,1.36,1.85
2003-05-01,1.91,NaN,NaN,1.18,1.61
2003-06-01,1.72,NaN,NaN,0.91,1.37
2003-07-01,2.11,NaN,NaN,1.3,1.76
2003-08-01,2.32,NaN,NaN,1.48,1.97
2003-09-01,2.19,NaN,NaN,1.29,1.8
2003-10-01,2.08,NaN,NaN,1.21,1.68
2003-11-01,1.96,NaN,NaN,1.27,1.64
2003-12-01,1.98,NaN,NaN,1.23,1.64
2004-01-01,1.89,NaN,NaN,1.09,1.48
2004-02-01,1.76,NaN,NaN,0.86,1.31
2004-03-01,1.47,NaN,NaN,0.52,0.98
2004-04-01,1.9,NaN,NaN,1.02,1.49
2004-05-01,2.09,NaN,NaN,1.34,1.77
2004-06-01,2.15,NaN,NaN,1.41,1.8
2004-07-01,2.02,2.44,NaN,1.29,1.68
2004-08-01,1.86,2.23,NaN,1.12,1.51
2004-09-01,1.8,2.16,NaN,1.1,1.46
2004-10-01,1.73,2.13,NaN,0.97,1.35
2004-11-01,1.68,2.09,NaN,0.9,1.27
2004-12-01,1.67,2.02,NaN,0.92,1.28
2005-01-01,1.72,1.98,NaN,1.13,1.4
2005-02-01,1.63,1.85,NaN,1.08,1.33
2005-03-01,1.79,1.95,NaN,1.29,1.49
2005-04-01,1.71,1.87,NaN,1.23,1.42
2005-05-01,1.65,1.82,NaN,1.28,1.41
2005-06-01,1.67,1.8,NaN,1.39,1.49
2005-07-01,1.88,2,NaN,1.67,1.75
2005-08-01,1.89,2.02,NaN,1.71,1.79
2005-09-01,1.7,1.93,NaN,1.4,1.56
2005-10-01,1.94,2.09,NaN,1.7,1.82
2005-11-01,2.06,2.16,NaN,1.97,2.03
2005-12-01,2.12,2.14,NaN,2.09,2.1
2006-01-01,2.01,2.05,NaN,1.93,1.98
2006-02-01,2.05,2.01,NaN,1.98,2.02
2006-03-01,2.2,2.17,NaN,2.09,2.15
2006-04-01,2.41,2.43,NaN,2.26,2.34
2006-05-01,2.45,2.48,NaN,2.3,2.36
2006-06-01,2.53,2.54,NaN,2.45,2.48
2006-07-01,2.51,2.52,NaN,2.46,2.48
2006-08-01,2.29,2.31,NaN,2.27,2.29
2006-09-01,2.32,2.31,NaN,2.38,2.35
2006-10-01,2.41,2.38,NaN,2.51,2.45
2006-11-01,2.29,2.23,NaN,2.41,2.35
2006-12-01,2.25,2.26,NaN,2.28,2.28
2007-01-01,2.44,2.42,NaN,2.47,2.47
2007-02-01,2.36,2.38,NaN,2.34,2.38
2007-03-01,2.18,2.27,NaN,2.04,2.14
2007-04-01,2.26,2.35,NaN,2.12,2.2
2007-05-01,2.37,2.45,NaN,2.29,2.32
2007-06-01,2.69,2.67,NaN,2.65,2.67
2007-07-01,2.64,2.62,NaN,2.6,2.63
