cmtcode,date,value
2000003,1941-01-31,-6.8315312783605E-01
2000003,1941-02-28,-3.6156698823395E-02
2000003,1941-03-31,9.5088888599839E-02
2000003,1941-04-30,2.9622448430013E-02
2000003,1941-05-31,1.8643155202587E-01
2000003,1941-06-30,1.8406927453862E-01
2000003,1941-07-31,6.2361279680286E-02
2000003,1941-08-30,2.9485873586021E-02
2000003,1941-09-30,-9.1281549726934E-02
2000003,1941-10-31,-3.0788756630275E-01
2000003,1941-11-29,-3.3457497825263E-02
2000003,1941-12-31,-2.1368474891614E-01
2000003,1942-01-31,2.6634490848642E-01
2000003,1942-02-28,8.8688753082447E-02
2000003,1942-03-31,-1.4333668655007E-02
2000003,1942-04-30,-4.8067809461904E-02
2000003,1942-05-29,4.3349566843002E-02
2000003,1942-06-30,6.4996174704293E-02
2000003,1942-07-31,-3.0447167398525E-02
2000003,1942-08-31,6.2943310412047E-02
2000003,1942-09-30,4.8101099149512E-02
2000003,1942-10-31,1.0865197727543E-01
2000003,1942-11-30,8.7656460590690E-02
2000003,1942-12-31,7.1173338554590E-02
2000003,1943-01-30,2.4995980936674E-01
2000003,1943-02-27,6.2626286102081E-02
2000003,1943-03-31,6.1976462005845E-02
2000003,1943-04-30,5.0555070081600E-02
2000003,1943-05-29,1.3383510191861E-01
2000003,1943-06-30,1.0553282414304E-01
2000003,1943-07-31,6.7744710833469E-04
2000003,1943-08-31,3.1839798393096E-02
2000003,1943-09-30,6.1285312638066E-02
2000003,1943-10-30,6.1813399084486E-02
2000003,1943-11-30,7.9449788763082E-02
2000003,1943-12-31,1.0093526761796E-01
2000003,1944-01-31,4.3584780058619E-02
2000003,1944-02-29,8.3747563020802E-02
2000003,1944-03-31,7.3873504817346E-02
2000003,1944-04-29,1.0878452076106E-01
2000003,1944-05-31,5.4137528247834E-02
2000003,1944-06-30,7.2314720418092E-02
2000003,1944-07-31,9.5577700658513E-02
2000003,1944-08-31,8.9443272884330E-02
2000003,1944-09-30,5.4372760990885E-02
2000003,1944-10-31,5.6761304622219E-02
2000003,1944-11-30,3.0144874221784E-02
2000003,1944-12-30,7.7585482245152E-02
2000003,1945-01-31,2.2814087118340E-01
2000003,1945-02-28,6.1345429679696E-02
2000003,1945-03-31,8.4343455318425E-02
2000003,1945-04-30,4.3502241395172E-02
2000003,1945-05-31,5.5825516305130E-02
2000003,1945-06-30,9.7460523729414E-02
2000003,1945-07-31,6.1043749669452E-02
2000003,1945-08-31,7.6981333850314E-02
2000003,1945-09-29,7.4794194914286E-02
2000003,1945-10-31,8.8863691023179E-02
2000003,1945-11-30,6.0791329486930E-02
2000003,1945-12-31,7.8515628864750E-02
2000003,1946-01-31,1.8377234504651E-01
2000003,1946-02-28,1.2673707615343E-01
2000003,1946-03-30,-6.5579526948147E-03
2000003,1946-04-30,3.5780498828728E-02
2000003,1946-05-31,6.1737514527677E-02
2000003,1946-06-28,6.1758382949518E-02
2000003,1946-07-31,5.8358006615165E-02
2000003,1946-08-30,2.3563628529494E-02
2000003,1946-09-30,5.8722273100481E-02
2000003,1946-10-31,7.8741807810495E-02
2000003,1946-11-30,5.7362165931687E-02
2000003,1946-12-31,6.9665103725139E-02
2000003,1947-01-31,1.7831245096407E-01
2000003,1947-02-28,6.2681547562266E-02
2000003,1947-03-31,1.0524981898010E-01
2000003,1947-04-30,4.5398454604085E-02
2000003,1947-05-29,1.2199021709520E-01
2000003,1947-06-30,7.4136617710265E-02
2000003,1947-07-31,7.3758742279832E-02
2000003,1947-08-29,6.8959713378089E-02
2000003,1947-09-30,4.9143435451753E-02
2000003,1947-10-31,6.9312137113732E-02
2000003,1947-11-28,4.7440551417562E-02
2000003,1947-12-31,1.0838859701440E-01
2000003,1948-01-30,7.6311168386888E-02
2000003,1948-02-27,8.7022181024543E-02
2000003,1948-03-31,8.9323173182860E-02
2000003,1948-04-30,8.6142267705972E-02
2000003,1948-05-28,1.0823086017160E-01
