"DATES","EQFSNBCRSS_N.M"
"Jan,84",2043
"Feb,84",2379
"Mar,84",2096
"Apr,84",1785
"May,84",1809
"Jun,84",2221
"Jul,84",1332
"Aug,84",2054
"Sep,84",1533
"Oct,84",1947
"Nov,84",2439.7
"Dec,84",1022
"Jan,85",1555
"Feb,85",2716
"Mar,85",2364
"Apr,85",2940
"May,85",3158
"Jun,85",3740
"Jul,85",3257
"Aug,85",3777
"Sep,85",2541.60001
"Oct,85",2324
"Nov,85",2655
"Dec,85",4989
"Jan,86",3440.3
"Feb,86",4547.39999
"Mar,86",5611.39999
"Apr,86",5717.4
"May,86",6795.2
"Jun,86",5125
"Jul,86",4403.60001
"Aug,86",5870.6
"Sep,86",3343.89999
"Oct,86",5357.9
"Nov,86",6867.5
"Dec,86",6546.7
"Jan,87",2935.8
"Feb,87",3857.8
"Mar,87",9865.3
"Apr,87",4437.8
"May,87",6800.8999
"Jun,87",6710.8999
"Jul,87",5498.8
"Aug,87",4246.5
"Sep,87",6271.8
"Oct,87",3217.3
"Nov,87",698
"Dec,87",774
"Jan,88",2739
"Feb,88",3987
"Mar,88",5103
"Apr,88",2827.7
"May,88",4073.39999
"Jun,88",4710.1001
"Jul,88",5337.9
"Aug,88",3365.6
"Sep,88",3015
"Oct,88",2843.3
"Nov,88",3493.5
"Dec,88",2080
"Jan,89",2198
"Feb,89",2572
"Mar,89",616
"Apr,89",1037
"May,89",1843
"Jun,89",2896
"Jul,89",5237
"Aug,89",2077
"Sep,89",2944
"Oct,89",4057
"Nov,89",4537
"Dec,89",4126
"Jan,90",3491
"Feb,90",3366
"Mar,90",4149
"Apr,90",1923
"May,90",2857
"Jun,90",3468
"Jul,90",2512
"Aug,90",981
"Sep,90",436
"Oct,90","NA"
"Nov,90",1235
"Dec,90",1807
"Jan,91",1370
"Feb,91",1834
"Mar,91",4031
"Apr,91",6345
"May,91",8243
"Jun,91",6159
"Jul,91",3226
"Aug,91",7248
"Sep,91",5442
"Oct,91",9365
"Nov,91",9777
"Dec,91",7766
"Jan,92",7311
"Feb,92",10514
"Mar,92",6969
"Apr,92",5808
"May,92",7952
"Jun,92",9885
"Jul,92",6689
"Aug,92",5431
"Sep,92",5598
"Oct,92",7321
"Nov,92",4605
"Dec,92",6341
"Jan,93",5598
"Feb,93",10782
"Mar,93",9330
"Apr,93",6623
"May,93",9008
"Jun,93",10459
"Jul,93",8991
"Aug,93",8560
"Sep,93",9472
"Oct,93",10563
"Nov,93",11186
"Dec,93",8839
"Jan,94",6136.25158254
"Feb,94",8525.54095713
"Mar,94",9844.86061991
"Apr,94",5843.1676005
"May,94",3755.10798596
"Jun,94",6519.07140888
"Jul,94",4658.5100629
"Aug,94",3463.8412775
"Sep,94",4510.5836561
"Oct,94",3709.5604334
"Nov,94",5483.18268703
"Dec,94",2931.62181
"Jan,95",2991.4208498
"Feb,95",4342.43974433
"Mar,95",3190.85117824
"Apr,95",3970.02100849
"May,95",6594.06571977
"Jun,95",8309.0570287
"Jul,95",4552.83000635
"Aug,95",6525.86578904
"Sep,95",7965
"Oct,95",9109.17426515
"Nov,95",8121.00166524
"Dec,95",5729.279013
"Jan,96",4920.095427
"Feb,96",9164.90102164
"Mar,96",8093.7666368
"Apr,96",13726.66593732
"May,96",14650.7926674
"Jun,96",13747.21739221
"Jul,96",6961.01729325
"Aug,96",5434.0371388
"Sep,96",6987.15285977
"Oct,96",13313.33904
"Nov,96",13663.78778344
"Dec,96",9375.97441499
"Jan,97",13435.79735198
"Feb,97",8443.2644784
"Mar,97",8027.35318762
"Apr,97",6520.94671675
"May,97",8534.867593
"Jun,97",12117.85533053
"Jul,97",10035.41389085
"Aug,97",5637.65459968
"Sep,97",10219.84478611
"Oct,97",12844.78340366
"Nov,97",12717.03269282
"Dec,97",8351.11323977
"Jan,98",7666.91996341
"Feb,98",11180.53442967
"Mar,98",19260.83951068
"Apr,98",12468.98988513
"May,98",14700.23071564
"Jun,98",17112.07450566
"Jul,98",9771.64515999
"Aug,98",3724.89810295
"Sep,98",4639.83105
"Oct,98",8654.9725
"Nov,98",8901.76586697
"Dec,98",8669.04143
"Jan,99",7135.9323486
"Feb,99",10290.3902358
"Mar,99",9721.62345585
"Apr,99",9140.4089679
"May,99",15761.585786
"Jun,99",8269.90834775
"Jul,99",13062.07454297
"Aug,99",7758.0427988
"Sep,99",6606.77168938
"Oct,99",11510.74307425
"Nov,99",23983.9512187
"Dec,99",8328.0243546
"Jan,00",11494.014983
"Feb,00",22288.327472
"Mar,00",16945.49356102
"Apr,00",21022.0547635
"May,00",4706.02376903
"Jun,00",7873.18236505
"Jul,00",8034.221514
"Aug,00",12877.496434
"Sep,00",6389.403028
"Oct,00",9120.7599039
"Nov,00",11501.0426756
"Dec,00",2665.27007098
"Jan,01",7521.79999996
"Feb,01",7400.01341502
"Mar,01",11311.45776529
"Apr,01",6505.309317
"May,01",9939.8957364
"Jun,01",20296.7364587
"Jul,01",8578.322995
"Aug,01",7953.80270505
"Sep,01",5345.5245853
"Oct,01",15834.92777351
"Nov,01",12629.62651018
"Dec,01",15237.49396262
"Jan,02",14446.89176836
"Feb,02",6574.31856111
"Mar,02",12920.0196752
"Apr,02",10535.55730115
"May,02",8962.22651148
"Jun,02",16535.92030558
"Jul,02",4514.26008725
"Aug,02",4005.3
"Sep,02",7295.0752813
"Oct,02",7832.82972
"Nov,02",9933.29420798
"Dec,02",6878.56327296
"Jan,03",7126.53613996
"Feb,03",7139.39480124
"Mar,03",5892.65
"Apr,03",8361.74350765
"May,03",8737.2210883
"Jun,03",15888.870561
"Jul,03",9308.87936071
"Aug,03",9681.51216103
"Sep,03",15512.63070915
"Oct,03",9667.17751749
"Nov,03",17033.56690923
"Dec,03",8958.6272096
"Jan,04",13736.055948
"Feb,04",22095.412884
"Mar,04",17415.497102
"Apr,04",10213.999757
"May,04",15737.584599
"Jun,04",8001.1668248
"Jul,04",8734.1033883
"Aug,04",8406.3499236
"Sep,04",9675.8523049
"Oct,04",12391.82924101
"Nov,04",8578.47905097
"Dec,04",12598.99378304
"Jan,05",6297.5747382
"Feb,05",12624.878162
"Mar,05",10336.731921
"Apr,05",5137.4671395
"May,05",5953.4044898
"Jun,05",13979.423373
"Jul,05",4923.8567865
"Aug,05",11956.018272
"Sep,05",17731.803167
"Oct,05",7962.7769937
"Nov,05",8018.0523613
"Dec,05",10332.627578
"Jan,06",8037.2739169
"Feb,06",6161.90560355
"Mar,06",13339.21732529
"Apr,06",7831.0423925
"May,06",12356.07021625
"Jun,06",9891.7921295
"Jul,06",6924.792943
"Aug,06",5266.7298418
"Sep,06",10584.525161
"Oct,06",9815.6168664
"Nov,06",17366.099425
"Dec,06",11589.69408225
"Jan,07",15375.050078
"Feb,07",12182.629082
"Mar,07",16438.87315
"Apr,07",11381.451902
"May,07",17097.487965
"Jun,07",16500.4656
"Jul,07",5915.2072375
"Aug,07",10147.423416
"Sep,07",7280.610413
"Oct,07",10901.875565
"Nov,07",24090.22767002
"Dec,07",21470.854214
"Jan,08",27068.37322
"Feb,08",12150.073576
"Mar,08",7277.99999999
"Apr,08",28373.218729
"May,08",32304.03648
"Jun,08",16479.546446
"Jul,08",14965.669585
"Aug,08",3428.6
"Sep,08",22119.9
"Oct,08",26031.4
"Nov,08",15292.330128
"Dec,08",1307.9128625
"Jan,09",3655.4
"Feb,09",3135.5
"Mar,09",4206.3
"Apr,09",18337.25
"May,09",67728.7375564
"Jun,09",30019.1202826
"Jul,09",5237.414728
"Aug,09",10708.76160728
"Sep,09",16579.931834
"Oct,09",7397.66372578
"Nov,09",7665.6974051
"Dec,09",59295.4631485
"Jan,10",7225.21912
"Feb,10",8197.9082555
"Mar,10",13262.5616931
"Apr,10",13365.7623859
"May,10",6606.655136
"Jun,10",12286.303443
"Jul,10",8875.7915
"Aug,10",9880.911171
"Sep,10",8659.3631155
"Oct,10",9190.076377
"Nov,10",21936.30675815
"Dec,10",11648.15889344
"Jan,11",12020.87802272
"Feb,11",8409.6420415
"Mar,11",31455.62812477
"Apr,11",11380.296394
"May,11",14826.153581
"Jun,11",13463.7189944561
"Jul,11",10748.734421
"Aug,11",2313.04948
"Sep,11",3575.382
"Oct,11",3821.9978472
"Nov,11",10061.254686
"Dec,11",7412.12339225
"Jan,12",10039.138071
"Feb,12",9945.315401312
"Mar,12",19130.619164
"Apr,12",10826.775618
"May,12",18689.20838036
"Jun,12",6536.6266641
"Jul,12",13782.421662
"Aug,12",14493.55985959
"Sep,12",15212.6366286
"Oct,12",16963.779717
"Nov,12",11084.349588
"Dec,12",12228.149463
"Jan,13",17004.63425
"Feb,13",14133.666692
"Mar,13",17360.729301909
"Apr,13",17000.289216429
"May,13",21675.051182
"Jun,13",13370.72765945
"Jul,13",12241.443084
"Aug,13",10401.64062
"Sep,13",16898.3420915
"Oct,13",24618.9015005
"Nov,13",14503.7902565
"Dec,13",12303.13013
"Jan,14",13416.156153
"Feb,14",10820.9245895
"Mar,14",13045.2481743
"Apr,14",19584.6120583
"May,14",16782.7751308
"Jun,14",24850.339159
"Jul,14",16320.9200525
"Aug,14",3397.57758013
"Sep,14",20162.1848272
"Oct,14",14547.4439856
"Nov,14",15428.4743998
"Dec,14",6244.21351654
