date,XS_Mean,XS_Std_dev,perc_25,perc_75,IQR,Max,Min,RF,recession
01-Jan-1960,11.49,6.66,6.72,14,7.29,21.88,1.86,3.73,-100
01-Feb-1960,10.59,5.35,6.85,13.92,7.07,15.23,1.96,3.85,-100
01-Mar-1960,10.49,5.45,6.73,13.79,7.06,16.06,1.87,3.89,-100
01-Apr-1960,10.4,6.3,6.11,13.72,7.61,18.57,0.54,3.33,-100
01-May-1960,10.17,5.8,5.85,13.68,7.84,16.84,1.19,3.25,100
01-Jun-1960,10,4.66,6.59,13.32,6.73,13.81,2.31,2.81,100
01-Jul-1960,10.19,4.42,6.76,13.48,6.72,13.81,2.92,2.57,100
01-Aug-1960,9.71,4.31,6.13,13.32,7.19,13.81,3.01,2.16,100
01-Sep-1960,9.36,4.16,6,13.22,7.22,13.71,3.23,1.84,100
01-Oct-1960,9.52,4.83,4.76,13.25,8.49,13.63,2.48,2.2,100
01-Nov-1960,9.99,4.92,5.16,13.45,8.29,15.83,2.91,2.04,100
01-Dec-1960,9.64,4.9,4.62,13.52,8.9,14.22,2.67,2.04,100
01-Jan-1961,9.84,4.45,5.37,13.37,8.01,13.81,3.24,1.92,100
01-Feb-1961,10.72,4.8,6.21,13.82,7.61,17.49,3.78,1.96,100
01-Mar-1961,11.01,5.54,6.04,13.93,7.89,20.03,3.5,2.12,-100
01-Apr-1961,11.1,5.91,5.87,13.96,8.09,20.97,3.39,2.04,-100
01-May-1961,10.16,5.43,5.57,13.98,8.41,15.84,1.46,2.2,-100
01-Jun-1961,9.73,5.63,5.43,13.94,8.51,14.22,0,2.2,-100
01-Jul-1961,9.89,5.86,5.4,13.93,8.53,15.59,0,2.24,-100
01-Aug-1961,7.07,7.68,0.85,13.6,12.76,14.05,-6.32,2.08,-100
01-Sep-1961,9.63,5.8,5.01,13.92,8.91,14.41,0,1.96,-100
01-Oct-1961,10.36,6.66,5.17,13.93,8.76,19.9,0,2,-100
01-Nov-1961,9.74,5.68,5.54,13.94,8.41,14.1,0,2.04,-100
01-Dec-1961,8.61,6.06,2.92,13.85,10.93,15.9,0,2.12,-100
01-Jan-1962,6.85,6.18,0.54,12.93,12.39,14.08,-0.22,2.32,-100
01-Feb-1962,7.18,6.36,0.64,13.22,12.58,14.01,-0.08,2.53,-100
01-Mar-1962,7.4,6.57,0.81,13.59,12.78,15.01,0,2.57,-100
01-Apr-1962,7.04,6.12,1.01,12.74,11.73,13.85,0,2.49,-100
01-May-1962,7.48,6.28,1.38,13.3,11.92,14.81,0,2.65,-100
01-Jun-1962,7.52,6.25,1.64,13.04,11.39,16.34,0,2.65,-100
01-Jul-1962,6.62,5.56,1.2,12.19,10.99,13.23,0,2.85,-100
01-Aug-1962,2.9,12.18,0.77,11.67,10.9,13.18,-32.17,2.81,-100
