date,XS_Mean,XS_Std_dev,perc_25,perc_75,IQR,Max,Min,RF,recession
01-Jan-1960,18.4,4.2,16.53,19.49,2.96,27.34,12.66,,-100
01-Feb-1960,18.16,4.22,16.25,18.76,2.51,27.43,12.7,,-100
01-Mar-1960,17.94,4.24,15.99,18.14,2.14,27.44,12.74,,-100
01-Apr-1960,17.73,4.28,15.75,17.6,1.85,27.44,12.77,,-100
01-May-1960,17.23,4.42,14.99,17.53,2.54,27.39,12.81,,100
01-Jun-1960,16.76,4.65,13.85,17.51,3.66,27.28,12.69,,100
01-Jul-1960,16.66,4.64,13.81,17.48,3.68,27.11,12.37,,100
01-Aug-1960,16.14,4.95,13.11,17.46,4.35,26.95,11.21,,100
01-Sep-1960,15.92,5.05,12.72,17.44,4.72,26.79,10.85,,100
01-Oct-1960,15.59,5.22,11.79,17.41,5.63,26.57,10.41,,100
01-Nov-1960,15.31,5.38,11.01,17.39,6.37,26.35,9.98,,100
01-Dec-1960,14.83,5.74,9.53,17.37,7.84,26.08,9.45,,100
01-Jan-1961,14.21,6.31,8.16,17.35,9.19,25.8,7.54,,100
01-Feb-1961,14.03,6.4,7.87,17.34,9.47,25.49,6.98,,100
01-Mar-1961,13.57,6.81,6.89,17.33,10.43,25.14,5.68,,-100
01-Apr-1961,13.74,6.46,7.4,17.31,9.91,24.79,6.38,,-100
01-May-1961,13.27,6.9,6.39,17.3,10.91,24.44,5.03,,-100
01-Jun-1961,13.38,6.61,6.75,17.29,10.54,24.11,5.57,,-100
01-Jul-1961,12.56,7.53,4.92,17.27,12.35,23.75,3.1,3.71,-100
01-Aug-1961,11.53,8.72,2.66,17.26,14.6,23.2,-0.03,3.8,-100
01-Sep-1961,11.71,8.29,3.23,17.25,14.02,22.73,0.75,3.88,-100
01-Oct-1961,11.12,8.92,2.03,17.25,15.22,22.21,-0.97,3.74,-100
01-Nov-1961,12.03,7.5,4.27,17.25,12.98,21.8,2.23,3.73,-100
01-Dec-1961,9.43,8.4,2.92,17.12,14.2,21.32,-0.79,3.8,-100
01-Jan-1962,8.17,8.68,0.14,16.9,16.76,20.84,-0.98,3.85,-100
01-Feb-1962,8.52,8.25,1.04,16.9,15.86,20.48,-0.29,3.93,-100
01-Mar-1962,8.55,8.17,1.18,16.9,15.72,20.17,-0.22,3.67,-100
01-Apr-1962,7.84,8.78,0.01,16.88,16.87,19.77,-1.83,3.6,-100
01-May-1962,7.81,8.7,-0.06,16.86,16.92,19.38,-1.66,3.57,-100
01-Jun-1962,8.29,8.13,0.8,16.83,16.03,19.05,-0.39,3.58,-100
01-Jul-1962,8.5,7.87,1.19,16.8,15.61,18.7,-0.39,3.75,-100
01-Aug-1962,8.04,8.17,0.22,16.78,16.55,18.3,-0.33,3.78,-100
01-Sep-1962,8.16,7.98,0.76,16.75,16,17.96,-0.26,3.65,-100
01-Oct-1962,8.64,7.51,1.43,16.73,15.3,17.69,-0.2,3.61,-100
01-Nov-1962,8.85,7.34,1.58,16.72,15.14,17.44,-0.21,3.62,-100
01-Dec-1962,8.16,6.87,2.84,16.29,13.45,17.21,-0.09,3.6,-100
01-Jan-1963,8.93,7.14,1.91,16.7,14.79,17.2,0.01,3.53,-100
01-Feb-1963,9.15,7.01,2.15,16.61,14.46,17.2,-0.02,3.65,-100
01-Mar-1963,10.14,6.95,2.46,16.51,14.05,17.19,0.02,3.65,-100
01-Apr-1963,10.02,6.82,2.57,16.39,13.82,17.19,0.11,3.69,-100
01-May-1963,9.97,6.69,2.78,16.24,13.46,17.19,0.28,3.68,-100
01-Jun-1963,9.86,6.51,3.15,16.02,12.88,17.18,0.54,3.73,-100
01-Jul-1963,9.57,6.5,3,15.91,12.91,17.17,0.5,3.79,-100
01-Aug-1963,9.38,6.54,2.8,15.81,13.02,17.16,0.43,3.83,-100
01-Sep-1963,9.69,6.35,3.13,15.73,12.6,17.15,0.47,3.88,-100
01-Oct-1963,9.93,6.24,3.48,15.66,12.18,17.13,0.55,3.88,-100
01-Nov-1963,10.25,6.33,3.67,15.6,11.93,17.12,0.55,3.95,-100
01-Dec-1963,9.29,6.45,2.95,14.93,11.98,17.1,0.48,3.94,-100
01-Jan-1964,10.39,6.5,3.58,15.57,11.99,17.08,0.45,4.01,-100
01-Feb-1964,10.3,6.49,3.44,15.49,12.05,17.06,0.46,4.01,-100
01-Mar-1964,10.44,6.49,3.4,15.46,12.06,17.04,0.5,4.06,-100
01-Apr-1964,10.27,6.52,3.1,15.42,12.32,17.02,0.5,4.13,-100
01-May-1964,10.3,6.52,3.04,15.38,12.34,17,0.58,4.1,-100
01-Jun-1964,10.06,6.42,2.91,15.33,12.42,16.98,0.69,4.04,-100
01-Jul-1964,10.01,6.38,2.84,15.28,12.44,16.96,0.75,3.99,-100
01-Aug-1964,9.7,6.38,2.58,15.21,12.63,16.93,0.67,3.98,-100
01-Sep-1964,9.41,6.39,2.37,15.15,12.77,16.92,0.59,4.03,-100
01-Oct-1964,9.28,6.38,2.31,15.07,12.76,16.9,0.63,4,-100
01-Nov-1964,9.13,6.47,2.15,14.99,12.84,16.89,0.63,4.02,-100
01-Dec-1964,8.02,6.32,2.78,13.45,10.67,16.87,0.54,4.09,-100
01-Jan-1965,8.64,6.6,1.83,14.87,13.04,16.86,0.43,4.07,-100
01-Feb-1965,8.39,6.74,1.55,14.87,13.31,16.85,0.36,4.03,-100
01-Mar-1965,8.5,6.68,1.71,14.86,13.15,16.84,0.31,4.09,-100
01-Apr-1965,8.31,6.78,1.41,14.86,13.45,16.84,0.25,4.07,-100
01-May-1965,8.23,6.85,1.27,14.86,13.59,16.83,0.2,4.08,-100
01-Jun-1965,8.18,6.87,1.2,14.85,13.64,16.82,0.28,4.09,-100
01-Jul-1965,8.13,6.79,1.27,14.84,13.57,16.81,0.13,4.07,-100
01-Aug-1965,7.87,6.95,0.64,14.83,14.19,16.8,0.14,4.1,-100
01-Sep-1965,7.89,6.91,0.93,14.83,13.89,16.8,0.02,4.17,-100
01-Oct-1965,8.14,6.7,1.44,14.83,13.38,16.8,-0.1,4.27,-100
01-Nov-1965,8.11,6.68,1.47,14.83,13.36,16.8,-0.17,4.34,-100
01-Dec-1965,7.34,6.37,2.67,13.29,10.61,16.79,-0.25,4.44,-100
01-Jan-1966,7.87,6.86,0.96,14.81,13.85,16.78,-0.39,4.76,-100
01-Feb-1966,7.93,6.9,0.92,14.8,13.88,16.76,-0.74,4.79,-100
01-Mar-1966,8.32,6.58,1.72,14.79,13.07,16.74,-0.41,4.98,-100
01-Apr-1966,8.41,6.55,1.82,14.78,12.96,16.72,-0.52,4.72,-100
01-May-1966,8.57,6.64,1.72,14.76,13.05,16.7,-0.58,4.8,-100
01-Jun-1966,8.48,6.49,1.96,14.75,12.79,16.68,-0.5,4.88,-100
