date,Equity Risk Premium (1yr)
01-Jan-1960,-4.78
01-Feb-1960,-4.53
01-Mar-1960,-5.61
01-Apr-1960,-5.18
01-May-1960,-5.33
01-Jun-1960,-4.7
01-Jul-1960,-5.07
01-Aug-1960,-4.22
01-Sep-1960,-3.78
01-Oct-1960,-3.71
01-Nov-1960,-4.14
01-Dec-1960,-3.62
01-Jan-1961,-3.09
01-Feb-1961,-3.04
01-Mar-1961,-3.35
01-Apr-1961,-3.28
01-May-1961,-3.44
01-Jun-1961,-3.49
01-Jul-1961,-3.05
01-Aug-1961,-2.65
01-Sep-1961,-2.72
01-Oct-1961,-2.93
01-Nov-1961,-2.71
01-Dec-1961,-0.76
01-Jan-1962,0.68
01-Feb-1962,0.35
01-Mar-1962,0.27
01-Apr-1962,0.35
01-May-1962,-0.48
01-Jun-1962,0.58
01-Jul-1962,1
01-Aug-1962,0.85
01-Sep-1962,1.15
01-Oct-1962,0.96
01-Nov-1962,1.15
01-Dec-1962,2.7
01-Jan-1963,1.47
01-Feb-1963,1.78
01-Mar-1963,2.08
01-Apr-1963,2.02
01-May-1963,2.18
01-Jun-1963,2.93
01-Jul-1963,2.99
01-Aug-1963,3.03
01-Sep-1963,3.11
01-Oct-1963,2.47
01-Nov-1963,2.88
01-Dec-1963,3.64
01-Jan-1964,2.84
01-Feb-1964,3.84
01-Mar-1964,3.76
01-Apr-1964,4.02
01-May-1964,3.04
01-Jun-1964,2.9
01-Jul-1964,1.76
01-Aug-1964,1.09
01-Sep-1964,0.76
01-Oct-1964,0.58
01-Nov-1964,0.25
01-Dec-1964,1.75
01-Jan-1965,1.12
01-Feb-1965,1.03
01-Mar-1965,1.09
01-Apr-1965,1.09
01-May-1965,0.13
01-Jun-1965,1.25
01-Jul-1965,1.02
01-Aug-1965,1.04
01-Sep-1965,1.25
01-Oct-1965,1.28
01-Nov-1965,1.12
01-Dec-1965,2.19
01-Jan-1966,1.26
01-Feb-1966,1.03
01-Mar-1966,1.25
01-Apr-1966,1.44
01-May-1966,1.48
01-Jun-1966,1.4
01-Jul-1966,1.67
01-Aug-1966,1.79
01-Sep-1966,2.09
01-Oct-1966,2.22
01-Nov-1966,2.17
01-Dec-1966,3.53
01-Jan-1967,2.81
01-Feb-1967,2.83
01-Mar-1967,3.35
01-Apr-1967,3.15
01-May-1967,3.54
01-Jun-1967,3.77
01-Jul-1967,3.44
01-Aug-1967,4.05
01-Sep-1967,4.45
01-Oct-1967,4.47
