date,model01,model02,model03,model04,model05,model06,model07,model08,model09,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,RF,recession,zeros,ModelNum
,historical mean as far back as data allows,historical mean using last five years,E/P minus nominal 10yr yield,Shiller: 1/CAPE minus nominal 10yr yield,E/P minus real 10yr yield,expected E/P minus real 10yr yield,expected E/P minus nominal 10yr yield,Two-stage DDM,6 stage DDM by Damodaran,6 stage free cash flow DDM by Damodaran,fama-french,fama-french and momentum,"fama-french, momentum and inflation","Adrian, Crump, and Moench",Time-series predictor is D/P,Best predictor in Goyal and Welch,Best predictor in Campbell and Thompson,Best predictor in Fama French 2002,Baker Wurgler sentiment measure,Duke survey of CFOs,,,,
01-Jan-1960,12.05,17.24,,,,,,,,,15.19,15.69,15.81,,6.6,13.24,13.71,,,,,-100,0,8
01-Feb-1960,12.11,17.81,,,,,,,,,15.15,15.65,15.77,,6.37,9.88,13.43,,,,,-100,0,8
01-Mar-1960,12.16,18.28,,,,,,,,,15.1,15.6,15.73,,6.29,28.94,13.49,,,,,-100,0,8
01-Apr-1960,12.22,18.72,,,,,,,,,15.04,15.54,15.66,,5.83,23.78,13.12,,,,,-100,0,8
01-May-1960,12.27,19.01,,,,,,,,,14.98,15.48,15.6,,5.74,28.39,13.21,,,,,100,0,8
01-Jun-1960,12.33,19.2,,,,,,,,,14.94,15.43,15.55,,4.97,19.67,12.02,,,,,100,0,8
01-Jul-1960,12.37,19.23,,,,,,,,,14.88,15.37,15.49,,4.41,28.88,11.12,,,,,100,0,8
01-Aug-1960,12.41,19.24,,,,,,,,,14.84,15.32,15.44,,3.82,16.77,10.19,,,,,100,0,8
01-Sep-1960,12.44,19.12,,,,,,,,,14.8,15.27,15.39,,3.21,12.41,8.46,,,,,100,0,8
01-Oct-1960,12.45,18.72,,,,,,,,,14.74,15.21,15.33,,2.8,15.16,7.31,,,,,100,0,8
01-Nov-1960,12.45,18.26,,,,,,,,,14.7,15.16,15.28,,2.13,25.9,5.43,,,,,100,0,8
01-Dec-1960,12.44,17.73,,,,,,,,,14.66,15.12,15.24,,1.71,20.95,4.15,,,,,100,0,8
01-Jan-1961,12.44,17.15,,,,,,,,,14.66,15.11,15.23,,1.52,13.57,3.07,,,,,100,0,8
01-Feb-1961,12.42,16.49,,,,,,,,,14.67,15.12,15.24,,0.96,13.71,1.2,,,,,100,0,8
01-Mar-1961,12.4,15.77,,,,,,,,,14.7,15.15,15.27,,1.29,18.74,1.87,,,,,-100,0,8
01-Apr-1961,12.37,15.06,,,,,,,,,14.74,15.18,15.3,,0.92,17.36,0.53,,,,,-100,0,8
01-May-1961,12.33,14.37,,,,,,,,,14.79,15.21,15.33,,0.69,19.55,-0.17,,,,,-100,0,8
01-Jun-1961,12.29,13.74,,,,,,,,,14.81,15.22,15.34,,0.48,21.03,-0.97,,,,,-100,0,8
01-Jul-1961,12.26,13.07,,,,,,,,,14.84,15.25,15.37,,0.68,13.4,-0.23,,,,2.9,-100,0,9
01-Aug-1961,12.22,12.24,,,,,,,,,14.86,15.27,15.39,,0.07,7.45,-2.19,,,,2.84,-100,0,9
01-Sep-1961,12.18,11.5,,,,,,,,,14.9,15.31,15.43,,0.19,8.07,-1.8,,,,3.04,-100,0,9
01-Oct-1961,12.15,10.72,,,,,,,,,14.95,15.36,15.48,,0.89,9.59,0.71,,,,2.94,-100,0,9
01-Nov-1961,12.11,10.09,,,,,,,,,15,15.41,15.53,,0.93,4.52,1,,,,2.93,-100,0,9
01-Dec-1961,12.07,9.45,,,,,,,2.92,2.92,15.03,15.44,15.55,,0.91,3.26,0.84,,,,3.03,-100,0,11
01-Jan-1962,12.04,8.88,1.38,1.31,,,,-0.25,,,15.03,15.43,15.55,,0.42,3.84,-0.85,,,,3.14,-100,0,12
01-Feb-1962,12.02,8.52,1.16,1.2,,,,-0.29,,,15.03,15.42,15.54,,0.8,10.26,0.04,,,,3.19,-100,0,12
01-Mar-1962,12.02,8.36,1.05,1.18,,,,-0.22,,,15.01,15.4,15.52,,1.89,12.58,2.48,,,,3.01,-100,0,12
01-Apr-1962,12.04,8.14,0.83,1.05,,,,-0.26,,,14.97,15.36,15.48,,2.58,11.03,3.32,,,,2.89,-100,0,12
01-May-1962,12.05,7.98,0.72,0.95,,,,-0.32,,,14.9,15.29,15.41,,2.78,32.64,2.94,,,,2.92,-100,0,12
01-Jun-1962,12.08,7.92,0.65,0.92,,,,-0.39,,,14.83,15.21,15.33,,3.08,12,3.53,,,,2.85,-100,0,12
01-Jul-1962,12.08,7.89,0.59,0.92,,,,-0.39,,,14.76,15.14,15.25,,2.53,6.5,1.88,,,,3.06,-100,0,12
01-Aug-1962,12.1,7.94,0.52,0.82,,,,-0.33,,,14.69,15.06,15.18,,3.1,12.52,3.27,,,,3.11,-100,0,12
01-Sep-1962,12.12,8.04,0.58,0.89,,,,-0.26,,,14.62,14.98,15.1,,2.98,11.03,2.73,,,,2.98,-100,0,12
01-Oct-1962,12.15,8.32,0.57,0.86,,,,-0.2,,,14.53,14.9,15.01,,3.63,18.88,4.37,,,,2.84,-100,0,12
01-Nov-1962,12.18,8.6,0.44,0.65,,,,-0.21,,,14.47,14.82,14.94,,4.11,15.23,5.77,,,,2.86,-100,0,12
01-Dec-1962,12.22,9.03,0.53,0.69,,,,-0.09,3.56,3.56,14.4,14.75,14.87,,3.66,12.56,4.24,,,,2.97,-100,0,14
01-Jan-1963,12.25,9.43,0.75,0.85,,,,0.01,,,14.36,14.7,14.82,,3.37,17.02,3.1,,,,3.02,-100,0,12
01-Feb-1963,12.26,9.63,0.69,0.72,,,,-0.02,,,14.3,14.64,14.76,,2.61,12.16,0.48,,,,2.87,-100,0,12
