date,all,hist_mean,ddm,cross_section,time_series,surveys,RF,recession
01-Jan-1960,-6.1,9.29,0.38,13.68,4.81,,3.96,-100
01-Feb-1960,-5.92,9.35,0.37,13.67,4.33,,3.48,-100
01-Mar-1960,-5.15,9.25,0.39,13.45,4.57,,4.2,-100
01-Apr-1960,-4.73,9.27,0.39,13.23,4.78,,2.28,-100
01-May-1960,-5.17,9.24,0.39,13.4,4.79,,3.24,100
01-Jun-1960,-5.55,9.2,0.38,13.5,5.03,,2.88,100
01-Jul-1960,-4.84,9.15,0.38,13.25,5.29,,1.56,100
01-Aug-1960,-4.88,9.19,0.38,13.35,4.6,,2.04,100
01-Sep-1960,-3.03,9.12,0.38,12.82,4.4,,1.92,100
01-Oct-1960,-2.48,8.96,0.37,12.72,4.59,,2.64,100
01-Nov-1960,-3.6,8.9,0.39,13.12,4.57,,1.56,100
01-Dec-1960,-4.16,8.84,0.37,13.42,4.22,,1.92,100
01-Jan-1961,-5.44,8.85,0.39,13.86,4.12,,2.28,100
01-Feb-1961,-5.98,8.76,0.37,14.08,4.34,,1.68,100
01-Mar-1961,-6.22,8.58,0.38,14.19,4.82,,2.4,-100
01-Apr-1961,-5.94,8.54,0.38,14.11,4.72,,2.04,-100
01-May-1961,-6.19,8.51,0.4,14.25,4.4,,2.16,-100
01-Jun-1961,-5.77,8.48,0.39,13.95,5.28,,2.4,-100
01-Jul-1961,-5.64,8.49,0.37,14.09,4.23,,2.16,-100
01-Aug-1961,-5.61,8.29,0.36,14.25,4.2,,1.68,-100
01-Sep-1961,-5.09,8.32,0.38,14,4.31,,2.04,-100
01-Oct-1961,-5.16,8.15,0.37,14.14,4.38,,2.28,-100
01-Nov-1961,-6.1,8.17,0.36,14.4,4.6,,1.8,-100
01-Dec-1961,-2.91,8.14,-0.36,14.29,4.26,,2.28,-100
01-Jan-1962,-0.65,8.19,0.92,13.9,4.25,,2.88,-100
01-Feb-1962,-1.26,8.37,0.86,13.97,4.44,,2.4,-100
01-Mar-1962,-1.01,8.47,0.84,13.81,4.32,,2.4,-100
01-Apr-1962,-5.29,8.44,0.77,13.24,13.24,,2.64,-100
01-May-1962,-3.17,8.48,0.72,12.5,12.15,,2.88,-100
01-Jun-1962,4.24,8.55,0.7,11.74,3.79,,2.4,-100
01-Jul-1962,3.69,8.51,0.69,12.11,3.65,,3.24,-100
01-Aug-1962,3.64,8.4,0.66,12.2,3.58,,2.76,-100
01-Sep-1962,4.5,8.5,0.7,11.75,3.49,,2.52,-100
01-Oct-1962,4.54,8.52,0.69,11.72,3.55,,3,-100
01-Nov-1962,2.52,8.56,0.63,12.53,3.78,,2.4,-100
01-Dec-1962,0.95,8.7,0.54,12.55,8.27,,2.76,-100
01-Jan-1963,-0.82,8.69,0.75,12.82,7.71,,3,-100
01-Feb-1963,2.13,8.61,0.71,12.57,4.43,,2.76,-100
01-Mar-1963,0.61,8.71,0.73,12.73,5.84,,2.76,-100
01-Apr-1963,0.14,8.68,0.82,13.02,5.99,,3,-100
01-May-1963,2.32,8.53,0.99,13.09,3.53,,2.88,-100
01-Jun-1963,6.97,8.25,1.28,12.87,-1.03,,2.76,-100
01-Jul-1963,4.4,7.87,1.24,12.74,3.5,,3.24,-100
01-Aug-1963,3.55,7.9,1.18,13.1,3.22,,3,-100
01-Sep-1963,3.72,8.05,1.19,12.89,3.35,,3.24,-100
01-Oct-1963,3.56,8.08,1.26,12.99,3.46,,3.48,-100
01-Nov-1963,3.68,8.07,1.15,12.87,3.37,,3.24,-100
01-Dec-1963,3.45,8.29,0.67,12.96,3.28,,3.48,-100
01-Jan-1964,3.08,8.4,0.98,12.58,3.55,,3.6,-100
01-Feb-1964,2.96,8.46,0.95,12.65,3.37,,3.12,-100
01-Mar-1964,2.68,8.48,0.95,12.72,3.56,,3.72,-100
01-Apr-1964,1.35,8.43,0.87,12.67,5.62,,3.48,-100
01-May-1964,0.84,8.54,0.87,12.71,5.95,,3.12,-100
01-Jun-1964,0.19,8.53,0.91,12.73,6.93,,3.6,-100
01-Jul-1964,0.7,8.48,0.95,12.81,6.24,,3.6,-100
01-Aug-1964,0.94,8.38,0.9,12.66,6.35,,3.36,-100
01-Sep-1964,0.47,8.38,0.87,12.81,6.43,,3.36,-100
01-Oct-1964,0.47,8.4,0.89,12.83,6.44,,3.48,-100
01-Nov-1964,0.69,8.34,0.9,12.76,6.47,,3.48,-100
01-Dec-1964,1.64,8.26,0.52,12.73,6.56,,3.72,-100
01-Jan-1965,0.32,8.28,0.8,12.91,6.4,,3.36,-100
01-Feb-1965,0.13,8.29,0.78,12.93,6.51,,3.6,-100
01-Mar-1965,0.25,8.34,0.76,12.8,6.64,,4.32,-100
01-Apr-1965,-0.12,8.34,0.74,12.93,6.72,,3.72,-100
01-May-1965,0.14,8.34,0.72,12.82,6.64,,3.72,-100
01-Jun-1965,1.17,8.33,0.77,12.37,6.69,,4.2,-100
01-Jul-1965,0.79,8.31,0.71,12.45,6.84,,3.72,-100
01-Aug-1965,0.51,8.34,0.73,12.62,6.69,,3.96,-100
01-Sep-1965,0.19,8.29,0.68,12.78,6.67,,3.72,-100
01-Oct-1965,-2.27,8.39,0.63,12.92,8.95,,3.72,-100
01-Nov-1965,-0.57,8.42,0.59,12.88,6.97,,4.2,-100
01-Dec-1965,0.6,8.42,0.36,12.91,6.93,,3.96,-100
01-Jan-1966,2.02,8.31,0.5,12.94,3.81,,4.56,-100
01-Feb-1966,-0.53,8.39,0.34,12.8,6.67,,4.2,-100
01-Mar-1966,0.06,8.46,0.51,12.56,6.78,,4.56,-100
01-Apr-1966,-0.05,8.47,0.47,12.66,6.59,,4.08,-100
01-May-1966,0.2,8.47,0.46,12.26,7.15,,4.92,-100
01-Jun-1966,0.25,8.51,0.5,12.13,7.46,,4.56,-100
01-Jul-1966,3.66,8.3,0.48,12.01,4.07,,4.2,-100
01-Aug-1966,4.38,8.32,0.31,11.46,4.07,,4.92,-100
01-Sep-1966,3.6,8.34,0.42,11.38,5.36,,4.8,-100
01-Oct-1966,1.03,8.46,0.42,11.59,7.67,,5.4,-100
01-Nov-1966,0.69,8.54,0.35,11.71,7.58,,4.8,-100
01-Dec-1966,2.48,8.49,0.58,11.67,7.69,,4.8,-100
01-Jan-1967,0.83,8.43,0.68,12.09,7.27,,5.16,-100
01-Feb-1967,0.66,8.38,0.62,12.04,7.53,,4.32,-100
01-Mar-1967,1.11,8.28,0.85,12.21,7.16,,4.68,-100
01-Apr-1967,2.47,8.1,0.67,12.34,5.21,,3.84,-100
01-May-1967,2.35,8.13,0.8,12.03,6.22,,3.96,-100
01-Jun-1967,3.39,7.96,0.63,12.06,4.91,,3.24,-100
01-Jul-1967,3.02,7.95,0.68,12.37,4.69,,3.72,-100
01-Aug-1967,4.84,7.94,0.8,12.28,3.25,,3.72,-100
01-Sep-1967,6.38,7.71,0.89,12.41,1.71,,3.84,-100
01-Oct-1967,7.14,7.61,0.76,12.18,1.22,,4.68,-100
01-Nov-1967,7.57,7.56,0.58,12.16,0.47,,4.32,-100
01-Dec-1967,4.89,7.61,0.32,12.33,2.46,,3.96,-100
01-Jan-1968,6.32,7.6,0.56,12.01,2.11,,4.8,-100
01-Feb-1968,3.97,7.75,0.45,11.72,4.86,,4.68,-100
01-Mar-1968,2.44,7.8,0.28,11.7,6.31,,4.56,-100
01-Apr-1968,0.49,7.85,0.24,12.26,7.17,,5.16,-100
01-May-1968,-0.24,7.94,0.13,12.38,7.41,,5.4,-100
01-Jun-1968,-0.23,8.09,0.26,12.38,7.47,,5.16,-100
01-Jul-1968,0.59,8.23,0.34,12.15,7.07,,5.76,-100
01-Aug-1968,0.27,8.22,0.29,12.13,7.38,,5.04,-100
01-Sep-1968,-0.7,8.21,0.22,12.38,7.83,,5.16,-100
01-Oct-1968,-1.25,8.24,0.16,12.41,8.22,,5.28,-100
01-Nov-1968,-0.56,8.28,0.16,12.72,6.86,,5.04,-100
01-Dec-1968,0.54,8.07,-0.17,12.5,6.48,,5.16,-100
01-Jan-1969,0.35,8.06,-0.08,12.39,6.37,,6.36,-100
01-Feb-1969,1.62,7.98,0,12.01,6.08,,5.52,-100
01-Mar-1969,3.4,7.82,0.04,12.08,4.18,,5.52,-100
01-Apr-1969,3.41,7.76,-0.06,12.16,3.8,,6.36,-100
01-May-1969,1.22,7.87,-0.28,12.11,5.84,,5.76,-100
01-Jun-1969,1.34,7.89,-0.4,11.71,6.45,,6.12,-100
01-Jul-1969,1.46,7.94,-0.35,11.33,7.18,,6.36,-100
01-Aug-1969,1.29,7.95,-0.37,11.58,6.81,,6,-100
01-Sep-1969,1.87,7.83,-0.77,11.41,5.97,,7.44,-100
01-Oct-1969,1.14,7.85,-0.52,11.68,6.54,,7.2,-100
01-Nov-1969,0.84,7.9,-0.72,11.48,6.96,,6.24,-100
01-Dec-1969,2.08,7.93,-0.34,11.34,7.08,,7.68,-100
01-Jan-1970,1.7,7.91,-0.85,10.84,7.17,,7.2,100
01-Feb-1970,3.26,7.73,-0.4,11,6.12,,7.44,100
01-Mar-1970,3.78,7.68,-0.43,10.88,5.81,,6.84,100
01-Apr-1970,4.87,7.58,-0.84,10.19,5.55,,6,100
01-May-1970,5.38,7.59,-0.97,9.72,5.76,,6.36,100
01-Jun-1970,6.27,7.65,-0.7,9.37,5.98,,6.96,100
01-Jul-1970,6.66,7.51,-0.43,9.73,5.46,,6.24,100
01-Aug-1970,6.54,7.31,-0.47,9.99,5.16,,6.36,100
01-Sep-1970,6.32,7.31,-0.37,10.22,5.04,,6.48,100
01-Oct-1970,6.7,7.28,-0.41,10.03,5.01,,5.52,100
01-Nov-1970,6.91,7.27,-0.01,10.2,5.11,,5.52,100
01-Dec-1970,5.93,7.26,0.15,10.52,5.24,,5.04,-100
01-Jan-1971,6.8,7.14,0.33,10.71,4.91,,4.56,-100
01-Feb-1971,7.22,7.07,0.39,10.66,4.74,,3.96,-100
01-Mar-1971,7.61,6.96,0.64,10.83,4.5,,3.6,-100
01-Apr-1971,6.67,7,0.44,11.08,4.58,,3.36,-100
01-May-1971,7.69,6.89,0.63,10.86,4.48,,3.48,-100
01-Jun-1971,8.42,6.56,0.49,10.9,3.75,,4.44,-100
01-Jul-1971,8.83,6.61,0.4,10.71,3.38,,4.8,-100
01-Aug-1971,8.78,6.61,0.57,10.84,3.42,,5.64,-100
01-Sep-1971,8.48,6.65,0.53,10.76,3.76,,4.44,-100
01-Oct-1971,8.64,6.75,0.52,10.47,4.14,,4.44,-100
01-Nov-1971,8.6,6.76,0.47,10.35,4.42,,4.44,-100
01-Dec-1971,6.29,6.74,0.1,10.79,4.45,,4.44,-100
01-Jan-1972,6.45,6.92,0.1,10.79,4.99,,3.48,-100
01-Feb-1972,5.83,6.99,0.05,10.85,5.4,,3,-100
01-Mar-1972,5.07,7.09,-0.04,10.94,5.78,,3.24,-100
01-Apr-1972,4.61,7.22,-0.11,10.91,6.08,,3.48,-100
01-May-1972,4.49,7.25,-0.02,10.9,6.35,,3.6,-100
01-Jun-1972,4.92,7.29,-0.01,10.76,6.22,,3.48,-100
01-Jul-1972,5.4,7.25,0.03,10.65,6.05,,3.72,-100
01-Aug-1972,5,7.23,-0.06,10.82,5.97,,3.48,-100
01-Sep-1972,5.09,7.27,-0.16,10.78,5.76,,4.08,-100
01-Oct-1972,5.07,7.37,-0.02,10.78,5.87,,4.8,-100
01-Nov-1972,5.05,7.32,0.19,11.07,5.71,,4.44,-100
01-Dec-1972,4.13,7.11,-0.26,11.08,5.31,,4.44,-100
01-Jan-1973,4.89,7.27,-0.15,10.87,5.7,,5.28,-100
01-Feb-1973,5.12,7.31,-0.22,10.56,5.99,,4.92,-100
01-Mar-1973,4.94,7.29,-0.31,10.5,6.18,,5.52,-100
01-Apr-1973,5.42,7.3,-0.3,10.21,6.28,,6.24,-100
01-May-1973,5.82,7.29,-0.37,9.98,6.28,,6.12,-100
01-Jun-1973,6.18,7.22,-0.36,9.92,6.12,,6.12,-100
01-Jul-1973,5.02,7.24,-0.57,10.29,6.22,,7.68,-100
01-Aug-1973,5.45,7.18,-0.54,10.18,6.12,,8.4,-100
01-Sep-1973,4.9,7.23,-0.31,10.48,6.36,,8.16,-100
01-Oct-1973,5.71,7.15,-0.2,10.29,6.23,,7.8,-100
01-Nov-1973,6.85,7.14,-0.27,9.66,6.23,,6.72,-100
01-Dec-1973,7.15,7.31,0.29,9.64,6.55,,7.68,100
01-Jan-1974,5.95,7.3,-0.44,9.64,6.77,,7.56,100
01-Feb-1974,6.57,7.31,-0.32,9.5,6.6,,6.96,100
01-Mar-1974,6.85,7.28,-0.44,9.44,6.32,,6.72,100
01-Apr-1974,7.48,7.26,-0.47,9.15,6.23,,9,100
01-May-1974,8.81,7.08,-0.28,8.82,6.04,,9,100
01-Jun-1974,9.63,6.95,-0.23,8.62,5.83,,7.2,100
01-Jul-1974,10.85,6.84,-0.34,8.16,5.46,,8.4,100
01-Aug-1974,11.37,6.85,-0.32,7.86,5.5,,7.2,100
01-Sep-1974,13.12,6.83,-0.25,7.16,5.32,,9.72,100
01-Oct-1974,11.72,6.8,-0.23,7.84,5.38,,6.12,100
01-Nov-1974,12.23,6.86,0.12,7.68,5.68,,6.48,100
01-Dec-1974,15,6.64,1.46,7.46,5.15,,8.4,100
01-Jan-1975,13.88,6.44,0.48,8.01,4.36,,6.96,100
01-Feb-1975,13.69,6.53,0.65,8.18,4.3,,5.16,100
01-Mar-1975,13.13,6.46,0.27,8.3,4.1,,4.92,100
01-Apr-1975,12.44,6.6,0.35,8.49,4.35,,5.28,-100
01-May-1975,13.02,6.43,0.67,8.7,4.06,,5.28,-100
01-Jun-1975,12.88,6.3,0.76,8.98,3.84,,4.92,-100
01-Jul-1975,13.98,6.38,1.23,8.76,3.8,,5.76,-100
01-Aug-1975,15.32,6.15,1.49,8.59,3.45,,5.76,-100
01-Sep-1975,16.92,6.05,2,8.36,3.06,,6.36,-100
01-Oct-1975,17.4,5.78,2.23,8.57,2.71,,6.72,-100
01-Nov-1975,16.85,5.8,1.93,8.62,2.46,,4.92,-100
01-Dec-1975,15.44,5.87,1.86,8.53,2.62,,5.76,-100
01-Jan-1976,16.24,5.79,2.01,9.09,2.37,,5.64,-100
01-Feb-1976,14.75,6,1.51,9.09,2.66,,4.08,-100
01-Mar-1976,13.56,6.32,1.32,9.18,3.22,,4.8,-100
01-Apr-1976,13.35,6.4,1.22,9.09,3.58,,5.04,-100
01-May-1976,12.66,6.47,0.78,9.03,3.69,,4.44,-100
01-Jun-1976,11.52,6.81,0.7,9.24,3.94,,5.16,-100
01-Jul-1976,11.43,6.87,0.68,9.15,4.22,,5.64,-100
01-Aug-1976,12.28,6.86,1.07,9.06,4.23,,5.04,-100
01-Sep-1976,12.87,6.63,1.18,9.16,3.86,,5.28,-100
01-Oct-1976,13.31,6.49,1.07,8.96,3.65,,4.92,-100
01-Nov-1976,13.38,6.57,1.24,8.96,3.75,,4.8,-100
01-Dec-1976,12.66,6.61,1.47,9.19,3.93,,4.8,-100
01-Jan-1977,12.72,6.45,0.84,8.99,3.91,,4.32,-100
01-Feb-1977,12.18,6.61,0.74,8.83,4.44,,4.2,-100
01-Mar-1977,12.22,6.64,0.81,8.72,4.81,,4.56,-100
01-Apr-1977,12.28,6.61,0.83,8.71,4.89,,4.56,-100
01-May-1977,12.55,6.56,0.96,8.67,4.93,,4.44,-100
01-Jun-1977,12.36,6.56,1.08,8.88,4.91,,4.8,-100
01-Jul-1977,12.22,6.6,0.93,8.78,4.94,,5.04,-100
01-Aug-1977,12.45,6.66,1.07,8.68,5.06,,5.28,-100
01-Sep-1977,12.29,6.66,0.95,8.69,5.03,,5.16,-100
01-Oct-1977,12.73,6.67,1.02,8.48,5.09,,5.88,-100
01-Nov-1977,12.8,6.61,1.11,8.64,4.93,,6,-100
01-Dec-1977,14.3,6.65,1.83,8.6,4.8,,5.88,-100
01-Jan-1978,13.07,6.62,0.88,8.3,4.85,,5.88,-100
01-Feb-1978,13.6,6.53,0.98,8.2,4.82,,5.52,-100
01-Mar-1978,13.66,6.42,0.97,8.29,4.64,,6.36,-100
01-Apr-1978,13.16,6.37,1.02,8.64,4.53,,6.48,-100
01-May-1978,13.03,6.31,0.99,8.75,4.41,,6.12,-100
01-Jun-1978,13.39,6.31,0.91,8.7,4,,6.48,-100
01-Jul-1978,13,6.32,0.93,8.97,3.9,,6.72,-100
01-Aug-1978,12.43,6.35,1.16,9.18,4.29,,6.72,-100
01-Sep-1978,12.68,6.23,1.18,9.18,4.19,,7.44,-100
01-Oct-1978,13.87,6.21,1.13,8.6,4.05,,8.16,-100
01-Nov-1978,13.79,6.13,1.17,8.78,3.87,,8.4,-100
01-Dec-1978,14.75,6.06,1.83,8.87,3.79,,9.36,-100
01-Jan-1979,13.7,6.01,1.38,9.09,3.74,,9.24,-100
01-Feb-1979,14.36,5.89,1.35,8.89,3.55,,8.76,-100
01-Mar-1979,13.98,5.91,1.4,9.17,3.35,,9.72,-100
01-Apr-1979,13.53,5.92,1.08,9.16,3.27,,9.6,-100
01-May-1979,13.85,6.05,1.03,9.05,2.94,,9.84,-100
01-Jun-1979,13.52,6.21,1.18,9.16,3.17,,9.72,-100
01-Jul-1979,13.28,6.25,1.14,9.21,3.29,,9.24,-100
01-Aug-1979,12.49,6.21,0.74,9.52,2.91,,9.24,-100
01-Sep-1979,11.94,6.4,0.69,9.56,3.04,,9.96,-100
01-Oct-1979,11.7,6.37,0.26,9.33,3.22,,10.44,-100
01-Nov-1979,12.85,6.21,0.81,9.57,2.64,,11.88,-100
01-Dec-1979,15.23,6.17,2.06,9.7,2.55,,11.4,-100
01-Jan-1980,11.25,6.31,0.36,9.88,2.56,,9.6,-100
01-Feb-1980,10.3,6.37,-0.24,9.85,2.61,,10.68,100
01-Mar-1980,10.74,6.36,-0.19,9.54,2.89,,14.52,100
01-Apr-1980,12.43,6.31,0.74,9.52,2.71,,15.12,100
01-May-1980,13.61,6.42,1.21,9.22,2.83,,9.72,100
01-Jun-1980,13.72,6.4,1.26,9.18,2.93,,7.32,100
01-Jul-1980,12.43,6.44,0.96,9.6,2.77,,6.36,100
01-Aug-1980,10.99,6.64,0.4,9.79,2.77,,7.68,-100
01-Sep-1980,10.01,6.81,0.27,10.01,2.9,,9,-100
01-Oct-1980,9.37,6.99,0.26,10.21,3,,11.4,-100
01-Nov-1980,8.64,6.86,0.23,10.86,2.53,,11.52,-100
01-Dec-1980,9.98,6.77,1,10.89,2.53,,15.72,-100
01-Jan-1981,8.36,6.94,0,10.63,2.64,,12.48,-100
01-Feb-1981,7.52,6.86,-0.5,10.59,2.91,,12.84,-100
01-Mar-1981,8.37,6.77,0.28,10.59,3.41,,14.52,-100
01-Apr-1981,8.79,6.45,-0.04,10.52,3.04,,12.96,-100
01-May-1981,8.6,6.37,-0,10.79,2.59,,13.8,-100
01-Jun-1981,8.53,6.36,-0.54,10.54,2.35,,16.2,-100
01-Jul-1981,7.18,6.45,-1.2,10.47,2.78,,14.88,-100
01-Aug-1981,6.47,6.54,-1.73,10.22,3.18,,15.36,100
01-Sep-1981,6.56,6.7,-2.07,9.75,3.41,,14.88,100
01-Oct-1981,6.94,6.76,-1.6,9.85,3.55,,14.52,100
01-Nov-1981,8.2,6.73,-1.03,9.72,3.55,,12.84,100
01-Dec-1981,10.55,6.78,0.45,9.54,3.73,,10.44,100
01-Jan-1982,7.91,6.75,-1.41,9.5,3.79,,9.6,100
01-Feb-1982,8.7,6.58,-1.19,9.39,3.72,,11.04,100
01-Mar-1982,9.17,6.42,-1.45,9.21,3.39,,11.76,100
01-Apr-1982,8.85,6.48,-1.33,9.39,3.41,,13.56,100
01-May-1982,9.68,6.47,-1.11,9.14,3.48,,12.72,100
01-Jun-1982,9.69,6.41,-1.45,8.99,3.34,,11.52,100
01-Jul-1982,11.18,6.4,-0.9,8.71,3.28,,12.6,100
01-Aug-1982,12.02,6.28,-0.45,8.83,3.07,,9.12,100
01-Sep-1982,14,6.29,0.62,8.86,2.69,,6.12,100
01-Oct-1982,14.08,6.04,1.08,9.41,2.49,,7.08,100
01-Nov-1982,13.03,6.12,0.91,9.67,2.42,,7.56,100
01-Dec-1982,13.2,6.19,1.44,9.67,2.56,,8.04,-100
