date,all,hist_mean,ddm,cross_section,time_series,surveys,RF,recession
01-Jan-1960,-5.43,9.73,0.4,15.1,5.29,,3.73,-100
01-Feb-1960,-5.66,9.77,0.39,14.92,6.03,,3.85,-100
01-Mar-1960,-4.81,9.76,0.4,14.63,5.75,,3.89,-100
01-Apr-1960,-4.11,9.75,0.4,14.48,5.27,,3.33,-100
01-May-1960,-3.89,9.71,0.4,14.38,5.29,,3.25,100
01-Jun-1960,-4.13,9.69,0.4,14.39,5.64,,2.81,100
01-Jul-1960,-4,9.65,0.4,14.38,5.57,,2.57,100
01-Aug-1960,-4.12,9.63,0.39,14.37,5.77,,2.16,100
01-Sep-1960,-3.77,9.6,0.39,14.16,5.96,,1.84,100
01-Oct-1960,-2.86,9.53,0.39,13.99,5.36,,2.2,100
01-Nov-1960,-2.17,9.44,0.4,13.89,4.9,,2.04,100
01-Dec-1960,-2.44,9.34,0.39,14.05,4.94,,2.04,100
01-Jan-1961,-3.26,9.3,0.4,14.41,5.1,,1.92,100
01-Feb-1961,-3.59,9.25,0.39,14.72,4.76,,1.96,100
01-Mar-1961,-3.93,9.16,0.39,14.97,4.66,,2.12,-100
01-Apr-1961,-3.98,9.06,0.39,15.04,4.67,,2.04,-100
01-May-1961,-4.34,8.98,0.4,15.09,5.16,,2.2,-100
01-Jun-1961,-4.17,8.95,0.4,15,5.28,,2.2,-100
01-Jul-1961,-3.93,8.93,0.39,14.97,5.08,,2.24,-100
01-Aug-1961,-4.77,8.85,0.38,14.95,6.39,,2.08,-100
01-Sep-1961,-3.68,8.79,0.39,14.95,5.05,,1.96,-100
01-Oct-1961,-3.26,8.68,0.39,14.95,4.67,,2,-100
01-Nov-1961,-3.56,8.64,0.38,14.99,5.04,,2.04,-100
01-Dec-1961,-1.32,8.58,-0.35,15.07,4.92,,2.12,-100
01-Jan-1962,-0.1,8.6,0.93,14.98,5.4,,2.32,-100
01-Feb-1962,0.09,8.66,0.86,14.84,5.17,,2.53,-100
01-Mar-1962,0.28,8.77,0.85,14.69,5,,2.57,-100
01-Apr-1962,0.24,8.86,0.78,14.48,5.31,,2.49,-100
01-May-1962,0.97,8.9,0.73,14.05,4.97,,2.65,-100
01-Jun-1962,1.94,8.92,0.7,13.46,4.75,,2.65,-100
01-Jul-1962,2.21,8.95,0.7,13.11,5.18,,2.85,-100
01-Aug-1962,2.67,8.92,0.67,12.99,4.88,,2.81,-100
01-Sep-1962,2.69,8.9,0.7,12.98,4.98,,2.85,-100
01-Oct-1962,2.7,8.91,0.7,12.85,5.23,,2.77,-100
01-Nov-1962,2.32,8.96,0.64,12.92,5.4,,2.65,-100
01-Dec-1962,2.73,9.03,0.55,13.15,6,,2.73,-100
01-Jan-1963,0.31,9.08,0.76,13.49,7.12,,2.73,-100
01-Feb-1963,0.99,9.09,0.72,13.49,6.06,,2.85,-100
01-Mar-1963,1.85,9.09,0.74,13.53,4.76,,2.85,-100
01-Apr-1963,2.22,9.09,0.82,13.57,4.35,,2.85,-100
01-May-1963,2.66,9.07,1,13.72,3.84,,2.89,-100
01-Jun-1963,4.04,8.92,1.29,13.76,2.64,,2.89,-100
01-Jul-1963,5.74,8.67,1.25,13.66,0.67,,2.97,-100
01-Aug-1963,5.73,8.46,1.18,13.65,0.83,,3.01,-100
01-Sep-1963,6.3,8.39,1.2,13.64,0.2,,3.17,-100
01-Oct-1963,5.69,8.46,1.26,13.7,1.03,,3.25,-100
01-Nov-1963,5.26,8.52,1.16,13.63,1.47,,3.33,-100
01-Dec-1963,4.77,8.59,0.68,13.64,1.91,,3.41,-100
01-Jan-1964,3.02,8.7,0.98,13.64,4,,3.45,-100
