date,all,hist_mean,ddm,cross_section,time_series,surveys,RF,recession
01-Jan-1960,-3.81,10.29,0.38,16.39,4.25,,,-100
01-Feb-1960,-3.88,10.3,0.37,16.43,4.25,,,-100
01-Mar-1960,-4.53,10.31,0.39,16.46,5.05,,,-100
01-Apr-1960,-4.54,10.31,0.39,16.47,5.03,,,-100
01-May-1960,-4.59,10.32,0.39,16.48,5.05,,,100
01-Jun-1960,-4.07,10.31,0.38,16.49,4.35,,,100
01-Jul-1960,-4.39,10.31,0.38,16.48,4.8,,,100
01-Aug-1960,-4.52,10.31,0.38,16.47,4.99,,,100
01-Sep-1960,-4.49,10.31,0.38,16.43,5.06,,,100
01-Oct-1960,-4.19,10.31,0.37,16.38,4.82,,,100
01-Nov-1960,-4.43,10.31,0.39,16.33,5.25,,,100
01-Dec-1960,-4.41,10.32,0.37,16.29,5.32,,,100
01-Jan-1961,-4.43,10.33,0.39,16.26,5.4,,,100
01-Feb-1961,-4.34,10.34,0.37,16.23,5.33,,,100
01-Mar-1961,-4.48,10.33,0.38,16.21,5.56,,,-100
01-Apr-1961,-4.35,10.32,0.38,16.19,5.47,,,-100
01-May-1961,-4.3,10.3,0.4,16.16,5.49,,,-100
01-Jun-1961,-4.15,10.28,0.39,16.13,5.4,,,-100
01-Jul-1961,-4.09,10.25,0.37,16.1,5.43,,3.28,-100
01-Aug-1961,-3.93,10.21,0.36,16.07,5.34,,3.3,-100
01-Sep-1961,-3.78,10.16,0.38,16.06,5.24,,3.44,-100
01-Oct-1961,-3.35,10.1,0.37,16.04,4.8,,3.33,-100
01-Nov-1961,-3.03,10.04,0.36,16.04,4.46,,3.32,-100
01-Dec-1961,-0.65,9.98,-0.36,16.03,4.33,,3.36,-100
01-Jan-1962,0.3,9.92,0.92,16.04,4.56,,3.42,-100
01-Feb-1962,0.55,9.86,0.86,16.04,4.02,,3.57,-100
01-Mar-1962,0.53,9.82,0.84,16.05,4.08,,3.24,-100
01-Apr-1962,0.13,9.77,0.77,16.04,4.67,,3.16,-100
01-May-1962,0.61,9.73,0.72,16,3.87,,3.22,-100
01-Jun-1962,0.74,9.69,0.7,15.94,3.79,,3.12,-100
01-Jul-1962,0.3,9.65,0.69,15.89,4.7,,3.3,-100
01-Aug-1962,0.94,9.61,0.66,15.84,3.67,,3.37,-100
01-Sep-1962,1.06,9.58,0.7,15.79,3.71,,3.14,-100
01-Oct-1962,0.57,9.56,0.69,15.74,4.74,,3.05,-100
01-Nov-1962,0.96,9.54,0.63,15.71,3.99,,3.11,-100
01-Dec-1962,2.5,9.53,0.54,15.67,3.97,,3.15,-100
01-Jan-1963,0.85,9.52,0.75,15.62,4.66,,3.18,-100
01-Feb-1963,1.33,9.51,0.71,15.56,3.88,,3.15,-100
