Row,One_month,One_quarter,Six_months,One_year,Two_years,Three_years,Four_years,Five_years
historical mean,-0.02,0,0.07,0.16,0.46,0.44,0.33,
name1,historical mean as far back as data allows,historical mean using last five years,historical mean using last five years,historical mean as far back as data allows,historical mean as far back as data allows,historical mean as far back as data allows,historical mean as far back as data allows,historical mean as far back as data allows
ddm,0.13,0.04,0.15,0.32,0.61,0.8,0.82,
name2,6 stage free cash flow DDM by Damodaran,E/P minus real 10yr yield,expected E/P minus real 10yr yield,expected E/P minus real 10yr yield,expected E/P minus real 10yr yield,expected E/P minus real 10yr yield,expected E/P minus real 10yr yield,E/P minus nominal 10yr yield
cross sectional regressions,-0.01,0.04,0.2,0.38,0.17,0.24,0.29,
name3,"Adrian, Crump, and Moench",fama-french and momentum,"fama-french, momentum and inflation",fama-french,fama-french,"fama-french, momentum and inflation","fama-french, momentum and inflation",fama-french
time series regressions,-0.01,0.01,0.07,0.19,0.36,0.4,0.24,
name4,Best predictor in Goyal and Welch,Best predictor in Fama French 2002,Best predictor in Goyal and Welch,Time-series predictor is D/P,Time-series predictor is D/P,Best predictor in Goyal and Welch,Time-series predictor is D/P,Time-series predictor is D/P
surveys,,,,,,,,
zeros,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs,Duke survey of CFOs
