erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
-6.1,-5.36,-7.41,-4.49,-4,-5.62,-22.02,-51.06,-100,0
-5.92,-5.61,-6.29,-4.28,-3.95,-5.45,-21.66,-50.33,-100,0
-5.15,-4.69,-5.78,-5.13,-4.69,-5.36,-20.98,-49.65,-100,0
-4.73,-3.93,-5.71,-4.75,-4.71,-5.47,-20.99,-48.94,-100,0
-5.17,-3.7,-6.26,-4.85,-4.75,-5.35,-20.36,-47.44,100,0
-5.55,-3.97,-5.62,-4.32,-4.14,-5.1,-20.39,-46.01,100,0
-4.84,-3.86,-4.84,-4.6,-4.57,-4.94,-19.28,-45.54,100,0
-4.88,-3.99,-4.8,-3.89,-4.07,-5.03,-17.96,-43.94,100,0
-3.03,-3.6,-4.93,-3.51,-4.65,-4.93,-18,-43.05,100,0
-2.48,-2.63,-4.63,-3.42,-4.35,-4.72,-17.13,-41.91,100,0
-3.6,-1.97,-4.66,-3.75,-4.55,-4.62,-18.07,-40.86,100,0
-4.16,-2.27,-4.66,-3.31,-4.5,-4.63,-16.81,-39.28,100,0
-5.44,-3.11,-4.13,-2.88,-4.5,-4.73,-16.64,-37.39,100,0
-5.98,-3.46,-3.77,-2.85,-4.43,-4.74,-17.33,-36.72,100,0
-6.22,-3.83,-4.17,-3.12,-4.55,-4.61,-17.32,-35.29,-100,0
-5.94,-3.9,-4.68,-3.07,-4.44,-4.68,-16.09,-35.58,-100,0
-6.19,-4.29,-3.68,-3.21,-4.4,-4.78,-15.99,-34.22,-100,0
-5.77,-4.12,-3.68,-3.25,-4.28,-4.9,-16.73,-34.39,-100,0
-5.64,-3.88,-3.68,-2.91,-4.22,-4.92,-17.03,-31.97,-100,0
-5.61,-4.78,-4.14,-2.58,-4.09,-4.95,-16.27,-28.99,-100,0
-5.09,-3.62,-4.18,-2.65,-3.97,-4.67,-16.45,-29.38,-100,0
-5.16,-3.2,-3.91,-2.82,-3.56,-4.44,-17.35,-27.66,-100,0
-6.1,-3.53,-5.1,-2.65,-3.16,-4.14,-17.85,-30.15,-100,0
-2.91,-1.49,-1.7,-0.88,-1.11,-1.88,-14.04,-22.23,-100,0
-0.65,-0.24,0.35,0.64,0.09,-1.58,-13.03,-18.99,-100,0
-1.26,-0.02,0.01,0.36,0.39,-1.66,-13.79,-20.63,-100,0
-1.01,0.2,0.09,0.31,0.36,-1.65,-15.71,-20.74,-100,0
-5.29,0.17,-0.24,0.38,-0.11,-1.72,-15.69,-18.72,-100,0
-3.17,1.03,-0.25,-0.28,0.44,-1.67,-15.81,-18.72,-100,0
4.24,2.19,0.4,0.65,0.57,-1.65,-15.58,-20.18,-100,0
3.69,2.5,0.55,1.03,0.05,-1.59,-15.29,-20.67,-100,0
3.64,2.95,1.13,0.95,0.77,-1.58,-15.15,-19.15,-100,0
4.5,2.93,1.85,1.25,0.9,-1.49,-15.12,-19.09,-100,0
4.54,2.94,1.95,1.15,0.32,-1.41,-15.2,-20.56,-100,0
2.52,2.49,1.72,1.32,0.78,-1.5,-15.67,-21.63,-100,0
0.95,2.7,3.01,2.7,2.14,0.62,-9.96,-14.98,-100,0
-0.82,0.28,2.01,1.66,0.6,-1.25,-15.4,-21.1,-100,0
2.13,0.98,1.62,1.92,1.16,-1.3,-15.12,-22.09,-100,0
0.61,1.91,1.6,2.18,1.15,-1.16,-15.58,-25.67,-100,0
0.14,2.34,0.91,2.14,0.92,-1.04,-14.81,-24.55,-100,0
2.32,2.79,1.79,2.3,1.69,-0.77,-14.06,-23.11,-100,0
6.97,4.32,4.17,2.99,2.17,-0.32,-11.66,-20.53,-100,0
4.4,6.3,5.69,3.04,1.81,-0.26,-11.23,-19.56,-100,0
3.55,6.29,5.7,3.04,2.2,-0.36,-10.94,-19.24,-100,0
3.72,6.85,5.84,3.12,2.33,-0.26,-10.14,-19.78,-100,0
3.56,6.18,6.52,2.58,2.07,-0.02,-9.36,-19.77,-100,0
3.68,5.7,5.72,2.9,2.26,-0.1,-8.97,-21.15,-100,0
3.45,4.93,5.41,3.51,2.9,1.21,-5.75,-16.16,-100,0
3.08,3.14,3.23,2.83,1.87,-0.32,-8.51,-22.51,-100,0
2.96,2.8,2.91,3.71,2.38,-0.23,-7.94,-22.29,-100,0
2.68,2.91,2.73,3.62,2.54,-0.02,-8.02,-22.82,-100,0
1.35,3.03,2.59,3.83,1.87,-0.01,-7.83,-22.67,-100,0
0.84,2.52,2.32,2.89,2.57,0.05,-7.57,-22.72,-100,0
0.19,2.5,2.59,2.68,2.61,0.18,-7.09,-21.45,-100,0
0.7,2.43,2.85,1.67,1.91,0.18,-7.1,-21.06,-100,0
0.94,1.5,2.58,1.05,2.42,0.25,-6.6,-20.16,-100,0
0.47,2.22,2.48,0.74,2.46,0.22,-6.78,-19.34,-100,0
0.47,2.06,2.4,0.58,1.72,0.37,-7.42,-18.75,-100,0
0.69,2.05,1.34,0.3,2.42,0.5,-7.44,-18.37,-100,0
1.64,2.75,2.91,1.67,3.01,1.55,-5.1,-13.36,-100,0
0.32,2.12,2.02,1.1,1.71,0.33,-7,-17.13,-100,0
0.13,1.87,1.86,1.03,2.3,0.22,-7.21,-16.53,-100,0
0.25,1.97,2.07,1.07,2.32,0.15,-7.79,-16.93,-100,0
-0.12,1.84,2.07,1.07,1.62,0.05,-8.83,-16.51,-100,0
0.14,1.7,1.85,0.26,2.15,-0.03,-7.73,-16.37,-100,0
1.17,1.92,2.24,1.23,2,-0.01,-7.57,-15.79,-100,0
0.79,2.22,2.22,1.04,1.42,-0.07,-8.57,-15.89,-100,0
0.51,2.28,2.22,1.06,1.64,-0.02,-7.36,-14.81,-100,0
0.19,1.8,2.07,1.22,1.61,-0.21,-7.28,-15.2,-100,0
-2.27,1.58,2.15,1.24,1.27,-0.29,-9.19,-16.28,-100,0
