erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
-6.1,-5.52,-6.61,-4.77,-3.81,-6,-16.78,-25.33,-100,0
-5.92,-5.75,-5.52,-4.53,-3.88,-5.83,-16.55,-24.99,-100,0
-5.15,-4.9,-4.99,-5.6,-4.53,-5.75,-16.13,-24.67,-100,0
-4.73,-4.19,-5.43,-5.17,-4.54,-5.88,-16.14,-24.34,-100,0
-5.17,-3.96,-5.94,-5.33,-4.59,-5.77,-15.76,-23.59,100,0
-5.55,-4.2,-5.31,-4.69,-4.07,-5.52,-15.78,-22.86,100,0
-4.84,-4.08,-4.55,-5.07,-4.39,-5.36,-15.09,-22.65,100,0
-4.88,-4.2,-4.48,-4.21,-4.52,-5.46,-14.26,-21.83,100,0
-3.03,-3.84,-4.6,-3.77,-4.49,-5.36,-14.28,-21.4,100,0
-2.48,-2.92,-4.28,-3.7,-4.19,-5.15,-13.71,-20.82,100,0
-3.6,-2.22,-3.5,-4.13,-4.43,-5.04,-14.29,-20.29,100,0
-4.16,-2.49,-3.49,-3.62,-4.41,-5.04,-13.48,-19.46,100,0
-5.44,-3.33,-3,-3.08,-4.43,-5.14,-13.34,-18.46,100,0
-5.98,-3.66,-2.57,-3.03,-4.34,-5.13,-13.76,-18.1,100,0
-6.22,-4.01,-2.98,-3.35,-4.48,-4.97,-13.73,-17.33,-100,0
-5.94,-4.05,-3.59,-3.28,-4.35,-5.04,-12.9,-17.49,-100,0
-6.19,-4.41,-3.55,-3.43,-4.3,-5.13,-12.8,-16.74,-100,0
-5.77,-4.24,-3.54,-3.48,-4.15,-5.24,-13.23,-16.83,-100,0
-5.64,-4.01,-3.53,-3.05,-4.09,-5.26,-13.39,-15.52,-100,0
-5.61,-4.85,-3.95,-2.64,-3.93,-5.28,-12.87,-13.89,-100,0
-5.09,-3.74,-3.99,-2.72,-3.78,-5.01,-12.95,-14.07,-100,0
-5.16,-3.33,-3.73,-2.92,-3.35,-4.79,-13.49,-13.13,-100,0
-6.1,-3.62,-4.85,-2.7,-3.03,-4.51,-13.79,-14.45,-100,0
-2.91,-1.38,-1.31,-0.76,-0.65,-1.91,-9.78,-9.17,-100,0
-0.65,-0.17,0.63,0.69,0.3,-2.44,-10.65,-8.1,-100,0
-1.26,0.02,0.31,0.36,0.55,-2.5,-11.15,-8.96,-100,0
-1.01,0.22,0.39,0.28,0.53,-2.46,-12.47,-9.01,-100,0
-5.29,0.18,0.08,0.36,0.13,-2.51,-12.41,-7.92,-100,0
-3.17,0.93,0.5,-0.47,0.61,-2.44,-12.51,-7.93,-100,0
4.24,1.91,1.08,0.58,0.74,-2.44,-12.41,-8.73,-100,0
3.69,2.19,1.26,1,0.3,-2.36,-12.21,-9.01,-100,0
3.64,2.66,1.87,0.85,0.94,-2.36,-12.11,-8.19,-100,0
4.5,2.67,2.57,1.16,1.06,-2.29,-11.96,-8.17,-100,0
4.54,2.68,2.67,0.97,0.57,-2.2,-11.93,-8.95,-100,0
2.52,2.29,2.47,1.15,0.96,-2.25,-12.13,-9.51,-100,0
0.95,2.69,3.65,2.7,2.5,0.39,-6.76,-5.13,-100,0
-0.82,0.24,2.73,1.48,0.85,-2.03,-12.02,-9.19,-100,0
2.13,0.93,2.43,1.79,1.33,-2.06,-11.81,-9.7,-100,0
0.61,1.82,2.4,2.08,1.32,-1.91,-12.36,-11.58,-100,0
0.14,2.2,1.75,2.03,1.14,-1.82,-11.82,-10.97,-100,0
2.32,2.64,2.55,2.19,1.81,-1.57,-11.36,-10.2,-100,0
6.97,4.06,4.19,2.93,2.26,-1.24,-10.17,-8.85,-100,0
4.4,5.79,5.19,3,1.98,-1.11,-10.06,-8.36,-100,0
3.55,5.79,5.17,3.03,2.3,-1.25,-9.72,-8.2,-100,0
3.72,6.36,5.32,3.12,2.43,-1.14,-9.31,-8.46,-100,0
3.56,5.74,5.95,2.48,2.24,-0.86,-8.95,-8.44,-100,0
3.68,5.31,5.24,2.88,2.37,-0.95,-9.06,-9.17,-100,0
3.45,4.79,5.23,3.65,3.21,0.91,-5.09,-5.72,-100,0
3.08,3,3.14,2.84,2.08,-1.07,-8.83,-9.87,-100,0
2.96,2.67,2.86,3.84,2.51,-1.04,-8.69,-9.77,-100,0
2.68,2.83,2.7,3.76,2.66,-0.82,-8.63,-10.01,-100,0
1.35,2.76,2.56,4.03,2.11,-0.74,-8.63,-9.94,-100,0
0.84,2.48,2.3,3.04,2.7,-0.73,-8.52,-9.96,-100,0
0.19,2.47,2.56,2.91,2.73,-0.6,-8.24,-9.32,-100,0
0.7,2.41,2.81,1.76,2.14,-0.56,-8.08,-9.09,-100,0
0.94,1.55,2.57,1.09,2.55,-0.53,-7.98,-8.65,-100,0
0.47,2.23,2.49,0.77,2.57,-0.56,-7.97,-8.22,-100,0
0.47,2.09,2.42,0.59,1.94,-0.37,-7.98,-7.9,-100,0
0.69,2.07,1.47,0.25,2.52,-0.26,-7.86,-7.67,-100,0
1.64,2.86,3.06,1.75,3.29,1.28,-4.51,-4.28,-100,0
0.32,2.15,2.09,1.13,1.89,-0.38,-7.76,-7.04,-100,0
0.13,1.92,1.95,1.04,2.38,-0.54,-7.81,-6.71,-100,0
0.25,2.02,2.14,1.1,2.4,-0.62,-7.82,-6.9,-100,0
-0.12,1.87,2.14,1.09,1.8,-0.66,-7.47,-6.67,-100,0
0.14,1.75,1.95,0.14,2.24,-0.82,-7.95,-6.58,-100,0
1.17,1.96,2.31,1.26,2.1,-0.81,-7.49,-6.26,-100,0
0.79,2.24,2.29,1.03,1.61,-0.78,-7.38,-6.32,-100,0
0.51,2.31,2.3,1.05,1.76,-0.81,-7.4,-5.77,-100,0
0.19,1.87,2.17,1.25,1.73,-1.01,-7.42,-5.95,-100,0
-2.27,1.66,2.25,1.29,1.46,-1.01,-7.76,-6.5,-100,0
-0.57,1.5,2.13,1.12,1.47,-1.13,-7.65,-6.53,-100,0
0.6,1.39,2.58,2.19,3.01,0.64,-4.29,-3.7,-100,0
2.02,1.7,1.71,1.27,1.99,-1.26,-8.19,-6.43,-100,0
-0.53,1.42,1.58,1.04,1.37,-1.37,-7.76,-7.07,-100,0
0.06,1.7,1.2,1.25,1.67,-1.19,-7.17,-6.95,-100,0
-0.05,1.46,1.59,1.44,1.25,-1.13,-7.62,-7.14,-100,0
0.2,1.59,1.75,1.48,1.85,-1.05,-7.21,-7.49,-100,0
0.25,1.81,1.84,1.4,2.07,-0.73,-6.94,-6.95,-100,0
3.66,2.81,2.45,1.68,1.85,-0.34,-7.18,-6.52,-100,0
4.38,3.54,2.65,1.8,2.17,-0.53,-7.17,-7.23,-100,0
3.6,4.75,3.05,2.09,2.48,-0.42,-6.72,-6.68,-100,0
1.03,3.92,3.46,2.23,2.16,-0.31,-6.95,-7.02,-100,0
